Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
赣	gàn	Jiangxi province; places therein	貝			
踌	chóu	hesitate, falter; smug, self-satisfied	足			
殉	xùn	die for cause, be martyr for	歹			
桔	jú	Chinese bellflower; well-swept; the inner fibers of corn-stalks	木	5		
瞿	qú	surname	目			
闽	mǐn	fujian province; a river; a tribe	門			
豚	tún	small pig, suckling pig; suffle	豕			
掺	càn	mix, blend, adulterate	手			
沌	dùn	chaotic, confused; turbid, murky	水			
惰	duò	indolent, careless, lazy, idle	心	6		
喳	zhā	whispering	口			
椭	tuǒ	oval-shaped, elliptical, tubular	木	6		
咪	mī		口			
霎	shà	light rain, drizzle; an instant; passing	雨			
侃	kǎn	upright and strong; amiable	人	6		
猝	cù	abruptly, suddenly; abrupt	犬			
窖	jiào	pit, cellar	穴			
戮	lù	kill, massacre; oppress	戈			
祠	cí	ancestral temple; offer sacrifice	示			
瞩	zhǔ	watch carefully, stare at, focus on	目	6		
菁	jīng	flower of leek family; turnip	艸			
躇	chú	hesitate, falter, be undecided	足			
佬	lǎo	(Cant.) man, person; mature	人			
肋	lē	ribs; chest	肉			
咄	duō	noise of rage, cry out in anger	口			
忡	chōng	a sad, uneasy countenance	心			
雍	yōng	harmony, union; harmonious	隹			
忱	chén	truth, sincerity; sincere	心			
蕾	lěi	buds, unopened flowers	艸	6		
跄	qiāng	walk rapidly	足			
硅	guī	silicon	石			
伎	jì	talent, skill, ability	人			
炊	chuī	cook; meal	火	6		
钊	zhāo	endeavor, strive; encourage; cut	金			
蝠	fú	kind of bat	虫			
屎	shǐ	excrement, shit, dung	尸			
拭	shì	wipe away stains with cloth	手			
谛	dì	careful, attentive	言			
褪	tuì	strip, undress; fall off; fade	衣			
丞	chéng	assist, aid, rescue	一			
卉	huì	general term for plants; myriads	十			
隧	suì	tunnel, underground passageway, path to a tomb	阜	6		
茸	rōng	soft, downy; buds, sprouts	艸			
钳	qián	pincers, pliers, tongs; to compress	金			
啃	kěn	gnaw, chew, bite	口	6		
伢	yá	child	人			
闺	guī		門			
舔	tiǎn	lick with tongue; taste	舌	6		
蹬	dēng	step on, tread on; lose energy	足	6		
挛	luán	tangled; entwined; crooked	手			
眺	tiào	look at, gaze at, scan, survey	目			
袱	fú	a piece of cloth used wrap bundles	衣	6		
陇	lǒng	mountain located between Shanxi	阜			
殴	ōu	beat, fight with fists, hit	殳	6		
柿	shì	persimmon	木	4		
梧	wú	Chinese parasoltree, Sterculia platanifolia	木			
惺	xīng	intelligent, clever, astute	心			
弛	chí	loosen, relax, unstring a bow	弓			
侥	jiǎo	be lucky; by chance, by luck	人	6		
琛	chēn	treasure, valuables	玉			
捅	tǒng	jab	手			
酝	yùn	liquor, spirits, wine; ferment	酉	6		
薯	shǔ	yam, tuber, potato	艸			
曳	yè	trail, tow, drag, pull	曰			
澈	chè	thoroughly, completely	水	6		
锈	xiù	rust, corrode	金	6		
稠	chóu	dense, crowded, packed; soupy	禾	6		
眸	móu	pupil of eye; eye	目			
咆	páo	roar	口			
簧	huáng	reed of woodwind instrument	竹			
鸥	ōu	seagull, tern; Larus species (various)	鳥			
疡	yáng	ulcers, sores; infection	疒			
渎	dú	ditch, sluice, gutter, drain	水			
汲	jí	draw water from well; imbibe	水			
嬉	xī	enjoy; play, amuse oneself	女			
脓	nóng	pus	肉			
骡	luó	mule	馬			
穗	suì	ear of grain; tassel; Guangzhou	禾			
槛	kǎn	threshold, door-sill	木			
拎	līn	to haul; to lift; to take	手			
巳	sì	the hours from 9 to 11; 6th terrestrial branch	己			
邢	xíng		邑			
廿	niàn	twenty, twentieth	廾			
搀	chān	give helping hand	手	6		
曙	shǔ	bright, light of rising sun	日			
樵	qiáo	woodcutter; firewood; gather wood	木			
隅	yú	corner, nook, remote place	阜			
筛	shāi	sieve, filter, screen; sift	竹	6		
谒	yè	visit, pay respects	言			
倭	wō	dwarf; dwarfish, short	人			
痹	bì	paralysis, numbness	疒	6		
猖	chāng	mad, wild, reckless, unruly	犬			
佯	yáng	pretend, feign; false, deceitful	人			
肛	gāng	anus	肉			
奚	xī	where? what? how? why?; servant	大			
甭	béng	there is no need	用	6		
抨	pēng	impeach, censure; attack	手			
蛾	é	moth	虫			
唠	láo	chat, jaw, gossip, talk	口	6		
荧	yíng	shine, shimmer; shining, dazzling	艸			
