Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
耒	lěi	handle of plow; plow; rad. 127	耒			
蜣	qiāng	dung beetle	虫			
笄	jī	hairpin; fifteen year old girl	竹			
跣	xiǎn	bare footed	足			
钣	bǎn	plate	金			
戆	gàng	stupid, simple, simple-minded	心			
蜉	fú	mayfly; kind of large insect	虫			
喾	kù	emperor	口			
铍	pī	beryllium	金			
陉	xíng	defile, mountain pass, gorge	阜			
薹	tái	cyperus rotundus, type of sedge	艸			
肷	qiǎn	area between waist and hips	肉			
岵	hù	hill	山			
瓴	líng	concave channels of tiling a long-necked jar	瓦			
荽	suī	coriander	艸			
怫	fú	sorry, anxious; depressed	心			
钭	tǒu	a wine flagon	金			
窀	zhūn	to bury	穴			
缯	zēng	silk fabrics; surname	糸			
倬	zhuō	noticeable, large; clear, distinct	人			
摭	zhí	pick up, gather	手			
帔	pèi	a skirt; long robe for women, having no sleeves and fasten down the front	巾			
楝	liàn	Melia japonica	木			
痱	fèi	heat rash, prickly heat; ulcers	疒			
蚶	hān	kind of clam, arca inflata	虫			
螬	cáo	grubs in fruit	虫			
髑	dú	skull	骨			
紅	hóng	red, vermillion; blush, flush	糸			
鼗	táo	small revolving drum with knobs	鼓			
狷	juàn	rash, impetuous, impulsive	犬			
殛	jí	to put to death to imprison for life	歹			
裉	kèn	seam in a garment	衣			
粝	lì	unpolished rice; brown rice	米			
萋	qī	luxuriant foliage; crowded	艸			
葭	jiā	bulrush, reed; flute, whistle	艸			
衽	rèn	lapel; hidden lapel of coat	衣			
鳢	lǐ	snakehead	魚			
傧	bīn	entertain guests	人			
喁	yóng	the mouth of a fish at the surface of the water, gasping for breath	口			
嫘	léi	surname	女			
罟	gǔ	net; snare; pressure come or go	网			
钌	liǎo	ruthenium	金			
裼	tì		衣			
愦	kuì	confused, troubled, muddle-headed	心			
蝽	chūn	bedbug	虫			
雖	suī	although, even if	隹			
锗	zhě	germanium	金			
衿	jīn	collar or lapel of garment	衣			
粢	zī	grain offered in ritual sacrifice; millet	米			
醵	jù	contribute for drinks; pool money	酉			
跫	qióng	sound of footsteps	足			
鐾	bèi		金			
廛	chán	a store, shop; ground alloted to a retainer	广			
墉	yōng	wall; fortified wall; small wall	土			
哌	pài	used in translation	口			
輕	qīng	light; easy, simple; gentle	車			
扦	qiān	probe, poke, prick, pierce	手			
堇	jǐn	yellow loam; clay; season; few	土			
婧	jìng	modest; supple	女			
暌	kuí	in opposition; distant from; separated	日			
罱	lǎn	fishing net	网			
镞	zú	arrowhead, barb; swift, quick	金			
蹰	chú	hesitate, waver, falter	足			
陟	zhì	climb, scale, ascend; proceed	阜			
鳔	biào	swimming bladder of fish	魚			
脘	wǎn	internal cavity of stomach	肉			
臟	zàng	internal organs, viscera	肉			
岿	kuī	grand, stately; secure, lasting	山			
侔	móu	equal	人			
郾	yǎn	county in Henan province	邑			
唿	hū	sad; (Cant.) a bit, part	口			
砹	ài	astatine	石			
疴	kē	illness, sickness, disease; pain	疒			
麸	fū	bran	麥			
薨	hōng	death of prince; swarming	艸			
綝	chēn	to stop; adjusted, in order	糸			
滁	chú	district in Anhui province	水			
偾	fèn	ruin, cause fail; overthrown	人			
拊	fǔ	slap; pat; tap; handle of a vessel	手			
撺	cuān	hurry; to throw; to urge	手			
呒	fǔ	unclear; an expletive	口			
狯	kuài	sly, cunning, crafty	犬			
猢	hú	a kind of monkey found in W.China	犬			
椁	guǒ	outer-coffin; vault	木			
榱	cuī	rafter	木			
罾	zēng	a large square net, lowered and raised from the bank of the river	网			
铳	chòng	ancient weapon, blunderbuss	金			
裎	chéng	to take off the clothes and expose the body. to carry in the girdle	衣			
鳚	wèi	general term of a kind of fish, a snake-like fish	魚			
眦	zì	corner of the eyes, eyesockets	目			
璎	yīng	a necklace made of precious stones	玉			
認	rèn	recognize, know, understand	言			
崞	guō	mountain in Shanxi	山			
缇	tí	reddish color, red, brown	糸			
蝣	yóu	mayfly (Ephemera strigata)	虫			
萑	huán	grass used for making mats; Huanpu, place famous for robbers	艸			
狲	sūn	monkey	犬			
缱	qiǎn	attached to, inseparable; entangl	糸			
晷	guǐ	shadows of sun; time; sundial	日			
冼	xiǎn	a surname	冫			
