Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
鍏	wéi		金			
鷉	tī		鳥			
郄	qiè	surname	邑			
埘	shí	roost	土			
薤	xiè	allium bakeri; shallots, scallion	艸			
鲞	xiǎng	dried fish	魚			
鼯	wú	flying squirrel	à			
坭	ní	mud, mire; to paste, to plaster	土			
蔌	sù	vegetables	艸			
缳	huán	noose; hang death; tie, bind	糸			
靦	tiǎn	timid, shy, bashful	面			
筸	gān	name of a place in Honan	竹			
蘋	píng	apple	艸			
夼	kuǎng		大			
椐	jū		木			
轹	lì	run over something with vehicle	車			
脬	pāo	a bladder	肉			
眍	kōu	sunken	目			
饹	le		食			
瘥	chài	to recover from any disease; an epidemic	疒			
瘵	zhài	a wasting disease	疒			
蝦	xiā	shrimp, prawn	虫			
誌	zhì	write down; record; magazine	言			
邴	bǐng	name of a city in the ancient state of Song, in what is now Shandong; pleased	邑			
鉁	zhēn		金			
鞮	dī	leather shoes	革			
舄	xì	a shoe; the sole of a shoe; magpie	臼			
麄	cū	coarse, rough, rude	鹿			
翛	xiāo	look of rumpled feathers; bedraggled; hasty; rapid flight	羽			
覩	dǔ	see, gaze at, witness	見			
纩	kuàng	cotton; silk	糸			
蓮	lián	lotus, water lily; paradise	艸			
唛	mà	mark	口			
袓	jù		衣			
祂	tā	he (honorific form, generally used for the Abrahamic God)	示			
轎	jiào	sedan-chair, palanquin	車			
紀	jì	record, annal, historical account	糸			
纖	xiān	fine, delicate; minute; graceful	糸			
輔	fǔ	cheek bone; protective; assist	車			
鉀	jiǎ	potassium kalium	金			
àà	lǐng	neck; collar; lead, guide	àà			
螵	piāo	a chrysalis	虫			
鸊	pì	Podiceps ruficolus (a kind of duck)	鳥			
鮡	zhào		魚			
禛	zhēn	to receive blessings in a sincere spirit	示			
袆	huī	ceremonial gowns of a queen	衣			
謴	gùn		言			
邾	zhū	a feudal state which existed B.C.700-469; now in Shandong	邑			
鮣	yìn		魚			
酲	chéng	hangover; uncomfortable	酉			
龁	hé	gnaw, bite, nibble	齒			
汔	qì		水			
眄	miǎn	to look askance; looking dull	目			
眊	mào	dim-sighted; dull, bewildered	目			
鬲	gé	type of caldron with three hollow legs; name of a state; KangXi radical number 193	鬲			
阨	è	in distress; adverse; strategic; (Cant.) to swindle	阜			
靸	sǎ		革			
臉	liǎn	face; cheek; reputation	肉			
贇	yūn	affable, agreeable, pleasant	貝			
酺	pú	drink with others; drink heavily	酉			
狃	niǔ	to covet; to be accustomed	犬			
轺	yáo	small light carriage	車			
霅	zhà	thunder	雨			
鬂	bìn	the hair on the temples	髟			
鼷	xī	a mouse	à			
àà	luǒ	the solitary wasp	虫			
埴	zhí	soil with large clay content	土			
鴥	yù	swoop	鳥			
隊	duì	team, group; army unit	阜			
髆	bó	shoulder blade	骨			
綱	gāng	heavy rope, hawser; main points	糸			
膮	xiāo		肉			
謹	jǐn	prudent, cautious; attentive	言			
铪	hā	hafnium	金			
鹼	jiǎn	alkaline, alkali, lye, salt	鹵			
簳	gǎn		竹			
終	zhōng	end; finally, in the end	糸			
綜	zōng	arrange threads for weaving	糸			
裝	zhuāng	dress, clothes; decorate; fill	衣			
訉	fān		言			
銀	yín	silver; cash, money, wealth	金			
鲉	yóu		魚			
蕿	xuān		艸			
袊	lǐng		衣			
汆	cuān	to parboil; hot water kettle; to boil	水			
硃	zhū	a red mole; cinnabar	石			
仝	tóng	together, same; surname	人			
趽	fàng		足			
àà	tù		土			
揸	zhā	handful; to grasp, seize, pick up with fingers; (Cant.) to take, carry	手			
忭	biàn	delighted; pleased	心			
銧	guāng	point of a sword	金			
妤	yú	beautiful, fair, handsome	女			
àà	fǔ	bow; nod; condescend	àà			
緡	mín	a fishing-line; cord; string of coins; a paper or straw string	糸			
讟	dú	slander, utter evil words	言			
à	yuè	flute; pipe, ancient measure	à			
垤	dié	ant-hill, small mound; hill	土			
擐	huàn	to put on	手			
噍	jiào	chew; eat; munch	口			
