Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
矾	fán	alum	石			
硼	péng	borax, boron	石			
囿	yòu	pen up; limit, constrain	囗			
泅	qiú	swim, float, wade	水			
邂	xiè	unexpected meeting; encounter by	辵			
钜	jù	steel, iron; great	金			
蠹	dù	moth; insects which eat into clot	虫			
垩	è	holy, sacred, sage; simplification of ààchalk; daub with chalk	土			
乩	jī	to divine	乙			
嗝	gé	cackling of fowls to gag, to vomit	口			
淦	gàn	river in Jiangxi province; water leaking into a boat	水			
樽	zūn	goblet; jar, jug; lush	木			
诮	qiào	criticize, scold, blame, ridicule	言			
揆	kuí	prime minister; to guess, estimate	手			
啐	cuì	to taste, to sip; to spit; the sound of sipping; to surprise	口			
淅	xī	water used wash rice; to wash ric	水			
榉	jǔ	type of elm	木			
馗	kuí	cheekbone; path, road; intersection	首			
辔	pèi	bridle of horse, reins	口			
暹	xiān	rise; advance, go forward	日			
骛	wù	gallop; rush about; pursue, run	馬			
鱿	yóu	cuttlefish	魚			
苫	shān	rush or straw matting	艸			
犷	guǎng	fierce, rude, uncivilized	犬			
獠	liáo	to hunt at night by torches	犬			
詈	lì	scold, abuse verbally, curse	言			
竦	sǒng	revere, respect, be in awe of	立			
篙	gāo	pole used punt boat	竹			
诨	hùn	jokes, obsene jests; joke	言			
铰	jiǎo	hinge; shears, scissors	金			
馄	hún	dumpling soup, wonton	食			
蜚	fēi	cockroach	虫			
峒	dòng	mountain in Gansu province	山			
滢	yíng	clear, pure water; lucid; glossy	水			
琬	wǎn	the virtue of a gentleman; jade	玉			
靓	jìng	make up face; ornament; quiet	青			
狻	suān	a fabulous beast	犬			
璨	càn	gems; luster of gems; lustrous	玉			
犟	jiàng	stubborn	牛			
鸬	lú	cormorant	鳥			
螨	mǎn	insect	虫			
芩	qín	salt marsh plant	艸			
嘹	liáo	used describe clarity of voice; resonant	口			
锟	kūn	ancient treasured sword	金			
蜇	zhē	jellyfish	虫			
洹	huán	river in Henan province	水			
栉	zhì	comb; comb out; weed out, elimininate	木			
俪	lì	spouse, couple, pair	人			
钍	tǔ	thorium	金			
锨	xiān	shovel	金			
瑁	mào	fine piece of jade	玉			
壹	yī	number one	士			
痿	wěi	paralysis; impotence	疒			
竑	hóng	be vast and endless; broad	立			
粕	pò	lees, dregs, sediments left after distilling liquor	米			
犄	jī	animal horns	牛			
瘙	sào	itch	疒			
饯	jiàn	farewell party; see off, send off	食			
抟	tuán	roll around with hand; model	手			
衲	nà	mend, sew, patch; line; quilt	衣			
踮	diǎn	tip toe	足			
龅	bāo	teeth protrude	齒			
愎	bì	obstinate, stubborn, headstrong	心			
馥	fù	fragrance, scent, aroma	香			
梏	gù	handcuffs, manacles, fetters	木			
讣	fù	obituary; give notice of death	言			
邝	kuàng	surname	邑			
艿	nǎi		艸			
趺	fū	sit cross-legged; back of the foo	足			
鲟	xún	sturgeon	魚			
剜	wān	cut, cut out, pick out, scoop out	刀			
绉	zhòu	crepe, crape, wrinkles, creases	糸			
罅	xià	crack, fissure, split	缶			
笥	sì	a hamper, wicker basket	竹			
衩	chǎ	the open seam of a garment which allows freedom of movement	衣			
姣	jiāo	beautiful, handsome, pretty	女			
斫	zhuó	cut, chop, lop off	斤			
鹗	è	osprey, fishhawk	鳥			
腎	shèn	kidneys; testes, gizzard	肉			
爻	yáo	diagrams for divination	爻			
猕	mí	macacus monkey	犬			
晗	hán	pre-dawn	日			
铩	shā	moult	金			
窕	tiǎo	slender; quiet and modest, charming	穴			
仨	sā	(coll.) three (cannot be followed by a measure word)	人			
搡	sǎng	to push over or push back	手			
崴	wǎi	high, lofty; precipitous	山			
酢	cù		酉			
檄	xí	call arms; urgency	木			
佞	nìng	flattery; glib	人			
孑	jié	remaining, left-over; lonely	子			
璀	cuǐ	lustre of gems; glitter; shine	玉			
岷	mín	min mountain, min river	山			
舛	chuǎn	oppose, deviate, be contrary to	舛			
邕	yōng	former or literary name for Nanning (in Guangxi)	邑			
闿	kǎi	open; peaceful	門			
铂	bó	platinum; thin sheet of metal	金			
霁	jì	to clear up after rain; to cease be angry	雨			
犒	kào	entertain victorious soldiers	牛			
馏	liú	distill, distillation	食			
