Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
悱	fěi	to be desirous of speaking	心			
鬟	huán	dress hair in coiled knot; maid	髟			
緩	huǎn	slow, leisurely; to postpone, delay	糸			
請	qǐng	ask, request; invite; please	言			
崤	xiáo	mountain in Henan	山			
澶	chán	still water, placid, tranquil	水			
甾	zāi	ground that has been under cultivation for one year; evil, calamity	田			
欹	yī	fierce dog; interjection of pleas; (Cant.) strange	à			
瞽	gǔ	blind; blind musician; stupid	目			
钇	yǐ	yttrium	金			
鹪	jiāo	wren	鳥			
鞔	mán	sides or uppers of shoes to stretch a skin on a frame for a drum; (Cant.) to cover	革			
缡	lí	a bridal veil; to tie; to bind	糸			
铯	sè	cesium	金			
鲚	jì	anchovy	魚			
組	zǔ	class; section, department	糸			
嘬	chuài	to lap; to suck	口			
庹	tuǒ		广			
渖	shěn	juice; liquid; water; to leak, pour	水			
湔	jiān	wash, cleanse; purge	水			
玎	dīng	jingling, tinkling	玉			
锜	qí	a kind of pen; a kind of chisel	金			
锊	lüè	6 oz; ancient measurement	金			
舾	xī	(Cant.) equipment on a ship	舟			
籼	xiān	non-glutinous long grain rice	米			
阊	chāng	gate of heaven; main gate of a palace	門			
祕	mì	mysterious, secret, abstruse	示			
猊	ní	lion; wild beast; wild horse	犬			
燹	xiǎn	fire; wild fires	火			
葑	fēng	the rape-turnip	艸			
蓼	liǎo	smartweed, polygonum	艸			
幛	zhàng	scroll of silk or cloth presente	巾			
岣	gǒu	a hill in Hunan	山			
浼	měi	to request; to ask a favour of; to pollute, contaminate	水			
甯	níng	peaceful	用			
瑷	ài	fine quality jade	玉			
敫	jiǎo	ancient musical instrument	攴			
钔	mén	mendelevium (Md)	金			
钫	fāng	francium	金			
锼	sōu	carve	金			
锿	āi	einsteinium (Es)	金			
癔	yì	hysterical	疒			
穸	xī	the gloom of the grave a tomb or grave; death	穴			
褊	biǎn	cramped, narrow, crowded; mean	衣			
蚍	pí	mussels; various shellfish	虫			
篦	bì	fine-toothed comb; comb hair	竹			
麇	jūn	general name for the hornless deer; to collect to band together	鹿			
樘	táng		木			
钯	bǎ	palladium	金			
禇	zhě		示			
铒	ěr	erbium	金			
續	xù	continue, carry on; succeed	糸			
莩	fú	membrane lining inside of reed	艸			
嵯	cuó	high, towering; irregular, rugged	山			
逭	huàn	to escape from; to flee, to avoid	辵			
遄	chuán	to hurry; to go to and fro	辵			
戗	qiāng	support	戈			
睃	suō		目			
鮈	jū		魚			
瀣	xiè	sea mist; vapor	水			
皴	cūn	chapped, cracked	皮			
泮	pàn	Zhou dynasty school; disperse; fall apart	水			
轫	rèn	a block that keeps a wheel from moving	車			
褰	qiān		衣			
炱	tái	soot	火			
醍	tí	essential oil of butter	酉			
锱	zī	8 oz; an ancient unit of weight	金			
篁	huáng	bamboo grove; bamboo	竹			
葚	rèn	mulberry fruit	艸			
難	nán	difficult, arduous, hard; unable	隹			
矇	méng	stupid, ignorant; blind	目			
驽	nú	tired, old horse; old, weak	馬			
辚	lín	rumbling of vehicles; threshold	車			
睥	pì	look askance at, glare at	目			
鸺	xiū	horned owl, scops chinensis	鳥			
筇	qióng	bamboo name; bamboo staff	竹			
戥	děng	a small steelyard for weighing money, etc.	戈			
髀	bì	buttocks; thigh, thigh bone	骨			
驺	zōu	mounted escort; groom	馬			
頸	jǐng	neck, throat	àà			
哙	kuài	swallow, gulp down; greedy	口			
濞	bì		水			
逄	páng	a surname	辵			
桤	qī	alder	木			
攵	pū	rap, tap; radical number 66	攴			
炻	shí	a kind of china	火			
磙	gǔn	roller	石			
疳	gān	childhood diseases	疒			
醭	bú	molds on liquids; scum	酉			
鳇	huáng	sturgeon	魚			
鹮	huán	spoonbill; ibis; family Threskiornidae	鳥			
迓	yà	to go to meet, to receive, as a guest	辵			
眇	miǎo	blind in one eye; minute, minuscule	目			
楮	chǔ	mulberry; paper	木			
砜	fēng	an organic compound	石			
謝	xiè	thank; decline	言			
離	lí	leave, depart; go away; separate	隹			
約	yuē	treaty, agreement, covenant	糸			
菘	sōng	celery, cabbage	艸			
馇	chā	stir and cook	食			
