Phrase	Transcription	Translation	Notes
طَابِعٌ		znaczek
ظَرْفٌ		koperta
صُنْدُوقُ الْبَرِيدِ		skrzynka pocztowa
خِطَابٌ		list
طَرِيقٌ		droga
حَجَرٌ		kamień
بَرِيدٌ		poczta
سَاعِى الْبَرِيدِ		listonosz
مَكْتَبُ الْبَرِيدِ		urząd pocztowy
اِشْتَرَى		kupił
هَذَا هُوَ	właśnie to jest
هَيَّا		dawaj; chodźcie; szybciej
هَيَّا نَجْلِسْ		usiądźmy
لاَبُدَّ مِنْ...ِ		trzeba; należy
ثَقِيلٌ		ciężki
وَ مَعَ ذَلِكِ		chociaż; mimo, że
بَعِيدًا		daleko
غَيْرَ بَعِيدٍ		niedaleko
كَيْفَ؟		jak?
تَرَكَ		zostawił
دَعَا		zawołał
سَدَّ		zamknął; odgrodził
