Phrase	Transcription	Translation	Notes
دَبَّابَةٌ		czołg
طَائِرَةٌ		samolot
سَلاَّةٌ		kosz
مُهْمَلاَتٌ		odpadki
سَلَّةُ الْمُهْمَلاَتِ		kosz na śmieci
مَصْنَعٌ		fabryka
وَرَقَةٌ		papier
مَصْنَعُ السَّيَّارَاتِ		fabryka samochodów
مَصْنَعُ الدَّبَّابَاتِ		fabryka czołgów
مَصْنَعُ الطَّائِرَاتِ		fabryka samolotów
يَنْبَغِى		trzeba; należy
يَنْبَغِى اَنْ تَعْلَمَ		powinieneś wiedzieć
اَرْضٌ		ziemia; podłoga
عَلَى الأَرْضِ		na podłodze
رِحْلَةٌ		wyjazd; wycieczka; podróż
مَشَى		chodził; szedł
رَمَى		rzucił
وَضَعَ		położył; postawił
جَرَى		pobiegł
قَامَ بِ		dokonał; wypełnił; zrobił
قَامَ بِرِحْلَةٍ		odbył podróż
سَلاَمٌ		pozdrowienie
السَّلاَمَ عَلَى...ِ		odpowiedział na pozdrowienie
خَلْفَ...ِ		za ...
جَرَى خَلْفَهُ		pobiegł za nim
