Phrase	Transcription	Translation	Notes
قِطَارٌ		pociąg
حَقِيبَةٌ		walizka
دُمْيَةٌ		lalka
تُفَّاحٌ		jabłko
كُمَّثْرَى		gruszka
خَوْخٌ		brzoskwinie
عِنَبٌ		winogrona
نَخْلٌ		palmy
خَيْمَةٌ		namiot
سَفَرٌ		podróż
ثَوْبٌ		ubranie; mundur
ثِيَابُ الْمَدْرَسَةِ		mundurek szkolny
مِشْمِسٌ		morele
كُرَّاسَةٌ		zeszyt
صَاحِبٌ		kolega; towarzysz
بَعْدَ سَنَةٍ		za rok
تَنَاوَلَ		brał
تَنَاوَلَ الطَّعَامَ		zjadł posiłek; jadł
بَابَا		tata
حَوْلَ...ِ		wokół
مَايَزَالُ		on nadal; on ciągle; on jeszcze
مَايَزَالُ صَغِيرًا		on jest jeszcze mały
قَابَلَ		spotkał
سَلَّمَ عَلَى		pozdrowił; przywitał
بَيْنَ		wśród; pomiędzy
بَيْنَنَا		wśród nas
نَصَبَ		postawił; ustawił
نَصَبَ الْخَيْمَةَ		rozbił namiot
حَانَ		nastał; nadszedł; nastąpił
حَانَ وَقْتُ الصَّلاَةِ		nadszedł czas modlitwy
كَبُرَ		urósł; podrósł
