Phrase	Transcription	Translation	Notes
جِهَازُ التِّلِفُونِ		telefon; aparat telefoniczny
تِلِفِزْيُونٌ		telewizor
جِهَازُ الرَّادِيُو		odbiornik radiowy
مَطْبَخٌ		kuchnia
مَصْعَدٌ		winda
اَثَاثٌ		meble
وَسَطٌ		środek; centrum
فِى وَسَطِ الْمَدِينَةِ		w centrum miasta
زَاوِيَةٌ		kąt
نَظِيفٌ		czysty
مُرَبَّعٌ		czworokątny
لِمَ؟		dlaczego? po co?
لِأَنَّهُ		dlatego, że on
تَقْرِيبًا		prawie; mniej więcej; w przybliżeniu
لَكِنَّ...ِ		ale; jednak
لَكِنَّهُ		ale on
هَكَذَا		tak
لَمْ يَقْرَأْ		on nie czytał
اَتَدْرِى؟		czy ty wiesz?
لَوْ كُنْتُ مَكَانَكَ		gdybym był na twoim miejscu
بَكَى		płakał
ضَرَبَ		bił; uderzył
