Phrase	Transcription	Translation	Notes
سَبُّورَةٌ		tablica szkolna
قَلَمُ رَصَاصٍ		zwykły ołówek
قَلَمُ حِبْرٍ		długopis
فَكَّرَ		pomyślał; zastanowił się
فَكَّرَ فِيمَا يَفْعَلُ		zastanowił się, co robić
آتٍ		następny
عِبَارَةٌ		wyrażenie; zwrot
اُسْبُوعٌ		tydzień
خَرَخَ فِى رِحْلَةٍ		poszedł na wycieczkę
وَهَكَذَا		i tak; w ten sposób
فَاِذَا		i nagle
جَنْبَ...ِ		obok; przy
قَادِمٌ		przyszły; nadchodzący
غَابَةٌ		las
سَأَلَ عَنْ...ِ		zapytał o ...
اِمَّا... اَوْ...ِ		albo ... albo ...
اِذًا		w takim razie; skoro tak
يَكُونُ		bywa
سَيَكُونُ		będzie
يَقْرَأُ		czyta
سَيَقْرَأُ		przeczyta
كَمَا قَالَ		jak powiedział
مَا لَوْنُهُ؟		jaki ma kolor?
اَبْيَضُ		biały
اَسْوَدُ		czarny
اَحْمَرُ		czerwony
شَكَرَ		dziękował
