Phrase	Transcription	Translation	Notes
مِحْرَاثٌ		pług
جَرَّارَةٌ		traktor
فِرْجَارٌ		cyrkiel
جَارٌ		sąsiad
عَمَلٌ		praca
نَشَّافَةٌ		bibuła do osuszania
نَظَافَةٌ		czystość
بِسُرْعَةٍ		szybko
غَيْرُ كَبِيرٍ		nieduży
غَيْرُ نَظِيفٍ		nieczysty
فِكْرَةٌ		myśl; pomysł
كُلُّ وَاحِدٍ		każdy; wszyscy
مِسْطَرَةٌ		linijka
غَيْطٌ		pole; sad
وَالِدٌ		ojciec
مُهِمٌّ		ważny
آخِرٌ		koniec
وَصَلَ		doszedł; przybył; przyjechał
مَرَّ		przeszedł
جَرَّ		taszczył; ciągnął
حَرَثَ		orał
حَدَثَ		zdarzył się
هَلْ حَدَثَ مِنْ شَئْءٍ؟		Czy coś się stało?
مَا حَدَثَ شَئْءٌ		nic się nie stało
دَارَ اِلَى الْيَمِينَ		skręcił w prawo
دَارَ اِلَى الْوَرَاءِ		zawrócił
كَعَادَتِهِ		jak zwykle
كَنَّاسٌ		zamiatacz; woźny
نَظَّفَ		czyścił
