Phrase	Transcription	Translation	Notes
جَبَلٌ		góra
كُوخٌ		szałas; chata
مَوْقِدُ الْغَازِ		kuchenka gazowa
فَرْخٌ		pisklę; kurczak
بَيْضَةٌ		jajko
جَوْزٌ		orzechy
مَصْيَفٌ		kurort; dacza
صَدِيقٌ		przyjaciel
غَازٌ		gaz
سُؤَالٌ		pytanie
مَسْئَلَةٌ		zadanie
مَامَا		mama
الأَوَّلُ		pierwszy
اَلثَّانِى		drugi
اَاثَّالِثُ		trzeci
عِدَّةٌ		kilka
صَفٌّ		klasa; rok nauki
عَالٍ		wysoki
مَسْرُورٌ		wesoły; radosny; ucieszony
مَوْقِدٌ		piec; kuchnia
سَهْلٌ		łatwy
صَعْبٌ		trudny
لَمَّا		gdy; kiedy
لَمَّا خَرَجَ		gdy wyszedł
حَقًّا		rzeczywiście; naprawdę
مِنْهُمْ		z nich
اَهْلٌ		rodzina; krewni
صَلَّى		modlił się; odbył modły
طَبَخَ		gotował
وَجَدَ		znalazł; zastał
ضَرَبَ		bił
ضُرِبَ		był bity
أُخِذَ		wzięli go
كُتِبَ		napisano go; był napisany
