Phrase	Transcription	Translation	Notes
מֵאָה	'meʾa	sto	נ
מָאתַיִים	ma'tayim	dwieście
שלוֹש מֵאוֹת	ʃloʃ meʾot	trzysta	נ
אַרבַּע מֵאוֹת	arba meʾot	czterysta	נ
חָמֵש מֵאוֹת	χameʃ meʾot	pięćset	נ
שֵש מֵאוֹת	ʃeʃ meʾot	sześćset	נ
שבַע מֵאוֹת	ʃva meʾot	siedemset	נ
שמוֹנֶה מֵאוֹת	ʃmone meʾot	osiemset	נ
תשַע מֵאוֹת	tʃa meʾot	dziewięćset	נ
אֶלֶף	'elef	tysiąc	ז
אַלפַּיִים	al'payim	dwa tysiące	ז
שלוֹשֶת אֲלָפִים	'ʃloʃet alafim	trzy tysiące	ז
עֲשֶׂרֶת אֲלָפִים	a'seret alafim	dziesięć tysięcy	ז
מֵאָה אֶלֶף	'meʾa 'elef	sto tysięcy	ז
מִיליוֹן	milyon	milion	ז
מִיליַארד	milyard	miliard	ז
