Phrase	Transcription	Translation	Notes
שֶבֶר	'ʃever	ułamek	ז
חֵצִי	'χeʦi	połowa	ז
שלִיש	ʃliʃ	jedna trzecia	ז
רֶבַע	'reva	jedna czwarta	ז
שמִינִית	ʃminit	jedna ósma	נ
עֲשִׂירִית	asirit	jedna dziesiąta	נ
שנֵי שלִישִים	ʃnei ʃliʃim	dwie trzecie	ז
שלוֹשֶת רִבעֵי	'ʃloʃet rivʿei	trzy czwarte
