Phrase	Transcription	Translation	Notes
אֲנִי	ani	ja	ז, נ
אַתָה	ata	ty	ז
אַת	at	ty	נ
הוּא	hu	on	ז
הִיא	hi	ona	נ
אֲנַחנוּ	a'naχnu	my	ז, נ
אַתֶם	atem	wy	ז״ר
אַתֶן	aten	wy	נ״ר
הֵם	hem	oni	ז״ר
הֵן	hen	one	נ״ר
