Phrase	Transcription	Translation	Notes
חִיסוּר	χisur	odejmowanie	ז
לְחַסֵר	leχaser	odejmować
חִילוּק	χiluk	dzielenie	ז
לְחַלֵק	leχalek	dzielić
חִיבּוּר	χibur	dodawanie	ז
לְחַבֵּר	leχaber	dodawać
כֶּפֶל	'kefel	mnożenie	ז
לְהַכפִּיל	lehaχpil	pomnożyć
