Phrase	Transcription	Translation	Notes
ثَلَاثَة و سَبْعُونَ	ṯalāṯa wa sabʿūn	siedemdziesiąt trzy	٧٣
أَرْبَعَة و سَبْعُونَ	arbaʿa wa sabʿūn	siedemdziesiąt cztery	٧٤
خَمْسَة و سَبْعُونَ	ḫamsa wa sabʿūn	siedemdziesiąt pięć	٧٥
سِتَّة و سَبْعُونَ	sitta wa sabʿūn	siedemdziesiąt sześć	٧٦
سَبْعَة و سَبْعُونَ	sabʿa wa sabʿūn	siedemdziesiąt siedem	٧٧
ثَمَانِيَة و سَبْعُونَ	ṯamāniya wa sabʿūn	siedemdziesiąt osiem	٧٨
تِسْعَة و سَبْعُونَ	tisʿa wa sabʿūn	siedemdziesiąt dziewięć	٧٩
ثَمَانُونَ	ṯamānūn	osiemdziesiąt	٨٠
وَاحِد و ثَمَانُونَ	wāḥid wa ṯamānūn	osiemdziesiąt jeden	٨١
اِثْنَان و ثَمَانُونَ	iṯnān wa ṯamānūn	osiemdziesiąt dwa	٨٢
ثَلَاثَة و ثَمَانُونَ	ṯalāṯa wa ṯamānūn	osiemdziesiąt trzy	٨٣
أَرْبَعَة و ثَمَانُونَ	arbaʿa wa ṯamānūn	osiemdziesiąt cztery	٨٤
خَمْسَة و ثَمَانُونَ	ḫamsa wa ṯamānūn	osiemdziesiąt pięć	٨٥
سِتَّة و ثَمَانُونَ	sitta wa ṯamānūn	osiemdziesiąt sześć	٨٦
سَبْعَة و ثَمَانُونَ	sabʿa wa ṯamānūn	osiemdziesiąt siedem	٨٧
ثَمَانِيَة و ثَمَانُونَ	ṯamāniya wa ṯamānūn	osiemdziesiąt osiem	٨٨
تِسْعَة و ثَمَانُونَ	tisʿa wa ṯamānūn	osiemdziesiąt dziewięć	٨٩
تِسْعُونَ	tisʿūn	dziewięćdziesiąt	٩٠
وَاحِد و تِسْعُونَ	wāḥid wa tisʿūn	dziewięćdziesiąt jeden	٩١
اِثْنَان و تِسْعُونَ	iṯnān wa tisʿūn	dziewięćdziesiąt dwa	٩٢
ثَلَاثَة و تِسْعُونَ	ṯalāṯa wa tisʿūn	dziewięćdziesiąt trzy	٩٣
أَرْبَعَة و تِسْعُونَ	arbaʿa wa tisʿūn	dziewięćdziesiąt cztery	٩٤
خَمْسَة و تِسْعُونَ	ḫamsa wa tisʿūn	dziewięćdziesiąt pięć	٩٥
سِتَّة و تِسْعُونَ	sitta wa tisʿūn	dziewięćdziesiąt sześć	٩٦
سَبْعَة و تِسْعُونَ	sabʿa wa tisʿūn	dziewięćdziesiąt siedem	٩٧
ثَمَانِيَة و تِسْعُونَ	ṯamāniya wa tisʿūn	dziewięćdziesiąt osiem	٩٨
تِسْعَة و تِسْعُونَ	tisʿa wa tisʿūn	dziewięćdziesiąt dziewięć	٩٩
مِئَة	miʾa	sto	١٠٠
