Phrase	Transcription	Translation	Notes
أَنَا	anā	ja	1 os. l. poj.
أَنْتَ	anta	ty	2. os. l. poj. r. męsk.
أَنْتِ	anti	ty	2. os. l. poj. r. żeńsk.
هُوَ	huwa	on	3. os. l. poj. r. męsk.
هِيَ	hiya	ona	3. os. l. poj. r. żeńsk.
نَحْنُ	naḥnu	my	1. os. l. mn.
أَنْتُمْ	antum	wy	2. os. l. mn. r. męsk.
أَنْتُنَّ	antunna	wy	2. os. l. mn. r. żeńsk
هُمْ	hum	oni	3. os. l. mn. r. męsk.
هُنَّ	hunna	one	3. os. l. mn. r. żeńsk.
أَنْتُمَا	antumā	wy (dwoje)	2. os. l. podw.
هُمَا	humā	oni, one (dwoje)	3. os. l. podw.
