Phrase	Transcription	Translation	Notes
عُلْبَةٌ		paczka; pudełko
حَبْلٌ		sznurek
كِيسٌ		worek
قَمْحٌ		pszenica
شَعِيرٌ		jęczmień
صُورَةٌ		zdjęcie; rysunek; obraz
حَوْضٌ		basen
حَوْضُ السِّبَاحَةِ		basen pływacki
حَشِيشٌ		siano
صِبْغٌ		farba
عُلْبَةٌ اَصْبَاغٍ		pudełko farb
حَيْوَانٌ		zwierzę
حِصَانٌ		koń; źrebię
طَعَامٌ		żywność; jedzenie
لَوْنٌ		kolor
فُطُورٌ		śniadanie
صَمْغٌ		klej
صِغَرٌ		dzieciństwo; małoletniość
فِى الصِّغَرِ		w dzieciństwie
سِبَاحَةٌ		pływanie
وَاسِعٌ		przestronny; szeroki
عَمِيقٌ		głęboki
وَقْتَ الْفَرَاغِ		w wolnym czasie
قَدَّمَ		podał; dał
اَلْصَقَ		kleił
تَعَلَّمَ		uczył się; nauczył sie
تَعَلَّمْ		ucz się; naucz się
حَمَلَ		nosił ze sobą; woził ze sobą
رَبَطَ		przywiązał; związał
صَبَغَ		malował
