Phrase	Transcription	Translation	Notes
سَاعَةٌ		zegarek
طَبِيبٌ		lekarz
مَرِيضٌ		chory
سَطْلٌ		wiadro
حِكَايَةٌ		opowieść; historia
عَمٌّ		wuj ze strony ojca
هَدِيَّةٌ		prezent; podarunek
سَنَةٌ		rok
وَقْتٌ		czas
ضَعِيفٌ		słaby; bezsilny
صَبَاحِيٌّ		poranny
مَاضٍ		przeszły
وَ لِذَلِكَ		i dlatego
اَلسَّنَةُ الْمَاضِيَةُ		zeszły rok
نَهَارُكَ سَعِيدٌ!ِ		dzień dobry!
اَهْلاً وَ سَهْلاً		witamy
دَخَلَ الْجَامِعَةَ		wstąpił na uniwersytet
اِنَّ		zaprawdę
اِنَّهُ		zaprawdę, on ci
اَمَا قَرَأَ؟		czyż nie czytał?
اَمَا قُلْتُ لَكَ؟		a nie mówiłem ci?
زَارَ		odwiedził
