Phrase	Transcription	Translation	Notes
يَدٌ		ręka
خِزَانَةٌ		szafa
خِزَانَةُ كُتُبٍ		biblioteczka; szafa na książki
خَرِيفٌ		jesień
مَعْهَدٌ		instytut
اَىٌّ؟		jaki?
اَيَّةٌ؟		jaka?
اَىٌّ كِتَابٍ		jaka książka?
جَيِّدًا		dobrze; doskonale
عَادَ		powrócił
نَامَ		spał
اَطَاعَ		podporządkował się; posłuchał
تَغَدَّى		jadł obiad
تَعَشَّى		jadł kolację
لُغَةٌ		język; mowa
غُرْفَةٌ		pokój
مَخْزَنٌ		sklep
اِنَاءٌ		naczynie
دَرَسَ اللُّغَةٌ الْعَرَبِيَّةَ		nauczył się języka arabskiego
بِاللُّغَةِ الْعَرَبِيَّةِ		w języku arabskim
نِمْتُ		spałem
نِمْنَا		spaliśmy
تَغَدَّيْتُ		jadłem obiad
