Phrase	Transcription	Translation	Notes
مَسْجِدٌ		meczet
شِقَّةٌ		mieszkanie
اَلَيْسَ؟		czyż nie?
عَنْ...ِ		od
قَرِيبٌ		bliski
بَعِيدٌ		daleki
قَدِيمٌ		stary; starożytny
هُمْ...		ich
هُنَّ...		ich	r.ż.
كُمْ...		wasz
كُنَّ...		wasz	r.ż.
نَا...		nasz
بَيْتُهُمْ		ich dom
بَيْتُهُنَّ		ich dom	r.ż.
بَيْتُكُمْ		wasz dom
بَيْتُكُنَّ		wasz dom	r.ż.
بَيْتُنَا		nasz dom
سَكَنَ		mieszkał
نَظَرَ		popatrzył
رَحَلَ		wyjechał; wyprowadził się
هُمْ سَكَنُوا		oni mieszkali
هُنَّ سَكَنَّ		one mieszkały
اَنْتُمْ سَكَنْتُمْ		wy mieszkaliście
اَنْتُنَّ سَكَنْتُنَّ		wy mieszkałyście
نَحْنُ سَكَنَّا		my mieszkaliśmy
