Phrase	Transcription	Translation	Notes
零
一
二
三
四
五
六
七
八
九
十
十一
十二
十三
十四
十五
十六
十七
十八
十九
二十
二十一
二十二
二十三
三十
三十二
三十三
四十
四十一
四十二
四十三
五十
五十一
五十二
五十三
六十
六十二
六十三
七十
七十一
七十二
七十三
八十
八十一
八十二
八十三
九十
九十一
九十二
九十三
