Phrase	Transcription	Translation	Notes
你好！
你们好！
早上好！
午安！
晚上好！
问好
你好！
问候欢迎你好吗？
有什么新消息？
再见！
回头见！
再见！
说再见回头见！
谢谢！
多谢！
不客气不用谢谢！
没什么
请原谅
道歉
我道歉
对不起！
原谅
请
别忘了！
当然！
当然不是！
同意！
够了！
