Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
搌	zhǎn	to wipe tears; to bind	手			
擗	pǐ	to beat the breast	手			
哳	zhā		口			
鋻	jiàn		金			
楗	jiàn	bar of door, bolt of lock	木			
韂	chàn	a saddle-flap. trappings	革			
飆	biāo	whirlwind, stormy gale	風			
饏	dàn		食			
耥	tāng	farm tool	耒			
髼	péng		髟			
篼	dōu	mountain sedan chair; (Cant.) a simple container without a cover	竹			
鬑	lián	long, flowing hair	髟			
醑	xǔ	to strain spirits	酉			
鴧	ròng		鳥			
眜	mò		目			
瞷	jiàn		目			
磦	biāo		石			
礨	lěi		石			
祃	mà	a sacrifice at the beginning of a military campaign	示			
祲	jìn	ominous or sinister spirit; vigor	示			
祻	gù		示			
窊	wā	pit, vault; store in pit; (Cant.) 手窊, the arm	穴			
簥	jiāo	a large pipe; a farm tool	竹			
籲	yù	appeal; request; implore	竹			
縢	téng	bind, tie up, restrain; cord	糸			
繌	sha		糸			
繒	zēng	silk fabrics; surname	糸			
聜	dǐ		耳			
胔	zì	rotten meat; bones of dead animals	肉			
胾	zì	minced meat; to cut meat into pieces	肉			
脨	cù		肉			
膼	zhuā		肉			
艕	bàng	two boats fastened side by side	舟			
苼	shēng		艸			
莻	gòng	late	匕			
蓨	tiáo		艸			
蓵	jié		艸			
蓾	lǔ		艸			
藦	mò	edible mushrooms	艸			
虀	jī	minced pickles; leeks; mix; salt	艸			
蚈	qiān		虫			
蛡	yì		虫			
蛻	tuì	molt, exuviate, shed	虫			
蝝	yuán	the larva of locust	虫			
蝹	yūn		虫			
蟿	qì	acrida chinensis	虫			
衼	zhī		衣			
褦	nài	stupid, dull, ignorant, doltish; (Cant.) to tie up, bind	衣			
襶	dài	ignorant; naive; unsophisticated	衣			
覐	jué	to sleep; to realize, feel	見			
詯	huì		言			
誴	cóng		言			
諓	jiàn	flattering	言			
謧	lí		言			
謪	shāng	to consult; to deliberate; commerce	言			
譁	huá	noise, uproar; clamor, hubbub	言			
貤	yí	steps, grade, strata; series	貝			
赪	chēng	deep red	赤			
踖	jí	trample on, tread on	足			
軆	tǐ	body; group, class, body, unit	身			
輈	zhōu	shaft	車			
鄛	cháo		邑			
鄡	qiāo		邑			
醖	yùn	liquor	酉			
屺	qǐ	a hill with trees or grass-- some give the opposite meaning	山			
鍑	fù		金			
鏉	shòu		金			
雊	gòu	the crow of a male pheasant	隹			
顓	zhuān	good, honest; simple; respectful	àà			
飐	zhǎn	sway in wind	風			
稆	lǚ	wild grain	禾			
駳	dàn		馬			
騽	xí		馬			
骍	xīng	red, brown, bay; neat, harmonious	馬			
筻	gàng	place name in Hunan province	竹			
魱	hú		魚			
舣	yǐ	to moor a boat to the bank	舟			
鮾	něi		魚			
鯋	shā	shark	魚			
鯏	li	dialect name for a (bad tasting) blood clam	魚			
鶃	yì	hawk; Ardea cinerea	鳥			
鶫	dong	thrush; Turdus naumanni	鳥			
齛	xiè		齒			
矙	kàn	view	目			
絾	chéng		糸			
袗	zhěn	unlined garments; hem of garment	衣			
襬	bǎi	lower part of a robe	衣			
漤	lǎn	marinate in salt	水			
闕	què	watch tower; palace	門			
鬐	qí		髟			
鲾	bī		魚			
鴾	móu	a crested ibis	鳥			
稭	jiē	stalk of grain, rice, corn, hemp	禾			
籄	kuì	a basket for carrying earth	竹			
聺	qié		耳			
褹	yì		衣			
訟	sòng	accuse; argue, dispute; litigate	言			
鏕	lù		金			
齆	wèng	stuffed nose	鼻			
盫	ān		皿			
