Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
烧	shāo	burn; bake; heat; roast	火	3		
距	jù		足	4		
裁	cái	cut out; decrease	衣	5		
偏	piān	inclined one side; slanting	人	6		
符	fú	i.d. tag, tally, symbol, charm	竹	4		
勇	yǒng	brave, courageous, fierce	力	4		
触	chù	butt, ram, gore; touch	角	5		
课	kè	lesson; course; classwork	言	2		
敬	jìng	respect, honor; respectfully	攴	5		
哭	kū	weep, cry, wail	口	3		
懂	dǒng	understand, comprehend	心	2		
墙	qiáng	wall	土	5		
袭	xí	raid, attack; inherit	龍	6		
召	zhào	imperial decree; summon	口	5		
罚	fá	penalty, fine; punish, penalize	网	5		
侠	xiá	chivalrous person; knight-errant	人	6		
厅	tīng	hall, central room	厂	4		
拜	bài	do obeisance, bow, kowtow	手	4		
巧	qiǎo	skillful, ingenious, clever	工	4		
侧	cè	side; incline, slant, lean	人	6		
韩	hán	fence; surname; Korea	韋			
冒	mào	risk, brave, dare	冂	3		
债	zhài	debt, loan, liabilities	人	6		
曼	màn	long, extended, vast; beautiful	日			
融	róng	melt, fuse; blend, harmonize	虫	6		
惯	guàn	habit, custom; habitually, usual	心	3		
享	xiǎng	enjoy	à	5		
戴	dài	wear on top; support	戈	4		
童	tóng	child, boy, servant boy; virgin	立	4		
犹	yóu	like, similar to, just like, as	犬	5		
乘	chéng	ride, ascend; avail oneself of; numerary adjunct for vehicles	丿	4		
挂	guà	hang, suspend; suspense	手	4		
奖	jiǎng	prize, reward; give award to	大	4		
绍	shào	continue, carry on; join	糸	2		
厚	hòu	thick; substantial; greatly	厂	4		
纵	zòng	indulge in, give free reign to	糸	6		
障	zhàng	separate; shield; barricade	阜	6		
讯	xùn	inquire; ask; examine; reproach	言	6		
涉	shè	ford stream, wade across	水	6		
彻	chè	penetrate, pervade; penetrating	彳	5		
刊	kān	publication, periodical; publish	刀	6		
丈	zhàng	unit of length equal 3.3 meters; gentleman, man, husband	一	2		
爆	bào	crackle, pop, burst, explode	火	6		
乌	wū	crow, rook, raven; black, dark	丿	6		
役	yì	service; a servant, laborer; to serve	彳	6		
描	miáo	copy, trace, sketch; depict	手	5		
洗	xǐ	wash, rinse; clean, purify	水	2		
玛	mǎ	agate; cornelian	玉			
患	huàn	suffer, worry about; suffering	心	6		
妙	miào	mysterious, subtle; exquisite	女	5		
镜	jìng	mirror; lens; glass; glasses	金	4		
唱	chàng	sing, chant, call; ditty, song	口	2		
烦	fán	bother, vex, trouble; troublesome	火	4		
签	qiān	sign, endorse; slip of paper	竹	4		
仙	xiān	Taoist super-being, transcendent, immortal	人	6		
彼	bǐ	that, there, those	彳	5		
弗	fú	not, negative	弓			
症	zhèng	disease, illness, ailment	疒	6		
仿	fǎng	imitate, copy; as if	人	5		
倾	qīng	upset, pour out, overflow	人	6		
牌	pái	signboard, placard	片	4		
陷	xiàn	submerge, sink, plunge; trap	阜	6		
鸟	niǎo	bird; KangXi radical 196	鳥	3		
轰	hōng	rumble, explosion, blast	車	6		
咱	zán	we, us	口	4		
菜	cài	vegetables; dish, order; food	艸	1		
闭	bì	shut, close; obstruct, block up	門	5		
奋	fèn	strive, exert effort; arouse	大	4		
庆	qìng	congratulate, celebrate	广	5		
撤	chè	omit; remove; withdraw	手	6		
泪	lèi	tears; weep, cry	水	5		
茶	chá	tea	艸	1		
疾	jí	illness, disease, sickness; to hate	疒	6		
缘	yuán	hem, margin; reason, cause; fate	糸	6		
播	bō	sow, spread; broadcast; cast away, reject	手	4		
朗	lǎng	clear, bright; distinct	月	5		
杜	dù	stop, prevent; restrict; surname	木	6		
奶	nǎi		女	2		
季	jì	quarter of year; season; surname	子	3		
丹	dān	cinnabar (native HgS); vermilion (artificial HgS used as pigment)	丶			
狗	gǒu	dog, canis familiaris	犬	1		
尾	wěi	tail, extremity; end, stern	尸	5		
仪	yí	ceremony, rites gifts; admire	人	6		
偷	tōu	to steal, burglar, thief	人	5		
奔	bēn	run fast, flee; rush about; run	大	6		
珠	zhū	precious stone, gem, jewel, pearl	玉	6		
虫	chóng	insects, worms; KangXi radical 142	虫	5		
驻	zhù	to be stationed at, reside at; to stop	馬	6		
孔	kǒng	opening, hole, orifice; great	子	6		
宜	yí	suitable, right, fitting, proper	宀	2		
艾	ài	artemisia, mugwort; translit.	艸			
桥	qiáo	bridge; beam, crosspiece	木	4		
淡	dàn	weak, watery; insipid, tasteless	水	5		
翼	yì	wings; fins on fish; shelter	羽	6		
恨	hèn	hatred, dislike; resent, hate	心	5		
繁	fán	complicated, complex, difficult	糸	5		
寒	hán	cold, wintry, chilly	宀	4		
伴	bàn	companion, comrade, partner; accompany	人	5		
叹	tàn	sigh, admire	口	6		
旦	dàn	dawn; morning; day	日	5		
