Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
阈	yù	threshold; separated, confined	門			
麋	mí	elk; surname	鹿			
麒	qí	legendary auspicious animal	鹿			
苁	cōng	medicinal herb	艸			
摁	èn	to press with the hand	手			
涔	cén	river in Shaanxi; murky torrent	水			
宥	yòu	forgive, pardon, indulge	宀			
妍	yán	beautiful, handsome; seductive	女			
铤	dìng	ingots, bars of metal; hurry	金			
锷	è	high, lofty; edge of knife	金			
嗲	diǎ		口			
恽	yùn	devise, plan, deliberate; consult	心			
麂	jǐ	species of deer	鹿			
赝	yàn	false; counterfeit; bogus; sham	厂			
胛	jiǎ	the shoulder, shoulder blade	肉			
哂	shěn	smile, laugh at, sneer at; (Cant.) a final particle indicating doing something to the full extent possible	口			
撷	xié	pick up, gather up; hold in lap	手			
呶	náo	talkative; clamour; hubbub	口			
噘	juē	pouting	口			
懔	lǐn	be afraid of, to be in awe of	心			
àà	lì	chestnut-leaved oak; oak	木			
桎	zhì	fetters, shackles, handcuffs	木			
霰	sǎn	hail, sleet	雨			
飨	xiǎng	host banquet; banquet	食			
揄	yú	lift, raise; praise; hang; flap	手			
噔	dēng	syllable; (Cant.) for (a recipient of pity or sympathy)	口			
娣	dì	younger sister, sister-in-law	女			
薏	yì		艸			
忝	tiǎn	disgraced; ashamed; self-deprecating	心			
咤	zhà	scold, bellow, shout at, roar	口			
嗵	tōng	used for sound	口			
迤	yí	wind; walk out of straight path	辵			
贲	bēn	forge ahead; energetic; surname	貝			
胪	lú	arrange in order; display	肉			
鍪	móu	an iron pan; a metal cap	金			
泸	lú	river in Jiangxi province	水			
蔫	niān	withered, faded, decayed; calm	艸			
刈	yì	cut off, reap, mow; sickle	刀			
僖	xī	joy, gladness, delight; surname	人			
咿	yī	descriptive of creaking; laugh	口			
鹌	ān	quail; Coturnix coturnix	鳥			
嗪	qín	character used in translation	口			
茏	lóng	tall grass; water-weeds	艸			
茯	fú	china root; medicinal fungus	艸			
岫	xiù	mountain peak; cave, cavern	山			
嵘	róng	high, steep; lofty, towering	山			
轱	gū	wheel; to turn; to revolve	車			
怼	duì	hate, abhor; hatred, resentment	心			
铨	quán	weigh, measure; select officials	金			
昕	xīn	dawn; early morning; day	日			
郢	yǐng		邑			
咩	miē	the bleating of sheep; (Cant.) an interrogative particle	口			
馊	sōu	spoiled, rotten, stale, rancid	食			
髡	kūn	to shear tree; ancient punishment	髟			
澧	lǐ	river in northern Hunan province	水			
苣	jù	kind of lettuce	艸			
濯	zhuó	wash out, rinse; cleanse	水			
盥	guàn	wash	皿			
囡	nān		囗			
àà	lì	whetstone; sharpen	石			
佘	shé	surname	人			
谶	chèn	prophecy, hint, omen	言			
弑	shì		弋			
楂	zhā	a raft, to hew, to fell trees	木			
翦	jiǎn	scissors; cut, clip; annhilate	羽			
怩	ní	shy, timid, bashful; look ashamed	心			
àà	qú		虫			
霏	fēi	falling of snow and rain	雨			
楹	yíng	column, pillar; numerary adjunct	木			
讴	ōu	sing; songs	言			
锲	qiè	sickle; cut, carve, engrave	金	6		
慵	yōng	indolent, easy-going, lazy	心			
胝	zhī	callous, corn	肉			
àà	biān	stone probe; pierce; counsel	石			
潍	wéi	county in Shandong province	水			
杵	chǔ	pestle; baton used beat clothes	木			
樾	yuè	the shade of trees	木			
帼	guó		巾			
碣	jié	stone tablet	石			
诌	zhōu	play with words, quip; talk nonse	言			
徕	lái	induce, encourage to come	彳			
胴	dòng	the large intestine; the body	肉			
钴	gǔ	cobalt; household iron	金			
裟	shā	a cassock or robe of a monk	衣			
啶	dìng	phonetic used in pyridine and pyrimidine	口			
铣	xǐ	mill	金			
铱	yī	iridium	金			
楫	jí	oar, paddle	木			
赭	zhě	reddish brown; hematite; ochre	赤			
碛	qì	sand and gravel	石			
酊	dīng	drunk, intoxicated	酉			
魑	chī	a mountain demon resembling a tiger	鬼			
醛	quán	aldehyde	酉			
剐	guǎ	cut, cut flesh from bones	刀			
畦	qí	sections in vegetable farm	田			
陂	bēi	dam, embankment; reservoir	阜			
闶	kāng	door	門			
阄	jiū	lots (to be drawn); draw lots	門			
祚	zuò	throne; bless; blessing, happiness	示			
鹘	gǔ	a kind of pigeon; treron permagna	鳥			
