Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
鐄	huáng	bell	金			
鑣	biāo	bit, bridle; ride	金			
鑷	niè	tweezers, forceps, pincers	金			
辁	quán	cart wheel with no spokes	車			
阸	è	distress; difficulty	阜			
牿	gù		牛			
鞝	shàng	the piece of leather used for soles on Chinese shoes. a patch	革			
àà	è	(nose) bridge	àà			
瞵	lín	to stare at	目			
饤	dìng	display food for show only; sacrifice	食			
駃	jué	gallop	馬			
駉	jiōng	big	馬			
à	tí	a horse, mule	馬			
驡	lóng		馬			
髪	fà	hair	髟			
鬚	xū	beard, whiskers; whisker-like	髟			
鬿	qí		鬼			
鮌	gǔn		魚			
鯁	gěng	fish bones; honest, upright	魚			
鱻	xiān	fresh, new, delicious; rare, few	魚			
鶚	è	osprey, fishhawk; Pandion haliaetus	鳥			
鷫	sù	turquoise kingfisher	鳥			
鹖	hé	crossbill, species of nightingale	鳥			
磩	qì		石			
磭	chuò		石			
稌	tú	glutinous rice	禾			
穃	rong		禾			
綂	tǒng	govern, command, control; unite	糸			
膥	chūn	(Cant.) eggs of birds or reptiles; testicles	肉			
膱	zhí		肉			
臿	chā	to separate the grain from the husk	臼			
艎	huáng	fast boat	舟			
苃	yǒu		艸			
茍	jì	to be circumspect, cautious in ones behaviour (distinguish DKW 30790 gou3)	艸			
蒟	jǔ	betel pepper; Amorphophallus konjac	艸			
藣	bēi		艸			
虈	xiāo		艸			
蜐	jié		虫			
訅	qiú		言			
詭	guǐ	deceive, cheat, defraud; sly	言			
讈	lì		言			
貿	mào	trade, barter; mixed; rashly	貝			
趷	kē	to jolt; (Cant.) to raise up; block	足			
蹌	qiāng	walk rapidly	足			
蹹	tá	to tread on; to stamp; to walk	足			
鈰	shì	cerium	金			
銑	xiǎn	mill	金			
鋫	lí		金			
鍔	è	high, lofty; edge of knife	金			
鐨	fèi	fermium	金			
餉	xiǎng	rations and pay for soldiers	食			
騛	fēi		馬			
鯛	diāo	pagrosomus major, porgy	魚			
鰤	shī	a yellowtail (fish)	魚			
鳳	fèng	male phoenix; symbol of joy	鳥			
鵂	xiū	horned owl, scops chinensis; bird of ill omen	鳥			
鶢	yuán	a bird which frequents the sea-shore	鳥			
鶳	shī		鳥			
黋	kuàng		黃			
齢	líng	age; years	齒			
磚	zhuān	tile, brick	石			
緲	miǎo	indistinct, dim; minute; distant	糸			
繳	jiǎo	deliver, submit; hand over	糸			
聝	guó	to cut the left ears of the slain	耳			
膴	hū	fine	肉			
芵	jué		艸			
藫	tán		艸			
覓	mì	seek; search	見			
誕	dàn	to bear children, give birth; birth	言			
誡	jiè	warn, admonish; warning	言			
貎	ní	lion; wild beast; wild horse	豸			
賄	huì	bribe; bribes; riches, wealth	貝			
跰	pián		足			
踥	qiè		足			
迆	yí	wind; walk out of straight path	辵			
逕	jìng	pass by, approach; direct	辵			
逤	suò		辵			
鏢	biāo	dart, spear, harpoon; escort	金			
鏤	lòu	carve, inlay, engrave, tattoo	金			
鑄	zhù	melt, cast; coin, mint	金			
鑽	zuān	drill, bore; pierce; diamond	金			
àà	hàn	chin, jowl; give nod	àà			
鴉	yā	crow, raven; Corvus species (various)	鳥			
鴰	guā	the crow	鳥			
麅	páo	a small spotted deer found in north China	鹿			
礱	lóng	grind, sharpen; mill	石			
祿	lù	blessing, happiness, prosperity	示			
缷	xiè	lay down; retire from office	缶			
虙	fú		虍			
齗	yín	gums (of the teeth); to dispute	齒			
裓	gé		衣			
铹	láo	lawrencium (Lr)	金			
睙	liè		目			
矟	shuò	lance	矛			
硣	xiāo		石			
磹	tán		石			
礀	jian		石			
禮	lǐ	social custom; manners; courtesy; rites	示			
秶	zī		禾			
窇	báo		穴			
