Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
àà	lú	supporting block; sumac, loquat	木			
醐	hú	purest cream	酉			
唢	suǒ	flute-like musical instrument	口			
獍	jìng	a mythical animal that eats its mother when it is born; Manchurian tiger	犬			
殳	shū	name of old weapon; kill; rad. 79	殳			
仡	gē	strong; valiant	人			
軟	ruǎn	soft, flexible, pliable; weak	車			
刿	guì	to cut, injure, stab, stick on	刀			
葜	qiā	smilax china	艸			
薅	hāo	to weed; to eradicate	艸			
湓	pén	an affluent of the River Yangtze near Kiukiang	水			
搴	qiān	extract; seize; pluck up	手			
尕	gǎ	small (used in place names)	小			
磴	dèng	steps on ledge, cliff, or hill	石			
锝	dé	technetium	金			
镅	méi	americium	金			
艚	cáo	ship	舟			
殄	tiǎn	to end; to exterminate	歹			
暝	míng	dark, obscure	日			
祢	mí		示			
豉	shì	fermented beans	豆			
垴	nǎo	small, head shaped hill, used in place names	土			
維	wéi	maintain, preserve, safeguard	糸			
瓿	bù	jar, pot	瓦			
煺	tuì		火			
蟥	huáng	leech	虫			
蹀	dié	to skip, to dance; to put the foot down	足			
門	mén	gate, door, entrance, opening	門			
黼	fǔ	embroidered official or sacrificial robe	黹			
氙	xiān	xenon	气			
铑	lǎo	rhodium	金			
積	jī	accumulate, store up, amass	禾			
線	xiàn	thread, line, wire; clue	糸			
蒡	bàng	burdock, herb	艸			
杪	miǎo	tip of twig, top of tree; twig	木			
肜	róng	to sacrifice on two successive days	肉			
膂	lǚ	backbone, spinal column	肉			
àà	lá	big stone	石			
硭	máng	a crude saltpetre	石			
酽	yàn	thick, strong (beverage)	酉			
踟	chí	hesitate, undecided; embarrassed	足			
鲷	diāo	pagrosomus major, porgy	魚			
蒴	shuò	seed (capsule)	艸			
藁	gǎo	straw, hay; dry, withered	艸			
猡	luó	pig; Lolo aboringinal tribe	犬			
旒	liú	fringes of pearls on crowns	方			
硇	náo	a kind of mineral	石			
锍	liǔ		金			
鞲	gōu	leather arm guard	革			
哿	gě	excellent; to commend to be able to	口			
皤	pó	white, grey; corpulent	白			
哏	gén		口			
殍	piǎo	to starve to death	歹			
漯	luò	river in northern Shandong	水			
確	què	sure, certain; real, true	石			
織	zhī	weave, knit; organize, unite	糸			
連	lián	join, connect; continuous; even	辵			
谂	shěn	consult carefully with, counsel	言			
跶	tà	stumble, slip	足			
橥	zhū	wooden peg, post or stick	木			
镬	huò	cauldron, large iron pot	金			
鸲	qú	mynah; Erithacus species (various)	鳥			
姝	shū	a beautiful girl	女			
茭	jiāo	an aquatic grass, the stalks of which are eaten as a vegetable	艸			
窆	biǎn	to put a coffin in a grave	穴			
髟	biāo	hair; KangXi radical 190	髟			
畋	tián	till land, cultivate; hunt	田			
溏	táng	pool; not hardened, semi-soft	水			
鲔	wěi	kind of sturgeon, tuna	魚			
顯	xiǎn	manifest, display; evident, clear	àà			
喹	kuí	chemical compound	口			
紹	shào	continue, carry on; hand down; to join	糸			
吣	qìn	vomit	口			
羼	chàn	confuse, mix, interpolate	羊			
缧	léi	a chain or rope used bind criminals	糸			
窬	yú	a small door or window; a hole in the wall to cut through a wall	穴			
骘	zhì	stallion; promote	馬			
赉	lài	give, present, confer; surname	貝			
镓	jiā	gallium	金			
邳	pī	a department in the State of Lu; in what is now Shantung or N. China	邑			
璩	qú	jade ring; earrings; surname	玉			
鸸	ér	swallow	鳥			
à	wéi	still water	水			
溲	sōu	urinate; soak, drench	水			
孥	nú		子			
敉	mǐ	pacify, soothe, stabilize	攴			
筌	quán	bamboo fish trap	竹			
䜣	xīn	(simplified form of 訢) (same as 欣) joy; delight; happy				
義	yì	right conduct, righteousness	羊			
衛	wèi	guard, protect, defend	行			
響	xiǎng	make sound, make noise; sound	音			
蹓	liū	stroll, take walk	足			
垓	gāi	border, boundary, frontier	土			
苒	rǎn	lush; successively, in order	艸			
荸	bí	water chestnut	艸			
甓	pì	glazed tiles, bricks	瓦			
锪	huō	a kind of tool	金			
镄	fèi	fermium	金			
脔	luán	small lump of meat; sliced meat	肉			
艟	chōng	ancient warship	舟			
