Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
艞	yào		舟			
鹟	wēng		鳥			
钁	jué	a mattock; a billhook	金			
鞓	tīng		革			
鰉	huáng	sturgeon	魚			
監	jiān	supervise, control, direct	皿			
穊	jì	plough deep; sown slowly	禾			
蕡	fén	hemp seeds; plant with abundant	艸			
鑨	lóng		金			
楱	zòu		木			
靹	nà		革			
鷃	yàn	quail	鳥			
鼱	jīng		à			
眫	mǐ		目			
艆	láng		舟			
褯	jiè		衣			
剞	jī	carving or engraving knife; grave	刀			
蔟	cù	frame on which silkworms spin	艸			
靿	yào	the leg of a boot	革			
飭	chì	order; command; give command	食			
瘼	mò	sickness; distress	疒			
酴	tú	leaven, yeast; wine	酉			
鼢	fén	a variety of mole	à			
睆	huàn	bright	目			
硁	kēng	the sound of stones knocking together	石			
秬	jù	black millet	禾			
穪	chēng	to praise	禾			
筦	guǎn	a key; to be in charge; a pipe	竹			
粡	tóng		米			
粣	cè		米			
綖	yán	the hanging flap in the front of a hat	糸			
裏	lǐ	inside, interior, within	衣			
刭	jǐng	cut throat	刀			
跼	jú	bent, stooped, crouched; contract	足			
蒇	chǎn	finish, complete; solve; complete	艸			
挢	jiǎo	correct	手			
邆	téng		辵			
彡	shān	hair; KangXi radical 59	彡			
猃	xiǎn	dog	犬			
闉	yīn	curved, bent; a curved wall	門			
阓	huì	gate of a market	門			
阛	huán	wall around market place	門			
靺	mò	stocking; the Tungusic tribe	革			
鞨	hé	tribe	革			
铥	diū	thulium	金			
瘅	dān	to hate bitterly; drought; dry	疒			
駰	yīn	grey horse	馬			
騻	shuāng	horse	馬			
箅	bì		竹			
箢	yuān		竹			
觖	jué	to long for; dissatisfied to criticize	角			
麆	zhù		鹿			
齮	yǐ	bite	齒			
糀	hua		米			
虯	qiú	young dragon	虫			
瘊	hóu	warts, pimples	疒			
絛	tāo	silk braid, sash	糸			
聴	tīng	hear, listen; understand; obey	耳			
蘭	lán	orchid; elegant, graceful	艸			
讬	tuō	entrust, rely on; commission	言			
揲	dié	to sort out the stalks used in divination; to fold	手			
镮	huán	metal ring; measure of currency	金			
钷	pǒ	promethium	金			
睪	yì	spy on	目			
àà	pào	gun, cannon	石			
稅	shuì	taxes, revenue, duty; tax	禾			
翫	wán	careless, play; a legendary archer	羽			
荅	dā	answer: small bean; thick	艸			
菉	lù	the green bamboo; greenish bamboo	艸			
袚	bō	greave; knee-pads; buskins	衣			
褋	dié		衣			
à	yuán	member; personnel, staff member	貝			
跡	jī	search, track, trace	足			
踦	yǐ	the shin; to pierce; to touch	足			
遯	dùn	deceive, hide, conceal; flee	辵			
鉅	jù	steel, iron; great	金			
鎌	lián	sickle	金			
靉	ài	cloudy sky; dark, obscure	雨			
韲	jī	break or smash into pieces, pulverize	韭			
餖	dòu	food item set out for show only	食			
鶺	jí	wagtail	鳥			
麕	jūn	muntjac deer, hornless river deer	鹿			
瞼	jiǎn	eyelid	目			
菵	wǎng		艸			
蟭	jiāo	very small bug	虫			
錏	yā	soft steel; ammonium	金			
踐	jiàn	trample, tread upon, walk on	足			
輾	zhǎn	turn over, roll	車			
銷	xiāo	melt, fuse; market, sell; to pass time, finish, cancel	金			
閣	gé	chamber, pavilion; cabinet	門			
àà	yè	page, sheet, leaf; rad. no. 181	àà			
驟	zhòu	procedure; gallop; sudden(ly)	馬			
碼	mǎ	number, numerals; yard; symbol	石			
禎	zhēn	lucky, auspicious, good omen	示			
禦	yù	defend, resist, hold out against	示			
稖	bàng		禾			
稟	bǐng	report to, petition	禾			
竇	dòu	surname; hole, burrow; corrupt	穴			
笇	suàn		竹			
篂	xīng		竹			
