Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
鞬	jiān	a quiver on a horse; a store	革			
範	fàn	pattern, model, rule, law	竹			
à	jiāo	glue, gum, resin, rubber	肉			
眾	zhòng	masses, people, multitude, crowd	目			
鶇	dōng	thrush; Turdus species (various)	鳥			
囝	jiǎn	baby, infant	囗			
犴	àn	a wild dog, a not very large lock-up	犬			
à	liú	pure gold	金			
觇	chān	peek; spy on, watch; investigate	見			
钆	gá	gadolinium	金			
蚺	rán	a boa constrictor	虫			
蝓	yú	snail	虫			
趑	zī		走			
貔	pí	fox, leopard, panther	豸			
躞	xiè	to walk	足			
氽	tǔn	to float; to deep fry; (Cant.) to turn inside-out	人			
绂	fú	ribbon or cord used attach ornaments	糸			
àà	kǎo	mangrove	木			
鹎	bēi	bird	鳥			
襻	pàn	a loop; a belt or band	衣			
蓚	tiáo	oxalic (used in compounds)	艸			
貪	tān	greedy, covet; covetous	貝			
祓	fú	exorcise, remove evil; clean	示			
繼	jì	continue, maintain, carry on	糸			
脫	tuō	take off, peel off, strip	肉			
郿	méi	county in Shaanxi province	邑			
骝	liú	famous horse	馬			
檫	chá	sassafras tzumu	木			
àà	zhǎ	stone tablet; monument	石			
蝰	kuí	vipera russelii siamensis	虫			
猱	náo	a monkey with yellow hair	犬			
缵	zuǎn	continue, carry on, succeed	糸			
沔	miǎn	flood; overflowing	水			
彖	tuàn	a hog; a hedgehog; a porcupine	彐			
黻	fú	special pattern of embroidery	黹			
眢	yuān	eyes without brightness	目			
車	chē	cart, vehicle; carry in cart	車			
陳	chén	exhibit, display; plead; surname	阜			
雜	zá	mixed, blended; mix, mingle	隹			
驚	jīng	frighten, surprise, startle	馬			
龍	lóng	dragon; symbolic of emperor	龍			
à	wéi	a kind of shad with a head like a sturgeon	魚			
茛	gèn	ranunculus	艸			
蕈	xùn	mushrooms, fungus; mildew, mold	艸			
骀	dài	an old, tired horse, a jade; tired, exhausted	馬			
樨	xī	scrambled eggs	木			
昝	zǎn	a dual pronoun, I, you and me, we two	日			
餂	tiǎn	to obtain by hook	食			
镎	ná	neptunium (Np)	金			
酡	tuó	flushed; rubicund	酉			
鳜	guì	mandarin fish	魚			
觋	xí	wizard	見			
礅	dūn		石			
垆	lú	black clods of earth; shop, hut	土			
坻	chí	an islet, a rock in a river; an embankment; to stop	土			
荇	xìng	a water plant, Nymphoides peltalum	艸			
扃	jiōng	a door bar placed outside a door	戶			
磻	pán	a tributary of the Wei river in Shanxi	石			
郗	xī	city under the Chou Dyn. a surname	邑			
阇	dū	a Buddhist high priest	門			
腈	jīng	an organic compound	肉			
铈	shì	cerium	金			
臥	wò	lie down; crouch	臣			
顱	lú	skull	àà			
級	jí	level, rank, class; grade	糸			
階	jiē	stairs, steps; rank, degree	阜			
顟	láo		àà			
衖	xiàng	lane; alley	行			
珙	gǒng	precious stone; county in Sichuan	玉			
襞	bì	fold, pleat, crease	衣			
劁	qiāo		刀			
隈	wēi	cove, bay, inlet	阜			
胬	nǔ		肉			
纮	hóng	string; vast, expansive	糸			
翙	huì		羽			
茀	fú	overgrown with grass, weedy	艸			
荜	bì	species of bean; piper longtum	艸			
溱	qín	river in Henan	水			
酤	gū	to deal in spirits	酉			
腳	jiǎo	foot; base, leg, foundation	肉			
記	jì	record; keep in mind, remember	言			
許	xǔ	allow, permit; promise; betroth	言			
錯	cuò	error, blunder, mistake, wrong	金			
鱇	kāng	anglerfish	魚			
圯	yí	bridge, bank	土			
柽	chēng	type of willow; tamarisk	木			
瞀	mào	to look at closely; nearsighted; dim; indistinct vision	目			
铖	chéng		金			
粞	xī	to mash rice	米			
撙	zǔn	economize; abide by, comply with	手			
铊	tā	thallium	金			
圹	kuàng	tomb, grave: prairie; open wilderness	土			
菝	bá		艸			
迴	huí	revolve, rotate; curving, zigzag	辵			
岙	ào	island	山			
漶	huàn	indecipherable	水			
缏	biàn	hem; plait, braid, queue	糸			
貊	mò	leopard; ancient tribe in northeastern China	豸			
粫	ér		米			
徂	cú	go, advance; to; die	彳			
