Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
寞	mò	silent, still, lonely, solitary	宀	5		
蜀	shǔ	name of an ancient state	虫			
甩	shuǎi	throw away, discard	用	5		
涯	yá		水			
枕	zhěn	pillow	木	6		
丐	gài	beggar; beg; give	一	6		
泳	yǒng	dive; swim	水	2		
奎	kuí	stride of man; one of the twenty-eight lunar mansions	大			
泌	mì	to seep out, excrete	水	6		
逾	yú	go over, pass over, exceed	辵			
叮	dīng	exhort or enjoin repeatedly	口	6		
黛	dài	blacken eyebrows; black	黑			
燥	zào	dry, parched, arid; quick-tempered	火	5		
掷	zhì	throw, hurl, cast, fling	手	6		
藉	jí	mat, pad; rely on; pretext	艸			
枢	shū	door hinge; pivot; center of power	木			
憎	zēng	hate, detest, abhor; hatred	心			
鲸	jīng	whale	魚			
弘	hóng	enlarge, expand; liberal, great	弓			
倚	yǐ	rely on, depend on; lean heavily	人			
侮	wǔ	insult, ridicule, disgrace	人	6		
藩	fān	fence; boundary; outlying border	艸			
拂	fú	shake off, brush away; dust	手			
鹤	hè	crane; Grus species (various)	鳥			
蚀	shí	nibble away; erode; eclipse	食	6		
浆	jiāng	any thick fluid; starch; broth	水			
芙	fú	hibiscus	艸			
垃	lā	garbage, refuse, waste	土	4		
烤	kǎo	bake, roast, toast, cook	火	4		
晒	shài	dry in sun, expose to sun	日	5		
霜	shuāng	frost; crystallized; candied	雨	6		
剿	jiǎo	destroy, exterminate, annihilate	刀			
蕴	yùn	to collect, gather, store; profound	艸	6		
圾	jī	garbage, rubbish; shaking; danger	土	4		
绸	chóu	silk cloth, satin damask	糸	5		
屿	yǔ	island	山	5		
氢	qīng	ammonia; hydrogen nitride	气			
驼	tuó	a camel; humpbacked; to carry on the back	馬			
妆	zhuāng	to adorn oneself, dress up, use make-up	女	6		
捆	kǔn	tie up; bind, truss up; bundle	手	6		
铅	qiān	lead	金	2		
逛	guàng	ramble, stroll, roam, wander	辵	4		
淑	shū	good, pure, virtuous, charming	水			
榴	liú	pomegranate	木			
丙	bǐng	third; 3rd heavenly stem	一	6		
痒	yǎng	itch	疒	5		
钞	chāo	paper money, bank notes; copy	金	6		
蹄	tí	hoof; leg of pork; little witch	足			
犬	quǎn	dog; radical number 94	犬	6		
躬	gōng	body; personally, in person	身	6		
昼	zhòu	daytime, daylight	尸	6		
藻	zǎo	splendid, magnificent; algae	艸			
蛛	zhū	spider	虫			
褐	hè	coarse woolen cloth; dull, dark	衣			
颊	jiá	cheeks, jaw	àà			
奠	diàn	pay respect; settle	大	6		
募	mù	levy, raise; summon; recruit	力			
耽	dān	indulge in; be negligent	耳	5		
蹈	dǎo	stamp feet; dance	足	6		
陋	lòu	narrow; crude, coarse; ugly	阜	6		
侣	lǚ	companion; associate with	人	6		
魅	mèi	kind of forest demon, elf	鬼	5		
岚	lán	mountain mist, mountain haze	山			
侄	zhí	nephew	人	6		
虐	nüè	cruel, harsh, oppressive	虍	6		
堕	duò	fall, sink, let fall; degenerate	土	6		
陛	bì	steps leading throne; throne	阜			
莹	yíng	luster of gems; bright, lustrous	艸			
荫	yīn	shade, shelter; protect	艸			
狡	jiǎo	cunning, deceitful, treacherous	犬	5		
阀	fá	powerful and influential group	門			
绞	jiǎo	twist, wring; intertwine; winch	糸			
膏	gāo	grease, fat; paste, ointment	肉	4		
垮	kuǎ	be defeated, fail, collapse	土			
茎	jīng	stem, stalk	艸	6		
缅	miǎn	distant, remote; think of	糸			
喇	lǎ	horn, bugle; lama; final particle	口	6		
绒	róng	silk, cotton, or woolen fabric	糸	6		
搅	jiǎo	disturb, agitate, stir up	手	6		
凳	dèng	bench; stool	à			
梭	suō		木			
丫	yā	forked; bifurcation	丨			
姬	jī	beauty; imperial concubine	女			
诏	zhào	decree, proclaim; imperial decree	言			
钮	niǔ	button, knob; surname	金			
棺	guān	coffin	木			
耿	gěng	bright, shining; have guts	耳			
缔	dì	tie, join, connect; connection	糸	6		
懈	xiè	idle, relaxed, remiss	心			
嫉	jí	jealousy; be jealous of	女	6		
灶	zào	kitchen stove, cooking stove	火	6		
匀	yún	equal	勹	5		
嗣	sì	to connect, inherit; descendants, heirs	口			
鸽	gē	pigeon, dove; Columba species (various)	鳥	6		
澡	zǎo	wash, bathe	水	3		
凿	záo	chisel; bore, pierce	凵			
纬	wěi	woof; parallels of latitude	糸	6		
沸	fèi	boil, bubble up, gush	水	6		
畴	chóu	farmland, arable land; category	田	6		
刃	rèn	edged tool, cutlery, knife edge	刀			
