Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
顆	kē	grain, kernel	àà			
顪	huì		àà			
飼	sì	raise animals; feed; nourish	食			
駕	jià	to drive, sail, fly; a cart, carriage	馬			
駝	tuó	a camel; humpbacked; to carry on the back	馬			
驌	sù	name of a famous horse	馬			
驘	luó	mule	馬			
à	sāo	carp	魚			
鰹	jiān	skipjack, bonito	魚			
鲗	zéi	cuttlefish	魚			
鶒	chì	a duck-like bird	鳥			
鶗	tí	a kind of hawk; cuckoo	鳥			
鷥	sī	egret; Egretta garzetta	鳥			
鷹	yīng	eagle, falcon; Accipiter species (various)	鳥			
齊	qí	even, uniform, of equal length	齊			
硙	wéi	stone mill; grind; break apart	石			
禜	yǒng	sacrifice	示			
糢	mó	rice snacks	米			
à	jiào		艸			
镦	duì	ferrule; castrate	金			
蕂	shèng	sesame	艸			
霮	dàn		雨			
沩	wéi	name of a river in Shanxi	水			
颼	sōu	sound of wind; blow chilly	風			
禬	guì		示			
鴪	yù	swoop	鳥			
鮨	yì	seasoned rice mixed with fish or vegetables	魚			
鱣	zhān	sturgeon	魚			
盝	lù	drip	皿			
眹	zhèn	pupil	目			
睖	lèng	to stare straight ahead	目			
磫	zōng		石			
禫	dàn		示			
繨	da	a knot (of a rope)	糸			
薦	jiàn	offer, present; recommend	艸			
褱	huái	to carry in the bosom or the sleeve; to wrap, to conceal	衣			
鏏	wèi		金			
鮁	bō	the bonito	魚			
鹓	yuān	co-worker	鳥			
繟	chǎn		糸			
繺	shǎi		糸			
沲	tuó	float	水			
餦	zhāng	candy, pastry	食			
篤	dǔ	deep, true, sincere, genuine	竹			
踺	jiàn		足			
祦	wú	happiness; good fortune good luck; blessing; bliss	示			
篲	huì	broomstick	竹			
糰	tuán	rice ball	米			
絙	huán		糸			
纄	péng		糸			
脝	hēng	distend	肉			
茊	zī		艸			
菫	jǐn	celery, aconite	艸			
蓞	dàn		艸			
酦	fā	fermentation, brewing	酉			
醾	mí		酉			
锳	yīng		金			
钶	ē	columbium	金			
鲼	fèn	fish	魚			
齄	zhā	red sores on nose	鼻			
鴨	yā	duck; Anas species (various)	鳥			
鷧	yì	cormorant	鳥			
㧟	kuǎi	(simplified form of 擓) to wipe; to scrub; to rub, to dust; to clean, (a dialect) to scratch with fingers lightly, (a dialect) to carry on the arm	手			
祋	duì		示			
箯	biān	bamboo palanquin	竹			
粐	hu		米			
粦	lín	phosphorus	米			
粭	he		米			
紃	xún	a cord	糸			
脰	dòu	the neck	肉			
芃	péng	luxuriant growth	艸			
苽	gū	bulrush, Zizania latifolia	艸			
莿	cì	thorn	艸			
菆	zōu	jungle	艸			
藗	sù		艸			
藧	huàn		艸			
袵	rèn	lapel; hidden lapel of coat	衣			
裯	chóu	coverlet; bedspread	衣			
褵	lí	bridal veil	衣			
襆	fú	hood or cowl	衣			
詤	huǎng	to make wild statements to lie; to misstate; lies falsehood	言			
譓	huì		言			
跊	mèi		足			
軈	ying	soon after, soon; almost; no more than; after all	身			
苘	qǐng	Indian mallow	艸			
迺	nǎi	then, thereupon, only then	辵			
掭	tiàn	to manipulate; a pricker for a lamp-wick	手			
邇	ěr	be near, be close; recently	辵			
邘	yú	state in Henan province	邑			
鄳	méng		邑			
猸	méi	a kind of animal	犬			
艴	fú	the countenance changing	色			
鑕	zhì	tungsten, wolfram	金			
柃	líng		木			
闒	tà	upper-story door or window	門			
毹	shū		毛			
脶	luó	lines	肉			
颋	tǐng	straight	àà			
鵀	rén	hoopoe	鳥			
鶜	máo		鳥			
