Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
鞡	la	leg warmer	革			
缻	fǒu	pottery, earthenware	缶			
輳	còu	hubs of wheel; converge around	車			
闆	bǎn	boss, the owner, person in charge	門			
铼	lái	rhenium	金			
紤	jiǔ		糸			
翹	qiào	turn up, lift, elevate, raise	羽			
聯	lián	connect, join; associate, ally	耳			
詢	xún	inquire into, ask about; consult	言			
課	kè	lesson; course; classwork	言			
豐	fēng	abundant, lush, bountiful, plenty	豆			
賴	lài	rely, depend on; accuse falsely	貝			
輸	shū	transport, carry, haul	車			
遲	chí	late, tardy; slow; delay	辵			
鐣	zhang		金			
齡	líng	age; years	齒			
莤	sù		艸			
鱯	hù		魚			
缽	bō	earthenware basin; alms bowl	缶			
邲	bì	good-looking; name of a place	邑			
唼	shà	speaking evil. gobbling sound made by ducks	口			
鐻	jù	drumstick	金			
閟	bì	hide, keep secret; hideaway	門			
駚	yǎng		馬			
篥	lì	bugle, 觱篥 bìlì Tatar (Tartar) horn	竹			
茈	cí	a plant yielding a red dye	艸			
肏	cào	copulate, expletive (fuck)	肉			
萩	qiū	scandent hop; tree	艸			
跐	cī	to trample, to step, to walk on the ball of the foot	足			
蹅	chǎ	to tread on, walk through	足			
瞢	méng	eyesight obscured; to feel ashamed	目			
罽	jì	a kind of woolen fabric	网			
聭	kuì		耳			
辻	shí	crossroads; street	辵			
铚	zhì	a sickle	金			
箦	zé	bed mat; mat	竹			
踣	bó	to stumble and fall prone stiff in death	足			
菑	zāi	to weed grass; land which has been under cultivation for one year	艸			
蹟	jī	trace, tracks; footprints	足			
捃	jùn		手			
瘕	jiǎ	asthma; disese of the bowels	疒			
睺	hóu	(Cant.) to watch	目			
閒	xián	liesure; idle; peaceful, tranquil, calm	門			
鈦	tài	titanium	金			
顩	yǎn		àà			
鳓	lè	Chinese herring; shad	魚			
闇	àn	close, shut; dark, dismal	門			
鹹	xián	salty, briny; salted; pickled	鹵			
䥇	shàn	chemical element; Sarmarium (Sm); old translation of ( 鋱) Tb, (same as 釤) a sickle with a long handle, to swing a sickle to cut (grass or wheat)	金			
禍	huò	misfortune, calamity, disaster	示			
窩	wō	nest; cave, den; hiding place	穴			
純	chún	pure, clean, simple	糸			
縱	zòng	indulge in, give free reign to	糸			
聖	shèng	holy, sacred; sage	耳			
聛	bǐ		耳			
脮	něi		肉			
衝	chōng	rush against, charge ahead	行			
訊	xùn	inquire; ask; examine; reproach	言			
馬	mǎ	horse; surname; KangXi radical 187	馬			
諹	yáng		言			
誖	bèi	obstinate; disorderly; perverse	言			
蕅	ǒu		艸			
鰨	tǎ	sole	魚			
睒	shǎn	to glance at, to peep; glittering; to shine	目			
笰	fú	curtain	竹			
籥	yuè	key; woodwind instrument	竹			
翧	xuān		羽			
镩	cuān	pick, poker	金			
耧	lóu	drill for sowing grain	耒			
蜞	qí	a kind of crab; worm, leech	虫			
舡	chuán	boat, ship	舟			
鰲	áo	huge sea turtle	魚			
鹀	wú		鳥			
䴙	pì	a kind of bird resembling the duck; much smaller				
罣	guà	hinder, disturb, obstruct	网			
觍	tiǎn	ashamed	見			
絽	lǚ	a silk gauze	糸			
羶	shān	rank odor	羊			
臜	zā	dirty; filthy	肉			
薙	tì	weed; shave	艸			
觔	jīn	catty	角			
躼	lào		身			
岈	yá		山			
潲	shào	driving rain; to sprinkle	水			
枧	jiǎn	bamboo tube, wooden peg; spout	木			
觌	dí	see; interview; be admitted to audience	見			
膦	lìn		肉			
礞	méng		石			
蝤	qiú		虫			
螗	táng	a kind of cicada	虫			
酹	lèi	to pour out a libation; to sprinkle	酉			
醅	pēi	unstrained spirits	酉			
絅	jiōng	unlined garment, dust coat	糸			
纁	xūn	light red, pink	糸			
葰	suī		艸			
郇	huán	an ancient feudal State in Shaanxi	邑			
躄	bì	cripple, lame	足			
茼	tóng	Chrysanthemum coronarium	艸			
洧	wěi	name of a river in honan	水			
à	shè	river in Hubei province	水			
