Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
赊	shē	buy and sell on credit, distant	貝			
俦	chóu	companion, mate, colleague	人			
戛	jiá	lance; tap or strike lightly	戈			
湎	miǎn	flushed with drink, drunk	水			
幺	yāo	one; tiny, small	幺			
凇	sōng	dewdrop; icicle	冫			
芪	qí	celery	艸			
觯	zhì	wine goblet made from horn	角			
龌	wò	narrow, small; dirty	齒			
挞	tà	flog, whip; chastise	手			
嬴	yíng	to win; to have a surplus; surname	女			
苻	fú	kind of herb; type of grass	艸			
嘁	qī	to be grieved; ashamed; used to imitate sounds	口			
鞯	jiān	saddle blanket	革			
肽	tài	a chemical compound	肉			
恸	tòng	sadness, grief; mourn; be moved	心			
迨	dài	until, when; seize, arrest	辵			
钰	yù	rare treasure	金			
儆	jǐng	warn; warning	人			
觎	yú	desire strongly, covet, long for	見			
讫	qì	finish; conclude, stop; exhaust	言			
滓	zǐ	sediment, lees, dregs	水			
僮	tóng	page, boy servant	人			
媾	gòu	marry; be on friendly terms with	女			
龇	zī	to show the teeth; crooked teeth	齒			
胯	kuà	pelvis; groin; thighs	肉			
涮	shuàn	rinse; cook or boil in juice	水	6		
绾	wǎn	to string together, to bind up	糸			
杈	chā	fork of a tree; a pitchfork	木			
赳	jiū	grand, valiant	走			
斛	hú	dry measure equal to some five or ten dou (舒)	斗			
觥	gōng	a cup made of horn obstinate	角			
疸	dǎn	jaundice; disorders of stomach	疒			
卞	biàn	to be impatient, in a hurry; excitable	卜			
à	yùn	angry	心			
拮	jié	laboring hard, occupied; pursue	手			
à	xiáng	village school; teach	广			
烨	yè	bright, glorious, splendid, flame	火			
龢	hé	in harmony; calm, peaceful	à			
à	bō	spinach and similar greens	艸			
窈	yǎo	obscure, secluded; refined	穴			
罄	qìng	exhaust, run out, use up; empty	缶			
囤	dùn	grain basket, bin for grain	囗			
弁	biàn	conical cap worn during Zhou dynasty	廾			
奘	zàng	large, powerful, stout, thick	大			
咣	guāng	the sound of large door closing	口			
缫	sāo	draw, reel	糸			
腴	yú	fat; fertile, rich; plump, soft	肉			
缈	miǎo	indistinct, dim; minute; distant	糸			
喵	miāo	the mew of the cat	口			
潢	huáng	expanse of water, lake, pond	水			
遛	liú	take walk, stroll	辵			
柚	yòu	pomelo, grapefruit	木			
郏	jiá	county in Henan province; surname	邑			
荻	dí	reed, Miscanthus saccariflorus	艸			
藜	lí	Chenopodium album, pigweed	艸			
琨	kūn	beautiful jade, precious stones	玉			
镳	biāo	bit, bridle; ride	金			
雉	zhì	pheasant; crenellated wall	隹			
橐	tuó	a sack, a bag opening at both ends	木			
陽	yáng		阜			
骈	pián	team of horses; associate, join	馬			
蛉	líng	dragonfly, libellulidae	虫			
艮	gěn	seventh of eight diagrams	艮			
搽	chá	smear; rub, wipe; anoint	手			
濡	rú	immerse, moisten; wet, damp	水			
寮	liáo	shanty, hut, shack	宀			
柩	jiù	coffin which contains corpse	木			
佗	tuó	other, he; surname; a load	人			
啷	lāng	a clanging or rattling sound	口			
诜	shēn	inquire, question; numerous	言			
視	shì	look at, inspect, observe, see	見			
偻	lóu	humpback; surname	人			
夯	hāng	heavy load, burden; lift up	大			
闱	wéi	gate, door; living quarters	門			
谖	xuān	forget; lie, cheat, deceive	言			
夥	huǒ	companion; partner; assistant	夕			
枸	gǒu	kind of aspen found in Sichuan	木			
膑	bìn	the kneecap	肉			
虻	méng	horsefly, gadfly	虫			
à	yún	bamboo skin; bamboo	竹			
埽	sào	broom; to sweep, clear away	土			
笞	chī	bamboo rod used for beatings	竹			
臾	yú	moment, instant, short while	臼			
婀	ē	be beautiful, be graceful	女			
珞	luò	kind of necklace	玉			
粑	bā	tsamba (food in Tibet)	米			
怵	chù	fear, be afraid; shy, timid	心			
绻	quǎn	affectionate, solicitous	糸			
殒	yǔn	die, perish; vanish; fall	歹			
觊	jì	covet, long for, desire	見			
崂	láo	Laoshan, mountain in Shandong	山			
颧	quán	cheek bones	àà			
嗑	kē	eat seeds; reproach; loquacious	口			
榛	zhēn	hazelnut; thicket, underbrush	木			
昱	yù	bright light, sunlight; dazzling	日			
蜴	yì	lizard	虫			
鳝	shàn	eel	魚			
噙	qín	hold in mouth; bite	口			
淼	miǎo	a wide expanse of water	水			
