Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
迋	wàng	travel, go to; deceive; scare	辵			
逓	dì	hand over, deliver; substitute	辵			
鄺	kuàng	surname	邑			
酳	yìn		酉			
鈪	è	(Cant.) bracelet; bangle	金			
尜	gá	a child toy	小			
鐐	liáo	fetters	金			
轷	hū	surname	車			
霘	dòng		雨			
鞄	páo	to work hides; leather bag	革			
騧	guā	tan or piebald horse	馬			
髽	zhuā	to dress the hair	髟			
魣	xù		魚			
鯀	gǔn	giant fish; father of the emperor Yu	魚			
鰰	shen		魚			
鴹	yáng		鳥			
鼪	shēng	weasel	à			
龔	gōng	give, present; reverential	龍			
秊			禾			
䴔	jiāo	the fishing cormorant				
眮	tóng		目			
笀	máng		竹			
籣	lán	bow case	竹			
藑	qióng		艸			
垲	kǎi	high and dry place	土			
鍳	jiàn		金			
鵬	péng	fabulous bird of enormous size	鳥			
禔	zhī	happiness; peace; good fortune	示			
穯	se		禾			
茿	zhú		艸			
莂	bié		艸			
薃	hào		艸			
襛	nóng	fine clothes	衣			
谻	jí		谷			
賚	lài	give, present, confer; surname	貝			
魳	zā	a barracuda	魚			
鵄	zhī	variant of 鴟 U+9D1F, kite, horned owl; wine cups	鳥			
㭎	gāng	(simplified form of 棡) a tall tree; a large tree, (interchangeable 扛) to carry on the shoulders of two of more men	木			
穄	jì	panicled millet	禾			
穵	wā	deep hollow;, gouge, dig out	穴			
篛	ruò	cuticle of bamboo plant	竹			
簑	suō	a coat raincoat	竹			
絭	juàn		糸			
緅	zōu	silk of purplish color	糸			
緍	mín	variant of 緡 U+7DE1, a fishing-line; cord; string of coins; a paper or straw string	糸			
罇	zūn	a goblet; a bottle, a wine-jar	缶			
耑	duān	specialized; concentrated	而			
艒	mù		舟			
à	chú		豕			
蹎	diān		足			
辢	là	bitter, pungent, acrid	辛			
醻	chóu	to pledge, thank	酉			
鐍	jué	hasp of a lock	金			
鑮	bó		金			
闍	dū	tower over city gate	門			
àà	chēng	red	àà			
驈	yù	black horses	馬			
髲	bì	a wig	髟			
鱮	xù	silver carp (Hypophthalmichthys molitrix); bream; (Cant.) 大嶼山 daai6ju4saan1 Lantau Island	魚			
麰	móu	barley	麥			
鼄	zhū	the spider	黽			
鼅	zhī	spider	黽			
鼖	fén	drum	鼓			
㩳	sǒng	to hold; to grasp, to detain, to uphold, to push, to stand upright; expel, to shirk, to raise up	手			
眣	dié	prominent eyes	目			
睎	xī	to long for; to gaze at	目			
瞣	huan		目			
矀	méi		目			
硊	wěi		石			
碅	jūn		石			
磪	cuī	a high mountain; precipitous	石			
礒	yǐ		石			
禞	gào		示			
à	pī	millet	禾			
穙	pú		禾			
穱	zhuō		禾			
窯	yáo	kiln; coal mine pit	穴			
竢	sì	wait for, wait until, as soon as	立			
笍	zhuì		竹			
筩	tóng	bamboo pipe; fish hook	竹			
篳	bì	wicker, bamboo	竹			
à	fǔ	an ancient vessel used for holding boiled grain	竹			
粃	bǐ	empty husks of grain	米			
粖	mò		米			
糓	gǔ	grain, corn	米			
糺	jiū	to collaborate; to band together	糸			
紭	hóng		糸			
紾	zhěn	turns or twist; a switch	糸			
絶	jué	cut	糸			
綅	qīn	thread	糸			
繂	lǜ		糸			
繋	jì	attach, connect, unite, fasten	糸			
繣	huà	obstinate; perverse	糸			
罙	mí	deep	网			
罥	juàn	impede	网			
罼	bì		网			
羗	qiāng	tribes in West China; strong; educated; obstinate; a particle	羊			
羜	zhù	lamb	羊			
翭	hóu		羽			
耮	lào	a kind of farm tool	耒			
