Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
痧	shā	cholera; colic	疒			
統	tǒng	govern, command, control; unite	糸			
蕖	qú		艸			
狍	páo	species of deer found in north China	犬			
憷	chù	painful; suffering; privation	心			
锛	bēn	adze	金			
窨	xūn	a cellar, a store-room	穴			
袼	gē		衣			
帏	wéi	curtain that forms wall	巾			
儋	dān	a small jar; to bear a burden; a load of two	人			
绨	tí	coarse pongee, kind of heavy silk	糸			
à	lì	a sore, ulcer; pestilence	疒			
蘩	fán	Artemisia stellariana	艸			
嵝	lǒu	Goulou mountain peak in hunan	山			
庀	pǐ	to prepare; to regulate to hand up	广			
汜	sì	a stream which leaves the main branch then later returns	水			
炅	jiǒng	brilliance	火			
煳	hú	be burned, to char (in cooking)	火			
泶	xué		水			
à	hù	bottle gourd; calabash; pot	瓜			
窳	yǔ	dirty, useless, weak, powerless; cracked, a flaw	穴			
虮	jǐ	louse eggs, nits	虫			
蚰	yóu	millipede	虫			
邰	tái	surname; state in modern Shanxi	邑			
苊	è	an organic compound	艸			
àà	dàng	brilliantly colored stone with veined patterns in it	石			
捩	liè	twist with hands; snap, tear	手			
蹉	cuō	error, mistake, slip; failure	足			
莪	é	artemisia	艸			
螽	zhōng	katydid	虫			
覺	jué	to wake up from sleep; conscious	見			
蘼	mí		艸			
槔	gāo		木			
曛	xūn	twilight; sunset	日			
蛲	náo	worms	虫			
鹾	cuó	salty; salt	鹵			
隹	zhuī	bird; KangXi radical 172	隹			
犸	mà	mammoth	犬			
衄	nǜ	epistaxis, nosebleed; to be defeated	血			
觀	guān	see, observe, view; appearance	見			
轉	zhuǎn	shift, move, turn	車			
銎	qióng	eyehole to hang an axe by	金			
泫	xuàn	weep; cry; shine, glisten	水			
玢	bīn	(archaic) a kind of jade	玉			
辊	gǔn	turn round, revolve; roller	車			
瞋	chēn	glare with anger	目			
墀	chí	porch; courtyard; steps leading	土			
酐	gān	anhydride	酉			
隱	yǐn	hide, conceal; hidden, secret	阜			
àà	dié	plate	土			
尥	liào		尢			
嚯	huò		口			
猗	yī	exclamation of admiration	犬			
逑	qiú	collect, unite; match, pair	辵			
逯	lù	leave without reason; surname	辵			
硖	xiá	(archaic) town in Hebei province	石			
噻	sāi	character used in translation	口			
嵛	yú	county in Shandong province	山			
畀	bì	to give	田			
運	yùn	luck, fortune; ship, transport	辵			
鲃	bā	a kind of fish; a bonito, (same as 鮁) shark	魚			
偬	zǒng	urgent	人			
鄞	yín	county in Zhejiang province	邑			
呖	lì	used in onomatopoetic expressions	口			
溧	lì	river in Anhui and Jiangsu provinces	水			
嬲	niǎo	frolic, play with; flirt with; (Cant.) angry	女			
肭	nà	fat; seal (moon radical DKW: 14342 is different)	肉			
鹈	tí	pelican	鳥			
鹱	hù		鳥			
窭	jù	poor, impoverished	穴			
黧	lí	a dark, sallow colour	黑			
谵	zhān	talkative; incoherent talk	言			
沆	hàng	a ferry; fog; flowing	水			
嫒	ài	(your) daughter	女			
塬	yuán	plateau	土			
缣	jiān	fine silk	糸			
篯	jiān		竹			
酃	líng	the spirit of a being, which acts upon others spirit; divine; efficacious	邑			
喱	lí	gramme; syllable	口			
泔	gān	water from washing rice to boil thick, as gruel	水			
溘	kè	abruptly, suddenly, unexpectedly	水			
迕	wù	obstinate, perverse	辵			
肀	yù	pen; radical number 129	聿			
秫	shú	glutinous variety of millet	禾			
裣	liǎn		衣			
铋	bì	bismuth	金			
蒌	lóu	artemisia stelleriana	艸			
曩	nǎng	in ancient times, of old, former	日			
赀	zī	property; wealth; to count	貝			
箪	dān	small bamboo basket for holding	竹			
朊	ruǎn		肉			
鳙	yōng	bighead	魚			
仫	mù	tribe	人			
钎	qiān	tool for boring holes	金			
芑	qǐ	white millet	艸			
胙	zuò		肉			
盱	xū	wide open eyes; to gaze in astonishment	目			
糇	hóu	dried rice, dry provisions	米			
挹	yì	to bale out; to decant liquids	手			
捭	bǎi	to open; to spread out	手			
