Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
隶	lì	subservient; servant; KangXi radical 171	隶	6		
履	lǚ	footwear, shoes; walk on, tread	尸	6		
涨	zhǎng	rise in price	水	5		
耀	yào	shine, sparkle, dazzle; glory	羽	6		
扭	niǔ	turn, twist, wrench; seize, grasp	手	6		
坛	tán	altar; arena, examination hall	土	6		
拨	bō	move; dispel; distribute	手	6		
沃	wò	water, irrigate; fertile, rich	水	6		
绘	huì	draw, sketch, paint	糸	6		
伐	fá	cut down, subjugate, attack	人	6		
堪	kān	adequately capable of, worthy of	土	6		
仆	pū	fall forward; lie prostrate, prone; servant	人			
郭	guō	outer part (of a city); surname	邑			
牺	xī	sacrifice, give up; sacrificial	牛	6		
歼	jiān	annihilate, wipe out, kill off	歹			
墓	mù	grave, tomb	土	6		
雇	gù	employ, to hire	隹	6		
廉	lián	upright, honorable, honest	广	6		
契	qì	deed, contract, bond; engrave	大			
拼	pīn	join together, link, incorporate	手	5		
惩	chéng	punish, reprimand; warn	心	6		
捉	zhuō	grasp, clutch; catch, seize	手	6		
覆	fù	cover; tip over; return; reply	襾	6		
刷	shuā	brush; clean with brush, scrub	刀	3		
劫	jié	take by force, coerce; disaster	力	6		
嫌	xián	hate, detest; suspect; criticize	女	6		
瓜	guā	melon, gourd, cucumber; rad. 97	瓜	2		
歇	xiē	rest, stop, lodge	à	5		
雕	diāo	engrave, inlay, carve; exhaust; used for 鵰 an eagle, vulture	隹	6		
闷	mèn	gloomy, depressed, melancholy	門	6		
乳	rǔ	breast, nipples; milk, suckle	乙	6		
串	chuàn	string; relatives; conspire	丨	6		
娃	wá	baby; doll; pretty girl	女	6		
缴	jiǎo	deliver, submit; hand over	糸	6		
唤	huàn	call	口	6		
赢	yíng	win; surplus, gain, profit	à	4		
莲	lián	lotus, water lily; paradise	艸			
霸	bà	rule by might rather than right	雨	6		
桃	táo	peach; marriage; surname	木	5		
妥	tuǒ	satisfactory, appropriate	女	6		
瘦	shòu	thin, emaciated, lean; meager	疒	3		
搭	dā	join together, attach to; add to	手	6		
赴	fù	go to; attend, be present	走	6		
岳	yuè	mountain peak; surname	山	6		
嘉	jiā	excellent; joyful; auspicious	口	5		
舱	cāng	hold of ship; cabin	舟	6		
俊	jùn	talented, capable; handsome	人	5		
址	zhǐ	site, location, land for house	土	4		
庞	páng	disorderly, messy; huge, big	广	6		
耕	gēng	plow, cultivate	耒	6		
锐	ruì	sharp, keen, acute, pointed	金	6		
缝	fèng	sew, mend	糸	6		
悔	huǐ	repent, show remorse, regret	心	4		
邀	yāo	invite, welcome; meet, intercept	辵	4		
玲	líng	tinkling of jade	玉			
惟	wéi	but, however, nevertheless; only	心			
斥	chì	to scold, upbraid, accuse, reproach	斤	6		
宅	zhái	residence, dwelling, home; grave	宀	6		
添	tiān	append, add to; increase	水	6		
挖	wā	dig, dig out, gouge out, scoop	手	6		
呵	ā	scold; laughing sound; yawn	口	6		
讼	sòng	accuse; argue, dispute; litigate	言	6		
氧	yǎng	oxygen	气	6		
浩	hào	great, numerous, vast, abundant	水			
羽	yǔ	feather, plume; wings; rad. 124	羽	4		
斤	jīn	a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69	斤	3		
酷	kù	strong, stimulating; very	酉	6		
掠	lüè	rob, ransack, plunder; pass by	手	6		
妖	yāo	strange, weird, supernatural	女			
祸	huò	misfortune, calamity, disaster	示	6		
侍	shì	serve, attend upon; attendant, servant; samurai	人			
乙	yǐ	second; 2nd heavenly stem	乙	5		
妨	fáng	interfere with, impede, obstruct	女	5		
贪	tān	be greedy, covet; covetous	貝	6		
挣	zhēng	strive, endeavor, struggle	手	5		
汪	wāng	vast, extensive, deep; surname	水			
尿	niào	urine; urinate	尸			
莉	lì	white jasmine	艸			
悬	xuán	hang, suspend, hoist; be hung	心	6		
唇	chún	lips	口	6		
翰	hàn	writing brush, pen, pencil	羽			
仓	cāng	granary; berth; sea	人	6		
轨	guǐ	track, rut, path	車	6		
枚	méi	stalk of shrub, trunk of tree	木	6		
盐	yán	salt	皿	4		
览	lǎn	look at, inspect; perceive	見	5		
傅	fù	tutor, teacher; assist; surname	人	4		
帅	shuài	commander, commander-in-chief	巾	4		
庙	miào	temple, shrine; imperial court	广	6		
芬	fēn	fragrance, aroma; perfume	艸			
屏	píng	folding screen, shield	尸	6		
寺	sì	court, office; temple, monastery	寸	6		
胖	pàng	fat, obese; fatty	肉	3		
璃	lí	glass	玉	5		
愚	yú	stupid, doltish, foolish	心	6		
滴	dī	drip; drop of water	水	5		
疏	shū	neglect; careless, lax	疋	6		
萧	xiāo	common artemisia; dejected	艸			
姿	zī		女	5		
颤	chàn	shiver, tremble; trembling	àà	6		
