Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
洫	xù	to ditch; a moat	水			
滏	fǔ		水			
璁	cōng	turquoise	玉			
癃	lóng	weakness, infirmity retention of urine	疒			
邡	fāng	name of a district in Sichuan	邑			
絁	shī	rough, indelicate silk	糸			
鍩	tiǎn	nobelium	金			
趨	qū	hasten, hurry; be attracted to	走			
蒽	ēn	anthracene	艸			
絲	sī	silk; fine thread; wire; strings	糸			
膫	liáo	the fat covering the intestines; the omentum	肉			
臅	chù		肉			
茖	gé	allium victorialis	艸			
蘇	sū		艸			
詞	cí	words; phrase, expression	言			
詾	xiōng	noisily; uproarious; troublesome	言			
贆	biāo		貝			
蹨	niǎn	(Cant.) to stand on tiptoe	足			
農	nóng	agriculture, farming; farmer	辰			
錄	lù	copy, write down, record	金			
鐘	zhōng	clock; bell	金			
鰜	qiàn	big-mouthed flounder	魚			
鹽	yán	(same as of 塩) salt	鹵			
赕	dǎn	fine	貝			
鯔	zī	mullet	魚			
鯮	zōng		魚			
蔯	chén	a variety of artemisia	艸			
貙	chū	a kind of animal like a tiger; fierce wild beasts	豸			
餬	hú	porridge, gruel, congee; paste	食			
躜	zuān	to jump	足			
鳀	tí	anchovy	魚			
鹡	jí	wagtail	鳥			
䴘	tī	a kind of bird				
àà	zhú	caterpillar	虫			
钲	zhēng	kind of gong used in ancient times by troops on the march	金			
蜁	xuán		虫			
兕	sì	a female rhinoceros	儿			
阽	diàn		阜			
鎰	yì	measure of weight for gold	金			
绋	fú	large rope; rope attached to bier	糸			
铓	máng	point of sword; sharp point	金			
爝	jué		火			
磾	dī		石			
葷	hūn	meat diet; strong smelling	艸			
螘	yǐ	ant	虫			
仂	lè	surplus or excess; remainder	人			
雲	yún	clouds; Yunnan province	雨			
顗	yǐ	quiet	àà			
蟫	yín	silverfish	虫			
蕺	jí		艸			
骃	yīn	grey horse	馬			
蔀	bù	screen	艸			
诪	zhōu	deceive, cheat; hurried, bustling	言			
猹	chá	wild animal mentioned in short story by Lu Xun	犬			
鋬	pàn		金			
盤	pán	tray, plate, dish; examine	皿			
齾	yà		齒			
埕	chéng	a large, pear-shaped earthenware jar	土			
聞	wén	hear; smell; make known; news	耳			
舉	jǔ	raise, lift up; recommend	臼			
虡	jù	support structure for bell	虍			
評	píng	appraise, criticize, evaluate	言			
鍋	guō	cooking-pot, saucepan	金			
陣	zhèn	column, row or file of troops	阜			
紬	chóu	kind of thin silk	糸			
訢	xīn	pleased, delighted; happy	言			
蔎	shè		艸			
繸	suì	hem or border of a garment; tassel	糸			
绖	dié	white hempen cloth worn by mourners	糸			
埭	dài	a dam, a jock; inclined plane on a canal, where boats can be hauled up or down	土			
駮	bó	a kind of fierce animal; join; argue; transfer; piebald horse, variegated	馬			
鰡	liú		魚			
鵳	jiān		鳥			
柁	duò	large tie-beams	木			
筴	cè	type of grass used in divination; to divine; pincers	竹			
珧	yáo	mother-of-pearl	玉			
贳	shì	borrow; pardon; loan	貝			
贶	kuàng	give, grant, bestow; surname	貝			
腩	nǎn		肉			
臌	gǔ	dropsical swelling; puffy bloated	肉			
礓	jiāng		石			
袛	dī		衣			
貐	yǔ		豸			
蹐	jí	take short steps	足			
圬	wū	plaster over with layer of mud	土			
à	hòu	battlements, battlemented walls	土			
屦	jù	straw sandals; tread on	尸			
驵	zǎng	excellent horse, noble steed	馬			
鑑	jiàn	mirror, looking glass; reflect	金			
桄	guāng	a coir-palm	木			
霑	zhān	be moistened, soaked; moisten	雨			
憝	duì	to dislike, to abhor, to hate	心			
瘳	chōu	to be healed; to reform	疒			
騃	ái	stupid; foolish	馬			
茌	chí	name of a district in Shandong	艸			
辀	zhōu	shaft	車			
à	qū	open; throw away	肉			
埏	shān	a boundary, a limit	土			
à	còu	between the skin and the flesh	肉			
靰	wù	leg warmer	革			
