Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
桧	guì	Chinese cypress, Chinese juniper	木			
蚓	yǐn	earthworm	虫			
à	kōu	raise, lift up; tight-fisted	手			
嗷	áo	loud clamor; sound of wailing	口			
槌	chuí	hammer, mallet; strike, beat	木			
痘	dòu	smallpox	疒			
痢	lì	dysentery	疒			
芮	ruì		艸			
蚣	gōng	centipede	虫			
闩	shuān	bolt, latch, crossbar	門			
铿	kēng	strike, beat, stroke; jingling	金			
飓	jù	cyclone, typhoon, gale	風			
疱	pào	acne	疒			
蝌	kē	tadpole	虫			
撅	juē	protrude; snap, break; dig	手			
蚯	qiū	earthworm	虫			
斡	wò	revolve, rotate, turn	斗			
à	kē	nest; hole, indention; den	穴			
荚	jiá	pods of leguminous plants; pods	艸			
耷	dā	ears hanging down	耳			
àà	yàn	inkstone	石			
牒	dié	documents, records; dispatch	片			
赈	zhèn	relieve, aid distressed; rich	貝			
煦	xù	kind, gentle, gracious, genial	火			
嗫	niè	move lips as when speaking; hesitation	口			
耙	bà	rake	耒			
榕	róng	banyan tree	木			
鞑	dá	tatars	革			
袤	mào	longitude, lengthwise; length	衣			
谌	chén	sincere, faithful; surname	言			
醺	xūn	get drunk, be intoxicated	酉			
秆	gǎn	straw; stalk of grain	禾			
徨	huáng	doubtful, irresolute, vacillating	彳			
橹	lǔ	oar, scull; row, scull	木			
翡	fěi	kingfisher; emerald, jade	羽			
缨	yīng	a chin strap; tassel; to annoy, bother	糸			
锹	qiāo	shovel	金			
嵇	jī	mountain in Henan; surname	山			
圪	gē		土			
髻	jì	hair rolled up in a bun, topknot	髟			
嗬	hē	(Cant.) interrogative particle	口			
辎	zī	a supply cart, covered wagon, dray	車			
痣	zhì	spots, moles; birthmark	疒			
娩	miǎn	give birth child; complaisant	女			
谄	chǎn	flatter, truckle, toady	言			
蛐	qū	cricket; worm	虫			
鹞	yào	sparrow hawk; kite shaped like	鳥			
翱	áo	soar, roam	羽			
庖	páo	kitchen; cooking, cuisine	广			
籁	lài	bamboo flute; pipe; various sound	竹			
蓿	xu	clover, lucerne	艸			
鳗	mán	eel	魚			
疟	nüè	intermittent fever; malaria	疒			
鲇	nián	sheatfish, parasilurus asotus	魚			
這	zhè	this, the, here	辵			
嚅	rú	talk indistinctly and falteringly	口			
瘀	yū	a hematoma, contusion; extravasted blood	疒			
颔	hàn	chin, jowl; give nod	àà			
黜	chù	dismiss; demote, downgrade	黑			
à	xiá	sly, cunning, shrewd; artful	黑			
濑	lài	swift current; rapids	水			
馁	něi	hungry, starving, famished	食			
洵	xún	true, real, truly, really	水			
忐	tǎn	timorous; nervous	心			
忑	tè	fearful; nervous; timid	心			
àà	dǐ	a whetstone; to polish	石			
咂	zā	to suck, to smack the lips; (Cant.) to cheat	口			
罹	lí	sorrow, grief; incur, meet with	网			
à	kāng	chaff, bran, husks; poor	米			
匝	zā	full circle; encircle	匚			
偃	yǎn	cease, lay off, lay down	人			
淙	cóng	gurgling sound of water	水			
纫	rèn	thread needle, sew stitch, string	糸			
喏	nuò	respectful reply of assent to superiors	口			
闾	lǘ	village of twenty-five families	門			
祛	qū	expel, disperse, exorcise	示			
蛰	zhé	to hibernate	虫			
腼	miǎn	modest	肉			
涝	lào	inundate, flood; torrent	水			
曜	yào	glorious, as sun; daylight, sunlight; one of the seven planets of pre-modern astronomy (the sun, the moon, Mercury, Venus, Mars, Jupiter, and Saturn)	日			
厩	jiù	stable; barnyard	厂			
疽	jū	ulcer, carbuncle, abscess	疒			
闰	rùn	intercalary; extra, surplus	門			
洄	huí	a back-water; an eddy a whirlpool	水			
煊	xuān	warm	火			
汐	xī	night tides, evening ebb tide	水			
藓	xiǎn	moss, lichen	艸			
璜	huáng	a semicircular jade ornament used as a pendant	玉			
铬	gè	chromium	金			
經	jīng	classic works; pass through	糸			
渥	wò	moisten, soak; great, deep; dye; to enrich	水			
靼	dá	tartars	革			
酗	xù	drunk, to become violent under the influence of alcohol	酉	6		
苓	líng	fungus, tuber; licorice	艸			
噤	jìn	close; be silent, be unable speak	口			
咫	zhǐ	foot measure of Zhou dynasty	口			
椿	chūn	father; a plant with white flowers	木			
鲫	jì	Carassius auratus, crucian carp	魚			
锭	dìng	spindle, slab, cake, tablet	金			
罔	wǎng	net; deceive; libel; negative	网			
