Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
à	lí	a widow	女			
肼	jǐng	hydrazine	肉			
峤	jiào	high pointed mountain	山			
矽	xì	silicon	石			
讧	hòng	confusion; internal strife	言			
掼	guàn	throw ground; know, be familiar	手			
焖	mèn	simmer, cook over slow fire	火			
愆	qiān	a fault, mistake, error, transgression	心			
聩	kuì	deaf	耳			
岘	xiàn	steep hill; mountain in Hubei	山			
靛	diàn	indigo; any blue dye	青			
菖	chāng	iris, sweet flag, calamus	艸			
卟	bǔ	a chemical compound; divination; to consider	口			
姒	sì	wife of elder brother	女			
杷	pá	loquat	木			
àà	huò		石			
袢	pàn	robe	衣			
蚋	ruì	gnat, mosquito	虫			
笳	jiā	a reed leaf whistle	竹			
挈	qiè	assist, help, lead by hand	手			
關	guān	frontier pass; close; relation	門			
踽	jǔ	to walk alone; self-reliant	足			
黾	miǎn	to strive; to endeavor	黽			
麼	me	interrogative final particle; insignificant, small, tiny	麻			
侩	kuài	go-between, broker, proxy	人			
凫	fú	wild duck, teal; swim	à			
诔	lěi	eulogize, praise the dead	言			
郯	tán	name of a small ancient principality which was situated in what is now part of Shantung and Kiangsu	邑			
韪	wěi	right; proper; perpriety	韋			
挲	sā	to feel or fondle with the fingers	手			
笪	dá	a coarse mat of rushes or bamboo	竹			
鼋	yuán	large turtle, sea turtle	龜			
莜	yóu	Avena nuda; a bamboo basket	艸			
風	fēng	wind; air; manners, atmosphere	風			
菅	jiān	coarse grass, themedia forskali	艸			
嵊	shèng	district in Shaohsing, Chekiang	山			
裢	lián	folding purse inserted in belt	衣			
趿	tā	to tread on; slipshod	足			
箸	zhù	chopsticks	竹			
莴	wō	lettuce	艸			
à	yǒu	weeds, tares; undesirable, evil	艸			
阌	wén	wen xiang, Henan province	門			
旯	lá	nook, corner	日			
圜	huán	circle, surround; encircle	囗			
涪	fú	river in Sichuan province	水			
赍	jī	present	貝			
柞	zhà	oak; spinous evergreen tree; to clear away trees	木			
嗍	suō		口			
囵	lún	all, complete, entire	囗			
榧	fěi	type of yew	木			
裰	duō	to mend clothes	衣			
笾	biān	bamboo container for food	竹			
簟	diàn	bamboo mat	竹			
跎	tuó	slip, stumble, falter; vacillate	足			
巽	xùn	5th of the 8 trigrams; south-east; mild, modest, obedient	己			
曷	hé	why? what? where?	曰			
逖	tì	far, distant; keep at distance	辵			
骓	zhuī	piebald horse	馬			
绔	kù	trousers	糸			
枋	fāng	sandalwood; tree used as timber	木			
镒	yì	measure of weight for gold	金			
魃	bá	drought demon	鬼			
餮	tiè	a legendary animal; a greedy person	食			
讵	jù	an interjection used express surprise	言			
乜	miē	to squint; (Cant.) what? huh?	乙			
鄢	yān	name of a district in Honan	邑			
瑭	táng	a kind of jade	玉			
踅	xué	to walk around; turn back midway	足			
馓	sǎn	fried round cakes of wheat flour	食			
蟛	péng	a land-crab	虫			
鳟	zūn	barbel	魚			
荛	ráo	fuel, firewood; stubble; Wikstroemia japonica	艸			
菬	qiáo		艸			
忪	sōng	quiet, calm, tranquil, peaceful	心			
阍	hūn	gatekeeper; gate, door	門			
姹	chà	beautiful, colorful; girl	女			
纰	pī	spoiled silk; hem of dress; mista	糸			
桉	ān	eucalyptus	木			
氪	kè	krypton	气			
氘	dāo	deuterium	气			
垅	lǒng	mound, grave; ridge in field	土			
郃	hé	county in Shanxi province	邑			
汊	chà	a branching stream	水			
娉	pīng	beautiful, attractive, charming, graceful	女			
纡	yū	bend, turn, twist; distort	糸			
缟	gǎo	white raw silk	糸			
旮	gā	nook, corner	日			
镢	jué	hoe	金			
傈	lì	tribe	人			
àà	péng	bury	土			
蔺	lìn	rush used for making mats; surnam	艸			
庥	xiū	shade; shelter, protection	广			
枥	lì	type of oak; stable	木			
腭	è	palate, roof of mouth	肉			
鹕	hú	pelican	鳥			
笮	zé	boards which support tiles on roof	竹			
髂	qià	the pelvis	骨			
魍	wǎng	demons, mountain spirits	鬼			
缁	zī	black silk	糸			
槊	shuò	spear, lance	木			
