Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
氟	fú	fluorine	气			
怂	sǒng	instigate, arouse, incite	心			
叼	diāo	holding in mouth	口	6		
竣	jùn	terminate, end, finish; quit	立			
偕	xié	together; be in order	人			
漩	xuán	eddy, whirlpool	水			
蹭	cèng	to shuffle, procrastinate, dilly-dally	足			
翌	yì	bright; daybreak, dawn; the next day	羽			
臆	yì	chest, breast, bosom; thought	肉			
挝	wō	to beat; to strike	手			
绚	xuàn	variegated, adorned; brilliant	糸			
崽	zǎi	a child, a servant; a diminutive	山			
糜	mí	rice gruel, congee; mashed	米			
瘢	bān	scar, mole	疒			
跤	jiāo	stumble, fall down; wrestle	足			
阑	lán	door screen; railing fence	門			
恬	tián	quiet, calm, tranquil, peaceful	心			
豢	huàn	domestic animals; feed, raise	豕			
汶	wèn	a river in Shandong province	水			
跷	qiāo		足			
琵	pí	guitar-like instrument	玉			
憨	hān	foolish, silly, coquettish	心			
蜗	wō	a snail, Eulota callizoma	虫			
螅	xī	intestinal worm	虫			
惴	zhuì	afraid, apprehensive, nervous	心			
戟	jǐ	halberd with crescent blade	戈			
匮	kuì	to lack	匚			
恙	yàng	illness, sickness; indisposition	心			
抿	mǐn	pucker up lips in smile; press	手			
桢	zhēn	hardwood; supports, posts	木			
笺	jiān	note, memo; stationery; comments	竹			
蛤	há	clam	虫			
瞳	tóng	pupil of eye	目			
藥	yào	drugs, pharmaceuticals, medicine	艸			
瓢	piáo	ladle made from dried gourd	瓜			
衹	zhǐ	only, merely, but	衣			
秤	chèng	balance, scale, steelyard	禾	6		
跺	duò	stamp feet, step	足			
潦	lǎo	to flood; a puddle; without care	水			
芹	qín	celery	艸			
哒	dā	a sound made to get a horse to move forward	口			
饬	chì	order; command; give command	食			
àà	xǔ	species of oak; be glad, be pleased	木			
曦	xī	sunlight, sunshine, early dawn	日			
骷	kū	skeleton	骨			
嫡	dí	legal wife, child of legal wife	女			
卤	lǔ	salt	卜			
丕	pī	great, grand, glorious, distinguished	一			
鬓	bìn	hair on temples	髟			
梓	zǐ	catalpa ovata	木			
嗖	sōu	whizzing sound	口			
惦	diàn	think of, remember, miss	心	6		
浚	jùn	dredge	水			
咔	kā	used in translation	口			
藐	miǎo	disregard, slight, disdain	艸	6		
荃	quán	aromatic herb; fine cloth	艸			
唧	jī	chirping of insects; pump; (Cant.) a final particle	口			
玺	xǐ	imperial signet, royal signet	玉			
汛	xùn	high water, flood tides	水			
铐	kào	shackles, manacles	金			
髅	lóu	skull; skeleton	骨			
渤	bó	swelling; the Gulf of Hopei (Hebei)	水			
皿	mǐn	shallow container; rad. no. 108	皿			
箍	gū	hoop; bind, surround	竹			
馅	xiàn	filling, stuffing; secret	食	6		
汾	fén	river in Shanxi province	水			
戍	shù	defend borders, guard frontiers	戈			
痔	zhì	hemorrhoids, piles	疒			
褶	zhě	pleat, crease, wrinkles	衣			
聆	líng	listen, hear	耳			
涎	xián	saliva	水			
汞	gǒng	element mercury	水			
渍	zì	soak, steep; dye; stains; sodden	水			
奂	huàn	be numerous, brilliant	大			
巅	diān	summit of mountain, mountain top	山			
疣	yóu	wart; tumor; goiter; papule	疒			
傩	nuó	rich	人			
逵	kuí	thoroughfare, crossroads	辵			
耆	qí	man of sixty; aged, old	老			
蟋	xī	cricket	虫			
鳄	è	alligator	魚			
讹	é	swindle, cheat; erroneous, wrong	言			
膺	yīng	breast, chest; undertake, bear	肉			
蹿	cuān	leap; to jump; to spurt out	足			
筏	fá	raft	竹			
釜	fǔ	cauldron, pot, kettle	金			
沂	yí	river in southeast Shandong	水			
坯	pī	dam, embankment; weir	土			
峦	luán	mountain range; pointed mountain	山			
茬	chá	harvest	艸			
摒	bǐng	expel, cast off; arrange	手			
蟀	shuài	cricket	虫			
撵	niǎn	drive away, expel, oust	手			
浒	hǔ	riverbank, shore	水			
缤	bīn	flourishing, thriving, abundant	糸			
嵋	méi	Omei mountain in Sichuan	山			
珑	lóng	a gem cut like dragon	玉			
苞	bāo	a variety of rush; firm, enduring; to burst forth	艸			
瑾	jǐn	brilliance of gems; fine jade	玉			
泵	bèng	pump	水			
