Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
惮	dàn	dread, shrink from, shirk, fear	心	6		
氖	nǎi	neon	气			
捎	shāo	to select; to take; to carry	手	6		
羔	gāo	lamb, kid	羊			
俟	qí	wait for, wait until, as soon as	人			
渲	xuàn	add repeated washes of color	水			
榄	lǎn	olive	木			
茧	jiǎn	cocoon; callus, blister	艸			
霓	ní	rainbow; variegated, colored	雨			
鹉	wǔ	species of parrot	鳥			
胥	xū	all, together, mutually	肉			
琶	pá	guitar-like instrument	玉			
撬	qiào	lift, raise; pry open	手			
橘	jú	orange, tangerine	木			
醫	yī	cure, heal; doctor, medical	酉			
拈	niān	pick up with fingers; draw lots	手			
笆	bā	bamboo fence	竹			
痊	quán	be healed, be cured; recover	疒			
亟	jí	urgently, immediately, extremely	二			
渭	wèi	name of a river in Shanxi	水			
狙	jū	an ape, monkey; to spy, watch for; to lie	犬			
珂	kē	inferior kind of jade	玉			
刨	páo		刀			
蜕	tuì	molt	虫			
谚	yàn	proverb, maxim	言			
憧	chōng	irresolute, indecisive; yearn for	心			
瞟	piǎo	glare at; look askance at; squint	目			
馒	mán	steamed bread; steamed dumplings	食	5		
拗	ǎo	to pull, drag, break off, to pluck (a flower); bent, warped; perverse, obstinate	手			
帚	zhǒu	broom, broomstick	巾			
钗	chāi	ornamental hairpin	金			
哧	chī	sound of ripping or giggling	口			
喋	dié	nag; chatter, babble, twitter	口			
箫	xiāo	bamboo flute	竹			
刁	diāo	tricky, sly, crafty, cunning	刀			
怦	pēng	eager, ardent, impulsive; anxious	心			
缭	liáo	wind round, rap around, bind	糸			
迥	jiǒng	distant, far; separated; different	辵			
湄	méi		水			
磐	pán	large rock, boulder; firm	石			
渝	yú	change; chongqing	水			
冗	rǒng	excessive; superfluous	冖			
闵	mǐn	mourn, grieve; urge on, incite	門			
噶	gá	used in transliterations	口			
黏	nián	stick to; glutinous, sticky; glue	黍			
蕃	fān	foreign things	艸			
弼	bì	aid, assist, help; correct	弓			
驿	yì	relay station	馬			
淄	zī	river in Shandong province	水			
饺	jiǎo	stuffed dumplings	食	4		
踞	jù	crouch, squat; sit, occupy	足			
韬	tāo	sheath, scabbard, bow case	韋			
婷	tíng	pretty; attractive; graceful	女			
唆	suō	make mischief, incite, instigate	口	6		
蜒	yán	millipede	虫			
偎	wēi	cling to, cuddle, embrace, fondle	人			
榨	zhà	to press or extract juices; a press to extract juices; a vegetable	木	6		
漉	lù	filter, strain; wet, dripping	水			
碉	diāo	room made of stone; watchtower	石			
皈	guī	follow, comply with	白			
矜	jīn	pity, feel sorry for, show sympat	矛			
笈	jí	bamboo box used carry books	竹			
枷	jiā	cangue scaffold	木			
鲨	shā	shark	魚			
蹑	niè	tread, step on; follow, track	足			
瀚	hàn	vast, wide, extensive	水			
酪	lào	cream, cheese; koumiss	酉			
谑	xuè	jeer	言			
癖	pǐ	craving, weakness for; indigestion	疒			
烬	jìn	cinders, ashes, embers; remnants	火			
揩	kāi	rub and wipe, dust, clean	手			
炙	zhì	roast, broil; toast; cauterize	火			
蜷	quán		虫			
侏	zhū	small, little, tiny, dwarf	人			
凋	diāo	be withered, fallen; exhausted	冫			
漪	yī	ripples on water; swirling	水			
悻	xìng	anger, vexation; angry, indignant	心			
蹋	tà	step on, tread on; stumble, slip	足	6		
讪	shàn	abuse, slander; vilify; ridicule	言			
搐	chù	cramp, spasm, convulsion; twitch	手			
碘	diǎn	iodine	石			
帛	bó	silks, fabrics; wealth, property	巾			
à	quán	explain, expound, comment on	言			
碾	niǎn	roller, crush; roll	石			
擂	léi	rub, grind; grind with a mortar and pestle; triturate	手			
苯	běn	benzene; luxuriant	艸			
诃	hē	scold loudly, curse, abuse	言			
铎	duó	bell; surname	金			
戊	wù	5th heavenly stem	戈			
荀	xún	surname; ancient state; plant	艸			
驹	jū	colt; fleet, swift; sun; surname	馬			
攫	jué	snatch away, seize; catch with	手			
憬	jǐng	rouse, awaken; become conscious	心			
哽	gěng	choke (with grief)	口			
踵	zhǒng	heel; follow; visit, call on	足			
蟒	mǎng	python, boa constrictor	虫			
漾	yàng	overflow; swirl, ripple; to be tosssed by waves	水			
啧	zé	interjection of approval or admiration	口			
吮	shǔn	suck with mouth, sip, lick	口			
à	nán	name of tree, machilus nanmu	木			
