Phrase	Translation	Notes
Αγγλία	Anglia
Άγγλος	anglik
Αγγλίδα	angielka
Αίγυπτος	Egipt
Αιγύπτιος	egipcjanin
Αιγύπτια	egipcjanka
Αμερική	Ameryka
Αμερικανός	amerykanin
Αμερικανίδα	amerykanka
Αργεντινή	Argentyna
Αργεντινός	argentyńczyk
Αργεντινίδα	argentynka
Αυστραλία	Australia
Αυστραλός	australijczyk
Αυστραλέζα	australijka
Αυστρία	Austria
Αυστριακός	austryjak
Αυστριακά	austryjaczka
Βέλγιο	Belgia
Βέλγος	belg
Βελγίδα	belgijka
Γαλλία	Francja
Γάλλος	francuz
Γαλλίδα	francuzka
Γερμανία	Niemcy
Γερμανός	niemiec
Γερμανίδα	niemka
Δανία	Dania
Δανός	duńczyk
Δανέζα	dunka
Ελβετία	Szwajcaria
Ελβετός	szwajcar
Ελβετίδα	szwajcarka
Ελλάδα	Grecja
Έλληνας	grek
Ελληνίδα	greczynka
Ιαπωνία	Japonia
Ιάπωνας	japończyk
Γιαπωνέζα	japonka
Ισπανία	Hiszpania
Ισπανός	hiszpan
Ισπανίδα	hiszpanka
Ιταλία	Włochy
Ιταλός	włoch
Ιταλίδα	włoszka
Καναδάς	Kanada
Καναδός	kanadyjczyk
Καναδέζα	kanadyjka
Κίνα	Chiny
Κινέζος	chińczyk
Κινέζα	chinka
Κύπρος	Cypr
Κύπριος	cypryjka
Κύπρια
Ολλανδία
Ολλανδός
Ολλανδέζα
Πορτογαλία
Πορτογάλος
Πορτογαλίδα
Ρωσία
Ρώσος
Ρωσίδα
Σουηδία
Σουηδός
Σουηδέζα
Τουρκία
Τούρκος
Τουρκάλα

εργάτης
τεχνικός
σερβιτόρος
σερβιτόρα
ιατρός
δικηγόρος
οδοντίατρος
μάγειρας
καλλιτέχνης
ηθοποιός
καθηγητής
καθηγήτρια
δάσκαλος
δασκάλα
μηχανικός
αρχιτέκτονας
έμπορος
υπάλληλος
νοσοκόμα
υδραυλικός
μοδίστρα
ζωγράφος
συγγραφέας
γραμματέας
ταμίας
οδηγός
διευθυντής
αστυνομικός
μουσικός
συνθέτης
δικαστής
φοιτητής
πωλητής
πωλήτρια

καλήμέρα
καλησπέρα
καληνύχτα
χαίρετε
γεια σου
γεια σας
αντίο
ευχαρίστως
ευχαριστώ
είμαι από...
ο κύριος
η κυρία
το παιδί
τα παιδιά
ο πατέρας
η μητέρα
οι γονείς
τ? αδέλφια
η δουλειά
δουλεύω
διαβάζω
το πράγμα
πολύ
πάρα πολύ
η χώρα
η υπηκοότητα
καλά
έτσι κι έτσι
καλόν ύπνο
ο ύπνος
οι χαιρετισμοί
μαζί
θέλω
ό,τι
από

