Phrase	Translation	Notes
Здравствуй!	Dzień dobry!
Здравствуйте!	Dzień dobry!
Доброе утро!	Dzień dobry!
Добрый день!	Dzień dobry!
Добрый вечер!	Dobry wieczór!
здороваться	witać się
Привет!	Cześć!
привет	pozdrowienia
приветствие	pozdrowienia
приветствовать	witać
Как дела?	Jak się masz?
Что нового?	Co nowego?
До свидания!	Do widzenia!
До скорой встречи!	Do zobaczenia!
Прощай!	Żegnaj!
Прощайте!	Żegnajcie!
прощаться	żegnać się
Пока!	Na razie!
Спасибо!	Dziękuję!
Большое спасибо!	Bardzo dziękuję!
Пожалуйста	Proszę	odpowiedź
Не стоит благодарности	To drobiazg
Не за что	Nie ma za co
Извини!	Przepraszam!
Извините!	Przepraszam!
извинять	wybaczać
извиняться	przepraszać
Мои извинения.	Przepraszam!
Простите!	Przepraszam!
прощать	wybaczać	кого-л.
пожалуйста	proszę	przy prośbie
Не забудьте!	Nie zapomnijcie!
Конечно!	Oczywiście!
Конечно нет!	Oczywiście, że nie!
Согласен!	Zgoda!
Хватит!	Dosyć!
