Phrase	Grammar	Transcription	Translation	Notes
昨		zuó	wczoraj	hanzi-1
昨天		zuótiān	wczoraj	hsk-1
艹				hanzi-1
垂				hanzi-1
睡		shuì	spać; położyć się	hanzi-1
觉		jiào	drzemka; sen	hanzi-1
睡觉		shuì jiào	spać; iść spać	hsk-1
入				hanzi-1
六		liù	sześć	hsk-1
老		lǎo	stary; szanowny; doświadczony	hanzi-1
巾				hanzi-1
币				hanzi-1
リ				hanzi-1
师		shī	nauczyciel; mistrz; ekspert	hanzi-1
老师		lǎoshī	nauczyciel	hsk-1
星		xīng	gwiazda; ciało niebieskie; satelita	hanzi-1
其				hanzi-1
期		qī	okres; faza	hanzi-1
星期		xīngqī	tydzień	hsk-1
十		shí	dziesięć	hsk-1
苗		miáo	kiełek; młody pęd	hanzi-1
猫		māo	kot	hsk-1
囟				hanzi-1
脑		nǎo	mózg; umysł	hanzi-1
电脑		diànnǎo	komputer	hsk-1
厂				hanzi-1
丸		wán	piłka; kulka	hanzi-1
执		zhí	wykonać; uchwycić	hanzi-1
热		rè	upał; gorący	hsk-1
学生		xuésheng	uczeń; student	hsk-1
午		wǔ	południe; siódma ziemska gałąź	hanzi-1
下午		xiàwǔ	popołudnie	hsk-1
羽				hanzi-1
习		xí	ćwiczyć	hanzi-1
学习		xuéxí	uczyć się	hsk-1
令		lìng	porządkować	hanzi-1
冫		bīng	lód (klucz Kangxi 两点水)	hanzi-1
冷		lěng	zimny	hsk-1
夂				hanzi-1
各				hanzi-1
客		kè	gość	hanzi-1
气				hanzi-1
不客气		bú kèqi	proszę bardzo; bez zbędnych uprzejmości	hsk-1
前				hanzi-1
前面		qiánmiàn	z przodu; przed	hsk-1
八		bā	osiem	hsk-1
玉		yù	jaspis	hanzi-1
国		guó	kraj; naród; państwo	hanzi-1
中国		Zhōngguó	Chiny	hsk-1
七		qī	siedem	hsk-1
采				hanzi-1
菜		cài	danie; potrawa; warzywa	hsk-1
早				hanzi-1
卓		zhuó	doskonały	hanzi-1
桌		zhuō	stół; biurko	hanzi-1
桌子		zhuōzi	stół; biurko	hsk-1
凵				hanzi-1
出		chū	wyjść; zdarzyć się	hanzi-1
租		zū	wynajmować	hanzi-1
车		chē	wóz; pojazd	hanzi-1
出租车		chūzūchē	taksówka	hsk-1
天气		tiānqì	pogoda	hsk-1
茶		chá	herbata	hsk-1
九		jiǔ	dziewięć	hsk-1
冏		jiǒng	rodzaj rośliny; jasny	hanzi-1
辛		xīn	pracochłonny; trudny	hanzi-1
商		shāng	handel; kupiec	hanzi-1
广				hanzi-1
店		diàn	sklep; zajazd	hanzi-1
商店		shāngdiàn	sklep	hsk-1
可				hanzi-1
奇				hanzi-1
椅		yǐ	krzesło	hanzi-1
椅子		yǐzi	krzesło	hsk-1
冃				hanzi-1
同				hanzi-1
同学		tóngxué	kolega ze szkoły	hsk-1
一点儿		yìdiǎnr	trochę; nieco	hsk-1
于				hanzi-1
平				hanzi-1
苹				hanzi-1
果				hanzi-1
苹果		píngguǒ	jabłko	hsk-1
反				hanzi-1
皀				hanzi-1
食				hanzi-1
饭		fàn	gotowany ryż; posiłek	hanzi-1
饭店		fàndiàn	restauracja; hotel	hsk-1
中午		zhōngwǔ	południe	hsk-1
上午		shàngwǔ	późny poranek; przed południem	hsk-1
水果		shuǐguǒ	owoc	hsk-1
杯		bēi	puchar	hanzi-1
杯子		bēizi	szklanka; kubek	hsk-1
雨		yǔ	deszcz	hanzi-1
下雨		xiàyǔ	pada deszcz	hsk-1
米		mǐ	ryż; metr	hanzi-1
米饭		mǐfàn	gotowany ryż	hsk-1
北				hanzi-1
北京		Běijīng	Pekin	hsk-1
汉		Hàn	narodowość Han; dynastia Han	hanzi-1
吾		wú	ja; mój	hanzi-1
语		yǔ	dialekt; język	hanzi-1
汉语		Hànyǔ	język chiński	hsk-1
