Phrase	Grammar	Transcription	Translation	Notes
哪儿		nǎr	gdzie?	hsk-1
字		zì	litera; znak pisma	hsk-1
名		míng	imię	hanzi-1
名字		míngzi	imię	hsk-1
认		rèn	rozpoznawać; znać; przyznawać	hanzi-1
只		zhǐ	tylko	hanzi-1
识		shí	wiedzieć; wiedza	hanzi-1
认识		rènshi	rozpoznawać; znać osobę	hsk-1
坐		zuò	siedzieć	hsk-1
勹		bāo	zawinąć; zapakować (archaiczny wariant 包)	hanzi-1
曰		yuē	mówić; powiedzieć	hanzi-1
曷		hé	dlaczego? jak? co? gdzie?	hanzi-1
喝		hē	pić	hsk-1
与		yǔ	i; wraz z	hanzi-1
写		xiě	pisać	hsk-1
月		yuè	księżyc; miesiąc	hsk-1
丂		[kǎo]	westchnienie; oddech	hanzi-1
号		hào	numer; data	hsk-1
句		gōu	przyciągać (wariant 勾)	hanzi-1
犬		quǎn	pies	hanzi-1
狗		gǒu	pies	hsk-1
山		shān	góra	hanzi-1
岁		suì	mieć ... lat; wiek	hsk-1
看见		kànjiàn	widzieć; zobaczyć	hsk-1
丁		dīng	czwarty z dziesięciu niebiańskich słupów	hanzi-1
打		dǎ	bić; uderzać	hanzi-1
乚		[yà]	(archaiczny wariant 乙)	hanzi-1
申		shēn	stwierdzać; wyjaśniać; dziewiąta z ziemskich gałęzi	hanzi-1
电		diàn	błyskawica; elektryczność; elektryczny	hanzi-1
干		gàn	pień; główna część; zdołać; zrobić	hanzi-1
舌		shé	język	hanzi-1
话		huà	język; dialekt; mowa; rozmowa	hanzi-1
打电话		dǎ diànhuà	telefonować	hsk-1
鬼		guǐ	duch; demon	hanzi-1
畏		wèi	bać się	hanzi-1
喂		wèi	halo	hsk-1
儿子		érzi	syn	hsk-1
示		shì	pokazać; odkryć	hanzi-1
票		piào	bilet; banknot	hanzi-1
漂		piào	elegancki	hanzi-1
亮		liàng	jasny; błyszczący; połyskliwy	hanzi-1
漂亮		piàoliang	ładna; piękna	hsk-1
刀		dāo	nóż; ostrze; szabla	hanzi-1
分		fēn	dzielić; oddzielać	hanzi-1
中		zhōng	pomiędzy; w środku	hanzi-1
钟		zhōng	zegar; dzwon	hanzi-1
分钟		fēnzhōng	minuta	hsk-1
再		zài	znowu; jeszcze raz	hanzi-1
再见		zàijiàn	do widzenia	hsk-1
本		běn	(klasyfikator książek)	hsk-1
明		míng	jasny	hanzi-1
明天		míngtiān	jutro	hsk-1
少		shǎo	mało	hsk-1
多少		duōshao	ile?	hsk-1
夬		guài	decydujący; rozstrzygający	hanzi-1
块		kuài	kawałek; kwota	hsk-1
女儿		nǚ'ér	córka	hsk-1
且		qiě	poza tym; ponadto	hanzi-1
姐		jiě	starsza siostra	hanzi-1
小姐		xiǎojie	panna; młoda dziewczyna	hsk-1
衣		yī	ubranie	hanzi-1
卩		[jié]	pieczęć (klucz Kangxi)	hanzi-1
服		fú	ubranie	hanzi-1
衣服		yīfu	ubranie	hsk-1
水		shuǐ	woda	hsk-1
学		xué	uczyć się; nauka	hanzi-1
交		jiāo	przekazywać; dostarczać; płacić; zaprzyjaźnić się	hanzi-1
校		xiào	szkoła	hanzi-1
学校		xuéxiào	szkoła	hsk-1
彡		shān	włosie; szczecina (klucz Kangxi)	hanzi-1
京		jīng	stolica	hanzi-1
景		jǐng	sceneria; okoliczności; sytuacja	hanzi-1
影		yǐng	obraz; film; fotografia; cień	hanzi-1
电影		diànyǐng	film	hsk-1
书		shū	książka; list	hsk-1
四		sì	cztery	hsk-1
乂		yì	zarządzać; regulować; kontrolować	hanzi-1
五		wǔ	pięć	hsk-1
兀		wù	odciąć stopy	hanzi-1
元		yuán	jednostka waluty; główny	hanzi-1
完		wán	skończyć	hanzi-1
阜		fù	obfity; kopiec; stos	hanzi-1
院		yuàn	podwórze; instytucja	hanzi-1
医院		yīyuàn	szpital	hsk-1
关		guān	przełęcz; zamknąć; wyłączyć	hanzi-1
糸		mì	jedwab	hanzi-1
系		xì	połączyć; powiązać	hanzi-1
没关系		méi guānxi	nic nie szkodzi; nic się nie stało	hsk-1
飞		fēi	latać	hanzi-1
机		jī	maszyna	hanzi-1
飞机		fēijī	samolot	hsk-1
二		èr	dwa	hsk-1
视		shì	patrzeć; oglądać	hanzi-1
电视		diànshì	telewizja	hsk-1
卖		mài	sprzedawać	hanzi-1
读		dú	czytać; uczyć się	hsk-1
后		hòu	tył; z tyłu; później	hanzi-1
自		zì	siebie; się; naturalnie; pewnie	hanzi-1
面		miàn	twarz; powierzchnia; strona	hanzi-1
后面		hòumian	tył; z tyłu	hsk-1
