Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
支	zhī	disperse, pay; support; branch	支	4		
消	xiāo	vanish, die out; melt away	水	4		
增	zēng	increase, add to, augment	土	4		
研	yán	grind, rub; study, research	石	4		
功	gōng	achievement, merit, good result	力	4		
广	guǎng	wide, extensive, broad; rad. 53	广	4		
标	biāo	mark, symbol, label, sign; stand the bole of a tree	木	4		
谈	tán	talk; conversation; surname	言	4		
引	yǐn	to pull, draw out, attract; to stretch	弓	4		
首	shǒu	head; first; leader, chief; a poem	首	4		
局	jú	bureau, office; circumstance	尸	4		
专	zhuān	monopolize, take sole possession	一	4		
费	fèi	expenses, expenditures, fee	貝	4		
尽	jǐn	exhaust, use up; deplete	尸	4		
另	lìng	another, separate, other	口	4		
仅	jǐn	only, merely, solely, just	人	4		
落	luò	fall, drop; net income, surplus	艸	4		
随	suí	follow, listen to, submit to	阜	4		
列	liè	a line; to arrange in order, classify	刀	4		
推	tuī	push, expel; push forward	手	4		
众	zhòng	multitude, crowd; masses, public	人	4		
案	àn	table, bench; legal case	木	4		
划	huà	to row or paddle boat; to scratch	刀	4		
律	lǜ	statute, principle, regulation	彳	4		
态	tài	manner, bearing, attitude	心	4		
验	yàn	test, examine, inspect; verify	馬	4		
责	zé		貝	4		
够	gòu	enough, adequate	夕	4		
章	zhāng	composition; chapter, section	立	4		
志	zhì	purpose, will, determination; annals	心	4		
底	dǐ	bottom, underneath, underside	广	4		
严	yán	strict, rigorous, rigid; stern	一	4		
例	lì	precedent, example; regulation	人	4		
族	zú	a family clan, ethnic group, tribe	方	4		
供	gōng	supply, provide for; offer in worship	人	4		
效	xiào	result, effect; effectiveness	攴	4		
续	xù	continue, carry on; succeed	糸	4		
紧	jǐn	tense, tight, taut; firm, secure	糸	4		
绝	jué	to cut, sever, break off, terminate	糸	4		
察	chá	examine, investigate; notice	宀	4		
母	mǔ	mother; female elders; female	毋	4		
批	pī	comment, criticize; wholesale	手	4		
按	àn	put hand on, press down with hand	手	4		
围	wéi	surround, encircle, corral	囗	4		
江	jiāng	large river; yangzi; surname	水	4		
纪	jì	record, annal, historical account	糸	4		
举	jǔ	raise, lift up; recommend	丶	4		
父	fù	father; KangXi radical 88	父	4		
密	mì	dense, thick, close; intimate	宀	4		
低	dī	low; to lower, hang, bend, bow	人	4		
止	zhǐ	stop, halt, desist; detain	止	4		
细	xì	fine, tiny; slender, thin	糸	4		
值	zhí	price	人	4		
仍	réng	yet, still, as ever; again; keep -ing, continuing	人	4		
破	pò	break, ruin, destroy; rout	石	4		
倒	dào	fall over; lie down; take turns	人	4		
职	zhí	duty, profession; office, post	耳	4		
速	sù	quick, prompt, speedy	辵	4		
否	fǒu	not, no, negative; final particle	口	4		
毛	máo	hair, fur, feathers; coarse	毛	4		
甚	shén	great extent; considerably	甘	4		
普	pǔ	universal, general, widespread	日	4		
弹	dàn	pellet, bullet, shot, shell	弓	4		
苦	kǔ	bitter; hardship, suffering	艸	4		
印	yìn	print, seal, stamp, chop, mark	卩	4		
预	yù	prepare, arrange; in advance	àà	4		
微	wēi	small, prefix micro-, trifling	彳	4		
继	jì	continue, maintain, carry on	糸	4		
惊	jīng	frighten, surprise, startle	心	4		
伤	shāng	wound, injury; fall ill from	人	4		
适	shì	go, reach; appropriate, suitable	辵	4		
省	shěng	province; save, economize	目	4		
卫	wèi	guard, protect, defend	乙	4		
险	xiǎn	narrow pass, strategic point	阜	4		
排	pái	row, rank, line	手	4		
福	fú	happiness, good fortune, blessing	示	4		
警	jǐng	guard, watch; alert, alarm	言	4		
获	huò	obtain, get, receive; seize	艸	4		
负	fù	load, burden; carry, bear	貝	4		
云	yún	say, speak; clouds	二	4		
停	tíng	stop, suspend, delay; suitable	人	4		
疑	yí	doubt, question, suspect	疋	4		
洲	zhōu	continent; island; islet	水	4		
竟	jìng	finally, after all, at last	立	4		
激	jī	arouse, excite, incite; quickly	水	4		
演	yǎn	perform, put on; exercise	水	4		
判	pàn	judge; discriminate; conclude	刀	4		
既	jì	already; de facto; since; then	à	4		
积	jī	accumulate, store up, amass	禾	4		
富	fù	abundant, ample; rich, wealthy	宀	4		
占	zhàn	divine; observe; versify	卜	4		
修	xiū	study; repair; cultivate	人	4		
降	jiàng	descend, fall, drop; lower, down	阜	4		
坚	jiān	hard, strong, firm; resolute	土	4		
免	miǎn	spare; excuse from; evade	儿	4		
压	yā	press; oppress; crush; pressure	厂	4		
养	yǎng	raise, rear, bring up; support	八	4		
怀	huái	bosom, breast; carry in bosom	心	4		
乱	luàn	confusion, state of chaos, revolt	乙	4		
航	háng	sail; navigate; ship, boat	舟	4		
