Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
启	qǐ	open; begin, commence; explain	口	5		
泛	fàn	to drift, float; careless, reckless	水	5		
偿	cháng	repay, recompense; restitution	人	5		
呆	dāi	dull; dull-minded, simple, stupid	口	5		
衡	héng	measure, weigh, judge, consider	行	5		
舍	shě	house, dwelling; dwell, reside	舌	5		
婆	pó	old woman; grandmother	女	5		
灾	zāi	calamity, disaster, catastrophe	火	5		
胆	dǎn	gall bladder; bravery, courage	肉	5		
俗	sú	social customs; vulgar, unrefined	人	5		
辩	biàn	dispute, argue, debate, discuss	辛	5		
胸	xiōng	breast, bosom, chest; thorax	肉	5		
劲	jìn	strong, unyielding, tough, power	力	5		
辑	jí	gather up, collect; edit, compile	車	5		
恢	huī	restore; big, great, immense, vast	心	5		
圈	quān	to circle; a circle; corral	囗	5		
摸	mō	gently touch with hand; caress	手	5		
润	rùn	soft, moist; sleek; freshen	水	5		
àà	duī	heap, pile, crowd; pile up	土	5		
碰	pèng	collide, bump into	石	5		
废	fèi	abrogate, terminate, discard	广	5		
壁	bì	partition wall; walls of a house	土	5		
吹	chuī	blow; puff; brag, boast	口	5		
糊	hú	paste, stick on with paste	米	5		
盾	dùn	shield, shield-shaped object; currency sign for Dutch guilder	目	5		
乏	fá	lack; poor	丿	5		
诊	zhěn	examine patient, diagnose	言	5		
摄	shè	take in, absorb; act as deputy	手	5		
凭	píng	lean on, depend on, rely on	à	5		
抢	qiǎng	plunder, rob, take by force	手	5		
绪	xù	end of thread; thread, clue	糸	5		
肩	jiān	shoulders; to shoulder; bear	肉	5		
幻	huàn	illusion, fantasy, mirage	幺	5		
碎	suì	break, smash; broken, busted	石	5		
综	zōng	arrange threads for weaving	糸	5		
返	fǎn	return, revert to, restore	辵	5		
薄	báo	thin, slight, weak; poor, stingy	艸	5		
悄	qiāo	silent, quiet, still; anxious	心	5		
敏	mǐn	fast, quick, clever, smart	攴	5		
碍	ài	obstruct, hinder, block, deter	石	5		
矛	máo	spear, lance; KangXi radical 110	矛	5		
幅	fú	piece, strip, breadth of, hem	巾	5		
颗	kē	grain, kernel	àà	5		
骂	mà	accuse, blame, curse, scold	口	5		
赏	shǎng	reward, grant, bestow; appreciate	貝	5		
贴	tiē	paste to, stick on; attached to	貝	5		
腰	yāo	waist; kidney	肉	5		
眉	méi	eyebrows; upper margin of book	目	5		
恋	liàn	love; long for, yearn for; love	心	5		
吓	xià	scare, frighten; intimidate	口	5		
辞	cí	words, speech, expression, phrase	舌	5		
尺	chǐ		尸	5		
辈	bèi	generation, lifetime; class	非	5		
滑	huá	slip, slide; slippery, polished	水	5		
绕	rào	entwine; wind around; surround	糸	5		
趋	qū	hasten, hurry; be attracted to	走	5		
胁	xié	ribs, armpits; flank; threaten	肉	5		
插	chā	insert, stick into; plant	手	5		
慧	huì	bright, intelligent; intelligence	心	5		
媒	méi	go-between, matchmaker; medium	女	5		
佩	pèi	belt ornament, pendant; wear at waist, tie to the belt; respect	人	5		
豪	háo	brave, heroic, chivalrous	豕	5		
兼	jiān	unite, combine; connect; and	八	5		
跃	yuè	skip, jump, frolic	足	5		
肃	sù	pay respects; reverently	聿	5		
驶	shǐ	sail, drive, pilot; fast, quick	馬	5		
届	jiè	numerary adjunct for time, term	尸	5		
欣	xīn	happy, joyous, delighted	à	5		
惠	huì	favor, benefit, confer kindness	心	5		
册	cè	book, volume, register, list	冂	5		
飘	piāo	whirlwind, cyclone; floating	風	5		
闲	xián	fence, guard; defend; idle time	門	5		
频	pín	frequently, again and again	àà	5		
递	dì	hand over, deliver; substitute	辵	5		
撞	zhuàng	knock against, bump into, collide	手	5		
滚	gǔn	turn	水	5		
贡	gòng	offer tribute; tribute, gifts	貝	5		
疯	fēng	crazy, insane, mentally ill	疒	5		
瞧	qiáo	glance at, look at, see	目	5		
燃	rán	burn; light fire, ignite	火	5		
锁	suǒ	lock, padlock; shackles, chains	金	5		
劝	quàn	recommend, advise, urge	力	5		
搜	sōu	search, seek; investigate	手	5		
勤	qín	industrious, diligent, attentive	力	5		
戒	jiè	warn, caution, admonish	戈	5		
驾	jià	to drive, sail, fly; a cart, carriage	馬	5		
柔	róu	soft; gentle, pliant	木	5		
腐	fǔ	rot, decay, spoil; rotten	肉	5		
幼	yòu	infant, young child; immature	幺	5		
践	jiàn	trample, tread upon, walk on	足	5		
浓	nóng	thick, strong, concentrated	水	5		
竹	zhú	bamboo; flute; KangXi radical 118	竹	5		
逻	luó	patrol; inspect; watch; patrol	辵	5		
遵	zūn	obey, comply with, follow; honor	辵	5		
饰	shì	decorate, ornament, adorn	食	5		
贷	dài	lend; borrow; pardon	貝	5		
叙	xù	express, state, relate, narrate	又	5		
沟	gōu	ditch, drain, narrow waterway	水	5		
扶	fú	support, help; protect; hold on	手	5		
寿	shòu	old age, long life; lifespan	寸	5		
