Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
军	jūn	army, military; soldiers, troops	車	5		
战	zhàn	war, fighting, battle	戈	5		
政	zhèng	government, political affairs	攴	5		
产	chǎn	give birth, bring forth, produce	立	5		
制	zhì	system; establish; overpower	刀	5		
代	dài	replace, replacement (of person or generation); era, generation	人	5		
立	lì	stand; let stand; establish, set	立	5		
义	yì	right conduct, righteousness	丿	5		
神	shén	spirit, god, supernatural being	示	5		
德	dé	ethics, morality, virtue	彳	5		
统	tǒng	govern, command, control; unite	糸	5		
形	xíng	form, shape, appearance	彡	5		
治	zhì	govern, regulate, administer	水	5		
达	dá	arrive at, reach; intelligent; smooth, slippery	辵	5		
强	qiáng	strong, powerful, energetic	弓	5		
权	quán	power, right, authority	木	5		
王	wáng	king, ruler; royal; surname	玉	5		
设	shè	build; establish; display	言	5		
品	pǐn	article, product, commodity	口	5		
类	lèi	class, group, kind, category	大	5		
领	lǐng	neck; collar; lead, guide	頁	5		
造	zào	construct, build, make, begin; prepare	辵	5		
组	zǔ	class; section, department	糸	5		
英	yīng	petal, flower, leaf; brave, a hero; England, English	艸	5		
令	lìng		人	5		
布	bù	cotton cloth, textiles, linen	巾	5		
未	wèi	not yet; 8th terrestrial branch	木	5		
击	jī	strike, hit, beat; attack, fight	凵	5		
兵	bīng	soldier, troops	八	5		
团	tuán	sphere, ball, circle; mass, lump	囗	5		
集	jí	assemble, collect together	隹	5		
华	huá	flowery; illustrious; Chinese	十	5		
石	shí	stone, rock, mineral; rad. 112	石	5		
府	fǔ	prefecture; prefect; government	广	5		
似	shì	resemble, similar to; as if, seem	人	5		
官	guān	official, public servant	宀	5		
器	qì	receptacle, vessel; instrument	口	5		
称	chēng	call; name, brand; address; say	禾	5		
企	qǐ	plan a project; stand on tiptoe	人	5		
委	wěi	appoint, send, commission	女	5		
曾	céng	already; sign of past	曰	5		
农	nóng	agriculture, farming; farmer	冖	5		
装	zhuāng	dress, clothes, attire; fill	衣	5		
显	xiǎn	manifest, display; evident, clear	日	5		
念	niàn	think of, recall, study	心	5		
青	qīng	blue, green, black; young	青	5		
武	wǔ	military; martial, warlike	止	5		
势	shì	power, force; tendency	力	5		
古	gǔ	old, classic, ancient	口	5		
构	gòu	frame, building, structure	木	5		
土	tǔ	soil, earth; items made of earth	土	5		
投	tóu	throw, cast, fling, pitch; jump	手	5		
某	mǒu	certain thing or person	木	5		
维	wéi	maintain, preserve, safeguard	糸	5		
革	gé	leather, animal hides; rad. 177	革	5		
敌	dí	enemy, foe, rival; resist	舌	5		
致	zhì	send, deliver, present; cause	至	5		
派	pài	school of thought, sect, branch	水	5		
营	yíng	encampment, barracks; manage	艸	5		
巴	bā	greatly desire, anxiously hope	己	5		
防	fáng	defend; prevent; embankment	阜	5		
施	shī	grant, bestow; give; act; name	方	5		
型	xíng	pattern, model, type; law; mold	土	5		
依	yī	rely on, be set in; consent, obey a wish	人	5		
群	qún	(same as 羣) group, crowd, multitude, mob	羊	5		
项	xiàng	neck, nape of neck; sum; funds	àà	5		
织	zhī	weave, knit; organize, unite	糸	5		
斗	dòu	Chinese peck; liquid measure	斗	5		
采	cǎi	collect, gather; pick, pluck	釆	5		
杀	shā	kill, slaughter, murder; hurt	木	5		
朝	cháo	dynasty; morning	月	5		
属	shǔ	class, category, type; belong to	尸	5		
限	xiàn	boundary, limit, line	阜	5		
威	wēi	pomp, power; powerful; dominate	女	5		
状	zhuàng	form; appearance; shape; official	犬	5		
率	lǜ	to lead; ratio; rate; limit	玄	5		
独	dú	alone, single, solitary, only	犬	5		
创	chuàng	establish, create; knife cut	刀	5		
承	chéng	inherit, receive; succeed	手	5		
股	gǔ	thighs, haunches, rump; share	肉	5		
益	yì	profit, benefit; advantage	皿	5		
血	xuè	blood; radical number 143	血	5		
素	sù	white (silk); plain; vegetarian; formerly; normally	糸	5		
夜	yè	night, dark; in night; by night	夕	5		
初	chū	beginning, initial, primary	刀	5		
源	yuán	spring; source, head; surname	水	5		
食	shí	eat; meal; food; KangXi radical number 184	食	5		
待	dài	treat, entertain, receive; wait	彳	5		
述	shù	narrate, state, express	辵	5		
陆	lù	land, continental; army	阜	5		
置	zhì	place, lay out; set aside	网	5		
劳	láo	labor, toil, do manual work	力	5		
财	cái	wealth, valuables, riches	貝	5		
纳	nà	admit, take, receive, accept	糸	5		
雷	léi	thunder	雨	5		
模	mó	model, standard, pattern; copy	木	5		
充	chōng	fill, be full, supply	儿	5		
木	mù	tree; wood, lumber; wooden	木	5		
龙	lóng	dragon; symbolic of emperor	龍	5		
冲	chōng	soar; pour boiling water over	冫	5		
