Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
储	chǔ	save money, store, reserve; heir	人	6		
桑	sāng	mulberry tree; surname	木	6		
惨	cǎn	sad, pitiful, wretched; cruel	心	6		
洁	jié	clean, purify, pure	水	6		
踪	zōng	footprints, traces, tracks	足	6		
勃	bó	suddenly, sudden, quick	力	6		
仇	chóu	enemy, hate, hatred, enmity	人	6		
磨	mó	grind; polish; rub; wear out; a millstone	石	6		
拟	nǐ	draft; intend, plan, propose	手	6		
奏	zòu	memorialize emperor; report	大	6		
巡	xún	patrol, go on circuit, cruise	巛	6		
剂	jì	medicinal preparation	刀	6		
坡	pō	slope, bank, hillside	土	6		
截	jié	cut off, stop, obstruct, intersect	戈	6		
焦	jiāo	burned, scorched; anxious, vexed	火	6		
殿	diàn	hall; palace; temple	殳	6		
伪	wěi	false, counterfeit, bogus	人	6		
逼	bī	compel, pressure, force; bother	辵	6		
颇	pō	lean one side; very, rather	àà	6		
昏	hūn	dusk, nightfall, twilight, dark	日	6		
呈	chéng	submit, show; appear; petition	口	6		
牧	mù	tend cattle, shepherd	牛	6		
牲	shēng	sacrificial animal; animal	牛	6		
佳	jiā	good, auspicious; beautiful; delightful	人	6		
稿	gǎo	draft, manuscript, rough copy	禾	6		
腹	fù	stomach, belly, abdomen; inside	肉	6		
跌	diē	stumble, slip, fall down; stamp	足	6		
垂	chuí	let down; suspend, hand; down	土	6		
脉	mài	blood vessels, veins, arteries	肉	6		
狱	yù	prison, jail; case; lawsuit	犬	6		
惑	huò	confuse, mislead, baffle; doubt	心	6		
陶	táo	pottery, ceramics	阜	6		
兽	shòu	beast, animal; bestial	八	6		
帐	zhàng	tent; screen, mosquito net	巾	6		
昌	chāng	light of sun; good, proper	日	6		
铺	pù	shop, store; place sleep, bed	金	6		
惧	jù	fear, be afraid of, dread	心	6		
盗	dào	rob, steal; thief, bandit	皿	6		
辉	huī	brightness, luster, brilliance	小	6		
扣	kòu	knock, strike, rap, tap; button	手	6		
嘛	ma	final exclamatory particle	口	6		
董	dǒng	direct, supervise; surname	艸	6		
迁	qiān	move, shift, change; transfer; relocate a capital city	辵	6		
凝	níng	coagulate; congeal; freeze	冫	6		
腾	téng	fly; gallop; run; prance; rise	肉	6		
埋	mái	bury, secrete, conceal	土	6		
涌	yǒng	surge up, bubble up, gush forth	水	6		
辖	xiá	linchpin of wheel; control	車	6		
晋	jìn	advance, increase; promote	日	6		
à	hěn	vicious, cruel; severely, extreme	犬	6		
鉴	jiàn	mirror, looking glass; reflect	金	6		
械	xiè	weapons; implements, instruments	木	6		
赤	chì		赤	6		
割	gē	cut, divide, partition; cede	刀	6		
揭	jiē	raise, lift up; surname	手	6		
悟	wù	to apprehend, realize, become aware	心	6		
锋	fēng	point of spear, sharp point	金	6		
祥	xiáng	good luck, good omen; happiness	示	6		
阔	kuò	broad, ample, wide; be apart	門	6		
誉	yù	fame, reputation; praise	言	6		
筹	chóu	chip, tally, token; raise money	竹	6		
丛	cóng	bush, shrub; thicket; collection	一	6		
牵	qiān	drag, pull, lead by hand	大	6		
鸣	míng	cry of bird or animal; make sound	口	6		
旨	zhǐ	purpose, aim; excellent	日	6		
袖	xiù	sleeve; put something in sleeve	衣	6		
猎	liè	hunt; field sports	犬	6		
臂	bì	arm	肉	6		
柱	zhù	pillar, post; support; lean on	木	6		
抛	pāo	throw (away)	手	6		
牢	láo	prison; stable, pen; secure	牛	6		
逊	xùn	humble, modest; yield	辵	6		
迈	mài	take a big stride; pass by	辵	6		
欺	qī	cheat, double-cross, deceive	à	6		
衰	shuāi	decline, falter, decrease; weaken	衣	6		
诱	yòu	persuade, entice, induce; guide	言	6		
狼	láng	wolf	犬	6		
仗	zhàng	rely upon; protector; fight; war, weaponry	人	6		
粒	lì	grain; small particle	米	6		
遥	yáo	far away, distant, remote	辵	6		
抚	fǔ	pat, console, comfort; pacify	手	6		
à	jiū	investigate, inspect	糸	6		
钻	zuān	drill, bore; pierce; diamond	金	6		
晶	jīng	crystal; clear, bright; radiant	日	6		
岂	qǐ	how? what?	山	6		
峡	xiá	gorge, strait, ravine; isthmus	山	6		
苍	cāng	blue; green	艸	6		
耗	hào	consume, use up; waste, squander	耒	6		
菌	jūn	mushroom; germ, microbe	艸	6		
粹	cuì	pure; unadulterated; select	米	6		
扁	biǎn	flat; tablet, signboard	戶	6		
循	xún	obey, comply with, follow	彳	6		
赋	fù	tax; give; endow; army; diffuse	貝	6		
抑	yì	press down, repress; curb, hinder	手	6		
哀	āi	sad, mournful, pitiful; pity	口	6		
踏	tà	step on, trample, tread on, walk	足	6		
恒	héng	constant, regular, persistent	心	6		
纽	niǔ	knot; button; handle, knob; tie	糸	6		
纹	wén	line, streak, stripe; wrinkle	糸	6		
渔	yú	to fish; seize; pursue; surname	水	6		
