Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
的	de	possessive, adjectival suffix	白	1		
一	yī	one; a, an; alone	一	1		
是	shì	indeed, yes, right; to be; demonstrative pronoun, this, that	日	1		
不	bù	no, not; un-; negative prefix	一	1		
了	le	to finish; particle of completed action	亅	1		
在	zài	be at, in, on; consist in, rest	土	1		
人	rén	man; people; mankind; someone else	人	1		
有	yǒu	have, own, possess; exist	月	1		
我	wǒ	our, us, i, me, my, we	戈	1		
他	tā	other, another; he, she, it	人	1		
这	zhè	this, the, here	辵	1		
个	gè	numerary adjunct, piece; single	丨	1		
们	men	adjunct pronoun indicate plural	人	1		
中	zhōng	central; center, middle; in the midst of; hit (target); attain	丨	1		
来	lái	come, coming; return, returning	木	1		
上	shàng	top; superior, highest; go up, send up	一	1		
大	dà	big, great, vast, large, high	大	1		
和	hé	harmony, peace; peaceful, calm	口	1		
国	guó	nation, country, nation-state	囗	1		
说	shuō	speak, say, talk; scold, upbraid	言	1		
时	shí	time, season; era, age, period	日	1		
出	chū	go out, send out; stand; produce	凵	1		
会	huì	assemble, meet together; meeting	人	1		
你	nǐ	you, second person pronoun	人	1		
对	duì	correct, right; facing, opposed	寸	1		
生	shēng	life, living, lifetime; birth	生	1		
能	néng	to be able; can, permitted to; ability	肉	1		
子	zi	offspring, child; fruit, seed of; 1st terrestrial branch	子	1		
那	nà	that, that one, those	邑	1		
下	xià	under, underneath, below; down; inferior; bring down	一	1		
年	nián		干	1		
后	hòu	queen, empress, sovereign; (simp. for 後) behind, rear, after	口	1		
作	zuò	make; work; compose, write; act, perform	人	1		
里	lǐ	unit of distance; village; lane	里	1		
家	jiā	house, home, residence; family	宀	1		
多	duō	much, many; more than, over	夕	1		
么	me	interrogative particle; repetition of a tune small; tender	丿	1		
去	qù	go away, leave, depart	厶	1		
学	xué	learning, knowledge; school	子	1		
都	dōu	metropolis, capital; all, the whole; elegant, refined	邑	1		
同	tóng	same, similar; together with	口	1		
现	xiàn	appear, manifest, become visible	玉	1		
没	méi	not, have not, none; drown, sink	水	1		
面	miàn	face; surface; plane; side, dimension	面	1		
起	qǐ	rise, stand up; go up; begin	走	1		
看	kàn	look, see; examine, scrutinize	目	1		
天	tiān	sky, heaven; god, celestial	大	1		
分	fēn	divide; small unit of time etc.	刀	1		
好	hǎo	good, excellent, fine; well	女	1		
小	xiǎo	small, tiny, insignificant	小	1		
些	xiē	little, few; rather, somewhat	二	1		
样	yàng	shape, form, pattern, style	木	1		
她	tā	she, her	女	1		
本	běn	root, origin, source; basis	木	1		
前	qián	in front, forward; preceding	刀	1		
开	kāi	open; initiate, begin, start	廾	1		
想	xiǎng	think, speculate, plan, consider	心	1		
机	jī	desk; machine; moment	木	1		
十	shí	ten, tenth; complete; perfect	十	1		
工	gōng	labor, work; worker, laborer	工	1		
明	míng	bright, light, brilliant; clear	日	1		
三	sān	three	一	1		
关	guān	frontier pass; close; relation	八	1		
点	diǎn	dot, speck, spot; point, degree	火	1		
高	gāo	high, tall; lofty, elevated	高	1		
很	hěn	very, quite, much	彳	1		
见	jiàn	see, observe, behold; perceive	見	1		
什	shén	file of ten soldiers; mixed, miscellaneous	人	1		
二	èr	two; twice	二	1		
果	guǒ	fruit; result	木	1		
西	xī	west(ern); westward, occident	襾	1		
月	yuè	moon; month; KangXi radical 74	月	1		
话	huà	speech, talk, language; dialect	言	1		
回	huí	return, turn around; a time	囗	1		
老	lǎo	old, aged; experienced	老	1		
先	xiān	first, former, previous	儿	1		
儿	ér	son, child; KangXi radical 10	儿	1		
东	dōng	east, eastern, eastward	一	1		
水	shuǐ	water, liquid, lotion, juice	水	1		
名	míng	name, rank, title, position	口	1		
几	jǐ	small table	à	1		
认	rèn	recognize, know, understand	言	1		
系	xì	system; line, link, connection	糸	1		
气	qì	steam, vapor; KangXi radical 84	气	1		
打	dǎ	strike, hit, beat; fight; attack	手	1		
女	nǚ	woman, girl; feminine; rad. 38	女	1		
四	sì	four	囗	1		
电	diàn	electricity; electric; lightning	曰	1		
少	shǎo	few, less, inadequate	小	1		
太	tài	very, too, much; big; extreme	大	1		
再	zài	again, twice, re-	冂	1		
做	zuò	work, make; act	人	1		
期	qī	period of time; date; time limit	月	1		
五	wǔ	five; surname	二	1		
书	shū	book, letter, document; writings	丨	1		
听	tīng	hear; understand; obey, comply	口	1		
住	zhù	reside, live at, dwell, lodge; stop	人	1		
北	běi	north; northern; northward	匕	1		
觉	jué	to wake up from sleep; conscious	見	1		
师	shī	teacher, master, specialist	巾	1		
