Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
优	yōu	superior, excellent; actor	人	4		
著	zhe	manifest; (Cant.) to wear	艸	4		
份	fèn	portion, part; duty	人	4		
艺	yì	art; talent, ability; craft	艸	4		
概	gài	generally, approximately	木	4		
敢	gǎn	to dare, venture; bold, brave	攴	4		
户	hù	door; family	戶	4		
洋	yáng	ocean, sea; foreign; western	水	4		
款	kuǎn	item, article; clause; fund	à	4		
评	píng	appraise, criticize, evaluate	言	4		
座	zuò	seat; stand, base	广	4		
释	shì	interprete, elucidate; release	釆	4		
景	jǐng	scenery, view; conditions	日	4		
登	dēng	rise, mount, board, climb	癶	4		
货	huò	goods, commodities, products	貝	4		
互	hù	mutually, reciprocally	二	4		
付	fù	give, deliver, pay, hand over; entrust	人	4		
危	wēi	dangerous, precarious; high	卩	4		
讨	tǎo	to discuss; ask for, beg; demand; dun; marry	言	4		
丽	lì	beautiful, magnificent, elegant	丶	4		
序	xù	series, serial order, sequence	广	4		
永	yǒng	long, perpetual, eternal, forever	水	4		
呼	hū	breathe sigh, exhale; call, shout	口	4		
味	wèi	taste, smell, odor; delicacy	口	4		
沙	shā	sand, gravel, pebbles; granulated	水	4		
掉	diào	turn, move; shake, wag; drop down	手	4		
杂	zá	mixed, blended; mix, mingle	木	4		
误	wù	err, make mistake; interfere	言	4		
减	jiǎn	decrease, subtract, diminish	冫	4		
肯	kěn	willing; consent to, permit	肉	4		
败	bài	be defeated, decline, fail	貝	4		
梦	mèng	dream; visionary; wishful	木	4		
散	sàn	scatter, disperse, break up	攴	4		
温	wēn	lukewarm	水	4		
困	kùn	to surround, beseige; to be surrounded; difficult	囗	4		
封	fēng	letter, envelope; feudal	寸	4		
缺	quē	be short of, lack; gap, deficit	缶	4		
恐	kǒng	fear; fearful, apprehensive	心	4		
松	sōng	pine tree; fir tree	木	4		
虑	lǜ	be concerned, worry about	心	4		
幸	xìng	luck(ily), favor, fortunately	干	4		
赶	gǎn	pursue, follow; expel, drive away	走	4		
剧	jù	theatrical plays, opera, drama	刀	4		
叶	yè	to harmonize, to rhyme; to unite; (borrowed for) leaf	口	4		
吸	xī	inhale, suck in; absorb; attract	口	4		
呀	ya	particle used to express surprise or mild emphasis; (Cant.) slurred form of the number ten	口	4		
顺	shùn	obey, submit to, go along with	àà	4		
输	shū	transport, carry, haul	車	4		
招	zhāo	beckon, summon; recruit, levy	手	4		
脱	tuō	take off	肉	4		
油	yóu	oil, fat, grease, lard; paints	水	4		
材	cái	material, stuff; timber; talent	木	4		
博	bó	gamble, play games; wide, broad	十	4		
烟	yān	smoke, soot; opium; tobacco, cigarettes	火	4		
授	shòu	give to, transmit; confer	手	4		
禁	jìn	restrict, prohibit, forbid	示	4		
孙	sūn	grandchild, descendent; surname	子	4		
篇	piān	chapter, section, essay, article	竹	4		
遍	biàn	everywhere, all over, throughout	辵	4		
础	chǔ	foundation stone, plinth	石	4		
翻	fān	flip over, upset, capsize	羽	4		
森	sēn	forest; luxuriant vegetation	木	4		
默	mò	silent; quiet, still; dark	黑	4		
熟	shú	well-cooked; ripe; familiar with	火	4		
伙	huǒ	companion, colleague; utensils	人	4		
弄	nòng	do, play or fiddle with; alley	廾	4		
刀	dāo	knife; old coin; measure	刀	4		
窗	chuāng	window	穴	4		
醒	xǐng	wake up; sober up; startle	酉	4		
购	gòu	buy, purchase; hire	貝	4		
虎	hǔ	tiger; brave, fierce; surname	虍	4		
扬	yáng	scatter, spread; praise	手	4		
毕	bì	end, finish, conclude; completed	比	4		
尤	yóu	especially, particularly	尢	4		
竞	jìng	contend, vie, compete	立	4		
弃	qì	reject, abandon, discard	廾	4		
麻	má	hemp, jute, flax; sesame	麻	4		
申	shēn	to state to a superior, report; extend; 9th terrestrial branch	田	4		
售	shòu	sell	口	4		
针	zhēn	needle; pin; tack; acupuncture	金	4		
抱	bào	embrace, hold in arms, enfold	手	4		
鼓	gǔ	drum; beat, top, strike	鼓	4		
植	zhí	plant, trees, plants; grow	木	4		
页	yè	page, sheet, leaf; rad. no. 181	àà	4		
折	zhé	break off, snap; bend	手	4		
尊	zūn	respect, revere, venerate; honor	寸	4		
秀	xiù	ear of grain; flowering, luxuriant; refined, elegant, graceful	禾	4		
染	rǎn	dye; be contagious; infect	木	4		
迷	mí	bewitch, charm, infatuate	辵	4		
诚	chéng	sincere, honest; true, real	言	4		
彩	cǎi	hue, color; variegated colors	彡	4		
抽	chōu	draw out, pull out; sprout	手	4		
浪	làng	wave; wasteful, reckless	水	4		
丰	fēng	abundant, lush, bountiful, plenty	丨	4		
译	yì	translate; decode; encode	言	4		
距	jù		足	4		
符	fú	i.d. tag, tally, symbol, charm	竹	4		
勇	yǒng	brave, courageous, fierce	力	4		
厅	tīng	hall, central room	厂	4		
拜	bài	do obeisance, bow, kowtow	手	4		
