Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
盘	pán	tray, plate, dish; examine	皿	3		
忘	wàng	forget; neglect; miss, omit	心	3		
赛	sài	compete, contend; contest, race	宀	3		
趣	qù		走	3		
迎	yíng	receive, welcome, greet	辵	3		
冰	bīng	ice; ice-cold	冫	3		
努	nǔ	to exert, strive, make an effort; to pout	力	3		
绿	lǜ	green; chlorine	糸	3		
街	jiē	street, road, thoroughfare	行	3		
灯	dēng	lantern, lamp	火	3		
夏	xià	summer; great, grand, big	夊	3		
秋	qiū	autumn, fall; year	禾	3		
末	mò	final, last, end; insignificant	木	3		
蓝	lán	blue; indigo plant; surname	艸	3		
烧	shāo	burn; bake; heat; roast	火	3		
哭	kū	weep, cry, wail	口	3		
冒	mào	risk, brave, dare	冂	3		
惯	guàn	habit, custom; habitually, usual	心	3		
鸟	niǎo	bird; KangXi radical 196	鳥	3		
季	jì	quarter of year; season; surname	子	3		
鼻	bí	nose; first; KangXi radical 209	鼻	3		
腿	tuǐ	legs, thighs	肉	3		
迟	chí	late, tardy; slow; delay	辵	3		
辆	liàng	numerary adjunct for vehicles	車	3		
净	jìng	clean, pure; cleanse	冫	3		
冬	dōng	winter, 11th lunar month	冫	3		
骑	qí	ride horseback; mount; cavalry	馬	3		
叔	shū		又	3		
爬	pá	crawl, creep; climb; scramble	爪	3		
扫	sǎo	sweep, clear away; exterminate	手	3		
箱	xiāng	case, box, chest, trunk	竹	3		
舒	shū	open up, unfold, stretch out; comfortable, easy	舌	3		
绩	jī	spin; achievements	糸	3		
饮	yǐn	drink; swallow; kind of drink	食	3		
朵	duǒ	cluster of flowers; earlobe	木	3		
鞋	xié	shoes, footwear in general	革	3		
邮	yóu	postal, mail; post office	邑	3		
邻	lín	neighbor; neighborhood	邑	3		
聪	cōng	intelligent, clever, bright	耳	3		
梯	tī	ladder, steps, stairs; lean	木	3		
瓶	píng	jug, pitcher, vase, jar, bottle	瓦	3		
疼	téng	aches, pains; be fond of; love	疒	3		
熊	xióng	a bear; brilliant; bright; surname	火	3		
帽	mào	hat, cap; cap-like tops	巾	3		
炼	liàn	smelt, refine; distill, condense	火	3		
搬	bān	transfer, move, remove, shift	手	3		
刷	shuā	brush; clean with brush, scrub	刀	3		
瘦	shòu	thin, emaciated, lean; meager	疒	3		
斤	jīn	a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69	斤	3		
胖	pàng	fat, obese; fatty	肉	3		
饿	è	hungry; greedy for; hunger	食	3		
聊	liáo	somewhat, slightly, at least	耳	3		
碗	wǎn	bowl, small dish	石	3		
渴	kě	thirsty, parched; yearn, pine	水	3		
饱	bǎo		食	3		
甜	tián	sweet, sweetness	甘	3		
矮	ǎi	short, dwarf; low	矢	3		
裤	kù	trousers, pants	衣	3		
衫	shān	shirt; robe; gown; jacket	衣	3		
伞	sǎn	umbrella, parasol, parachute	人	3		
姨	yí		女	3		
刮	guā	shave, pare off, scrape	刀	3		
糕	gāo	cakes, pastry	米	3		
裙	qún	skirt, apron, petticoat	衣	3		
衬	chèn	underwear; inner garments	衣	3		
锻	duàn	forge metal; temper, refine	金	3		
澡	zǎo	wash, bathe	水	3		
啤	pí	beer	口	3		
蕉	jiāo	banana; plantain	艸	3		
筷	kuài	chopsticks	竹	3		
