Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
讳	huì	conceal; shun; regard as taboo	言	6		
瓣	bàn	petal; segment; valves	瓜	6		
枉	wǎng	useless, in vain; bent, crooked	木	6		
琢	zuó	polish jade; cut jade	玉	6		
讥	jī	ridicule, jeer, mock; inspect	言	6		
呻	shēn	groan, moan; recite with intonation	口	6		
慷	kāng	ardent; generous, magnanimous	心	6		
锤	chuí	balance weight on scale; hammer	金	6		
桨	jiǎng	oar, paddle	木	6		
磅	bàng	pound; weigh	石	6		
馈	kuì	offer food superior; send gift	食	6		
溅	jiàn	sprinkle, spray; spill, splash	水	6		
钙	gài	calcium	金	6		
彰	zhāng	clear, manifest, obvious	彡	6		
眯	mī	be blinded	目	6		
墟	xū	high mound; hilly countryside; wasteland	土	6		
瞻	zhān	look; look out for; respect	目	6		
悼	dào	grieve, mourn, lament; grieved	心	6		
拣	jiǎn	choose; select; pick up; gather	手	6		
渺	miǎo	endlessly long, boundless, vast	水	6		
汰	tài	excessive; scour, wash out	水	6		
镶	xiāng	insert, inlay, set, mount; fill	金	6		
趴	pā	lying prone, leaning over	足	6		
酌	zhuó	serve wine; feast; deliberate	酉	6		
浊	zhuó	muddy, turbid, dirty, filthy	水	6		
撼	hàn	move, shake; (Cant.) to fight	手	6		
扛	káng	carry on shoulders; lift	手	6		
峭	qiào	steep, precipitous, rugged	山	6		
磕	kē	hit; collide, knock into; sound	石	6		
翘	qiào	turn up, lift, elevate, raise	羽	6		
熏	xūn	smoke, fog, vapor; smoke, cure	火	6		
缀	zhuì	patch together, link, connect	糸	6		
徊	huái	linger, walk to and fro, hesitain	彳	6		
肪	fáng	animal fat	肉	6		
涕	tì	tear; snivel, nasal mucus	水	6		
惫	bèi	tired, weary, fatigued	夂	6		
挚	zhì	sincere, warm, cordial; surname	手	6		
绎	yì	to unravel or unreel silk; to interpret	糸	6		
睦	mù	friendly, amiable, peaceful	目	6		
窍	qiào	hole, opening, aperture	穴	6		
粥	zhōu	rice gruel, congee	米	6		
沧	cāng	blue, dark green; cold	水	6		
à	dài	idle, remiss, negligent; neglect	心	6		
咙	lóng	throat	口	6		
沛	pèi	abundant, full, copious; sudden	水	6		
崭	zhǎn	high, steep, precipitous; new	山	6		
à	jū	bow, bend; rear, raise, nourish	革	6		
唾	tuò	spit, spit on; saliva	口	6		
洽	qià	to blend with, be in harmony; to penetrate; to cover; a river in Shenxi	水	6		
柬	jiǎn	letter, invitation; choose	木	6		
擎	qíng	lift up, hold up, support	手	6		
疤	bā	scar, cicatrix; birthmark	疒	6		
钝	dùn	blunt, obtuse; dull; flat; dull-witted	金	6		
氓	máng	people; subjects; vassals	氏	6		
à	gāng	lever, pole, crowbar; sharpen	木	6		
诬	wū	make false accusation; defame	言	6		
抒	shū	express; eliminate; relieve	手	6		
侈	chǐ	luxurious, extravagant	人	6		
徘	pái	walk back and forth, hesitate	彳	6		
嗦	suo	suck	口	6		
狈	bèi	a legendary animal with short forelegs which rode a wolf	犬	6		
搓	cuō	to rub or roll between the hands	手	6		
赁	lìn	rent, hire; hired person	貝	6		
婪	lán	covet; covetous, avaricious	女	6		
紊	wěn	confused, disorder	糸	6		
兢	jīng	fearful, cautious, wary	儿	6		
扒	bā	scratch; dig up; crawl; crouch	手	6		
痪	huàn	paralysis, numbness of limbs	疒	6		
宵	xiāo	night, evening, dark	宀	6		
岔	chà	diverge, branch off; fork in road	山	6		
韧	rèn	strong and pliable, resilient	韋	6		
憋	biē	to suppress inner feelings; hasty	心	6		
衅	xìn	consecrate sacrificial vessels by smearing blood; rift	血	6		
隘	ài	narrow, confined; a strategic pass	阜	6		
濒	bīn	approach, be on verge of; near	水	6		
剔	tī	pick out; scrape off; scrape meat	刀	6		
淀	diàn	shallow water, swamp; swampy	水	6		
缉	jī	to sew in close stitches	糸	6		
斟	zhēn	to pour wine or tea into a cup; to gauge	斗	6		
拧	níng	pinch; twist, wring; determined	手	6		
蔚	wèi	luxuriant, thick; ornamental	艸	6		
眶	kuàng	eye socket; rim of eye	目	6		
瀑	pù	waterfall, cascade; heavy rain	水	6		
渣	zhā	refuse, dregs, lees, sediment	水	6		
辙	zhé	wagon ruts, wheel tracks	車	6		
潇	xiāo	sound of beating wind and rain	水	6		
阱	jǐng	pitfall, trap, snare	阜	6		
哆	duō	tremble, shiver, shudder, quiver	口	6		
辫	biàn	braid; pigtail, plait, queue	辛	6		
拽	zhuāi	drag, tow; throw; twist	手	6		
滤	lǜ	strain out, filter	水	6		
睬	cǎi	notice; pay attention to	目	6		
谤	bàng	slander, libel	言	6		
捍	hàn	ward off, guard against, defend	手	6		
瘾	yǐn	rash; addiction, craving, habit	疒	6		
磋	cuō	polish, buff; scrutinize	石	6		
淆	xiáo	confused, in disarray, mixed up	水	6		
烘	hōng	bake, roast; dry by fire	火	6		
赂	lù	bribe; give present	貝	6		
炫	xuàn	shine, glitter; show off, flaunt	火	6		
