Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
站	zhàn	stand up; a stand, station	立	2		
诉	sù	accuse; sue; inform; narrate	言	2		
千	qiān	thousand; many, numerous; very; (Cant.) a cheater, swindler	十	2		
男	nán	male, man; son; baron; surname	田	2		
助	zhù	help, aid, assist	力	2		
乐	lè	happy, glad; enjoyable; music	丿	2		
球	qiú	ball, sphere, globe; round	玉	2		
错	cuò	error, blunder, mistake; wrong	金	2		
晚	wǎn	night, evening; late	日	2		
试	shì	test, try, experiment	言	2		
送	sòng	see off, send off; dispatch, give	辵	2		
药	yào	leaf of Dahurian angelica plant; medicine	艸	2		
游	yóu	to swim; float, drift; wander, roam	水	2		
室	shì	room, home, house, chamber	宀	2		
您	nín		心	2		
帮	bāng	help, assist; defend; shoe upper	巾	2		
左	zuǒ	left; east; unorthodox, improper	工	2		
右	yòu	right; west; right-wing	口	2		
穿	chuān	penetrate, pierce, drill; wear	穴	2		
哥	gē	elder brother	口	2		
弟	dì	young brother; junior; i, me	弓	2		
慢	màn	slow(ly), leisurely, sluggish	心	2		
忙	máng	busy, pressed for time; hustling	心	2		
介	jiè	forerunner, herald, harbinger; to lie between; sea shell; to wear armor	人	2		
鱼	yú	fish; surname; KangXi radical 195	魚	2		
跑	pǎo	run, flee, leave in hurry	足	2		
贵	guì	expensive, costly, valuable	貝	2		
班	bān	class, group, grade; squad; job	玉	2		
票	piào	slip of paper or bamboo; ticket	示	2		
睛	jīng	eyeball; pupil of eye	目	2		
旅	lǚ	trip, journey; travel; traveler	方	2		
笔	bǐ	writing brush; write; stroke	竹	2		
卖	mài	sell; betray; show off	十	2		
旁	páng	side; by side, close by, near	方	2		
阴	yīn		阜	2		
跳	tiào	jump, leap, vault, bounce; dance	足	2		
雪	xuě	snow; wipe away shame, avenge	雨	2		
肉	ròu	flesh; meat; KangXi radical 130	肉	2		
馆	guǎn	public building	食	2		
牛	niú	cow, ox, bull; KangXi radical93	牛	2		
纸	zhǐ	paper	糸	2		
歌	gē	song, lyrics; sing, chant; praise	à	2		
床	chuáng	bed, couch; framework, chassis	广	2		
玩	wán	play with, joke, enjoy	玉	2		
妻	qī	wife	女	2		
休	xiū	rest, stop; retire; do not!	人	2		
舞	wǔ	dance, posture, prance; brandish	舛	2		
姓	xìng		女	2		
妹	mèi	younger sister	女	2		
汽	qì	steam, vapor, gas	水	2		
课	kè	lesson; course; classwork	言	2		
懂	dǒng	understand, comprehend	心	2		
绍	shào	continue, carry on; join	糸	2		
丈	zhàng	unit of length equal 3.3 meters; gentleman, man, husband	一	2		
洗	xǐ	wash, rinse; clean, purify	水	2		
唱	chàng	sing, chant, call; ditty, song	口	2		
奶	nǎi		女	2		
宜	yí	suitable, right, fitting, proper	宀	2		
累	lèi	tired; implicate, involve; bother	糸	2		
羊	yáng	sheep, goat; KangXi radical 123	羊	2		
零	líng	zero; fragment, fraction	雨	2		
蛋	dàn	eggs; term of abuse	虫	2		
鸡	jī	chicken	鳥	2		
宾	bīn	guest, visitor; surname; submit	宀	2		
颜	yán	face, facial appearance	àà	2		
瓜	guā	melon, gourd, cucumber; rad. 97	瓜	2		
晴	qíng	clear weather, fine weather	日	2		
啡	fēi	morphine; coffee	口	2		
篮	lán	basket	竹	2		
咖	kā	coffee; a phonetic	口	2		
踢	tī	kick	足	2		
泳	yǒng	dive; swim	水	2		
铅	qiān	lead	金	2		
