Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
斯	sī	this, thus, such; to lop off; emphatic particle	斤	6		
党	dǎng	political party, gang, faction	儿	6		
陈	chén	exhibit, display; plead; a surname	阜	6		
攻	gōng	attack, assault; criticize	攴	6		
苏	sū		艸	6		
帝	dì	supreme ruler, emperor; god	巾	6		
若	ruò	if, supposing, assuming; similar	艸	6		
波	bō	waves, breakers; undulations	水	6		
异	yì	different, unusual, strange	廾	6		
策	cè	scheme, plan; to whip; urge	竹	6		
罪	zuì	crime, sin, vice; evil; hardship	网	6		
州	zhōu	administrative division, state	巛	6		
宗	zōng	lineage, ancestry; ancestor, clan	宀	6		
协	xié	be united; cooperate	十	6		
审	shěn	examine, investigate; judge	宀	6		
皇	huáng	royal, imperial; ruler, superior	白	6		
副	fù	assist; supplement; assistant	刀	6		
抗	kàng	resist, oppose, defy, reject	手	6		
犯	fàn	commit crime, violate; criminal	犬	6		
田	tián	field, arable land, cultivated	田	6		
央	yāng	center, conclude, run out; beg	大	6		
伯	bó		人	6		
监	jiān	supervise, control, direct	皿	6		
露	lù	dew; bare, open, exposed	雨	6		
野	yě	open country, field; wilderness	里	6		
舰	jiàn	warship	舟	6		
湾	wān	bay, cove, inlet, bend of stream	水	6		
吉	jí	lucky, propitious, good	口	6		
剑	jiàn	sword, dagger, saber	刀	6		
亦	yì	also, too; likewise	à	6		
恩	ēn	kindness, mercy, charity	心	6		
鲁	lǔ	foolish, stupid, rash; vulgar	魚	6		
端	duān	end, extreme; head; beginning	立	6		
探	tàn	find, locate; search, grope for	手	6		
湖	hú	a lake; Hubei, Hunan; bluish-green	水	6		
予	yǔ	I, me; to give	亅	6		
港	gǎng	port, harbor; small stream; bay	水	6		
额	é	forehead; tablet, plaque; fixed	àà	6		
督	dū	supervise, oversee, direct	目	6		
泽	zé	marsh, swamp; grace, brilliance	水	6		
灭	miè	extinguish; wipe out, exterminate	火	6		
莫	mò	do not, is not, can not; negative	艸	6		
亡	wáng	death, destroyed; lose, perish	à	6		
圣	shèng	holy, sacred	土	6		
诺	nuò	promise; assent, approve	言	6		
伦	lún	normal human relationships	人	6		
奥	ào	mysterious, obscure, profound	大	6		
唐	táng	Tang dynasty; Chinese	口	6		
àà	táng	hall; government office	土	6		
宫	gōng	palace	宀	6		
君	jūn	sovereign, monarch, ruler, chief, prince	口	6		
谋	móu	plan, scheme; strategem	言	6		
镇	zhèn	town, market place; suppress	金	6		
凡	fán	all, any, every; ordinary, common	à	6		
诸	zhū	various, all, these; surname	言	6		
庄	zhuāng	village, hamlet; villa, manor	广	6		
祖	zǔ	ancestor, forefather; grandfather	示	6		
暴	bào	violent, brutal, tyrannical	日	6		
塔	tǎ	tower, spire, tall building	土	6		
隐	yǐn	hide, conceal; hidden, secret	阜	6		
蒙	méng	cover; ignorant; suffer; mongolia	艸	6		
欲	yù	desire, want, long for; intend	à	6		
遭	zāo	come across, meet with, encounter	辵	6		
徒	tú	disciple, follower; go on foot	彳	6		
姆	mǔ		女	6		
曲	qū	crooked, bent; wrong, false	曰	6		
塞	sāi	stop up, block, seal, cork; pass, frontier; fortress	土	6		
侵	qīn	invade, encroach upon, raid	人	6		
刑	xíng	punishment, penalty; law	刀	6		
谷	gǔ	valley, gorge, ravine	谷	6		
川	chuān	stream, river; flow; boil	巛	6		
潜	qián	hide; hidden, secret, latent	水	6		
抵	dǐ	resist, oppose; deny; off-set	手	6		
杰	jié	hero; heroic, outstanding	木	6		
郑	zhèng		邑	6		
混	hùn	to mix, blend, mingle; to bumble along	水	6		
臣	chén	minister, statesman, official	臣	6		
雅	yǎ	elegant, graceful, refined	隹	6		
盛	shèng	abundant, flourishing; contain; fill	皿	6		
怒	nù	anger, rage, passion; angry	心	6		
残	cán	injure, spoil; oppress; broken	歹	6		
宇	yǔ	house; building, structure; eaves	宀	6		
猛	měng	violent, savage, cruel; bold	犬	6		
毁	huǐ	destroy	殳	6		
盟	méng	swear; oath, covenant, alliance	皿	6		
丁	dīng	male adult; robust, vigorous; 4th heavenly stem	一	6		
魔	mó	demon, evil spirits; magic power	鬼	6		
沿	yán	follow a course, go along	水	6		
啦	la	final particle of assertion	口	6		
瓦	wǎ	tile; earthenware pottery; girl	瓦	6		
援	yuán	aid, assist; lead; cite	手	6		
夺	duó	take by force, rob, snatch	大	6		
偏	piān	inclined one side; slanting	人	6		
袭	xí	raid, attack; inherit	龍	6		
侠	xiá	chivalrous person; knight-errant	人	6		
侧	cè	side; incline, slant, lean	人	6		
债	zhài	debt, loan, liabilities	人	6		
融	róng	melt, fuse; blend, harmonize	虫	6		
纵	zòng	indulge in, give free reign to	糸	6		
障	zhàng	separate; shield; barricade	阜	6		
