Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
地	de	earth; soil, ground; region	土	3		
而	ér	and; and then; and yet; but	而	3		
于	yú	in, on, at; go to; surname	二	3		
自	zì	self, private, personal; from	自	3		
发	fā	issue, dispatch, send out; hair	又	3		
用	yòng	use, employ, apply, operate; use	用	3		
行	xíng	go; walk; move, travel; circulate	行	3		
种	zhǒng	seed; race, breed; to plant	禾	3		
成	chéng	completed, finished, fixed	戈	3		
方	fāng	a square, rectangle; a region; local	方	3		
法	fǎ	law, rule, regulation, statute; France, French	水	3		
如	rú	if, supposing; as if; like, as	女	3		
当	dāng	bear, accept, undertake; just	小	3		
定	dìng	decide, settle, fix	宀	3		
其	qí	his, her, its, their; that	八	3		
主	zhǔ	master, chief owner; host; lord	丶	3		
理	lǐ	reason, logic; manage	玉	3		
心	xīn	heart; mind, intelligence; soul	心	3		
只	zhǐ	only, just, simply	口	3		
实	shí	real, true; honest, sincere	宀	3		
者	zhě	that which; he who; those who	老	3		
力	lì	power, capability, influence	力	3		
把	bǎ	hold, take; guard; regard as	手	3		
又	yòu	and, also, again, in addition	又	3		
业	yè	profession, business; GB radical 111	一	3		
重	zhòng	heavy, weighty; double	里	3		
物	wù	thing, substance, creature	牛	3		
应	yīng	should, ought to, must	广	3		
向	xiàng	toward, direction, trend	口	3		
头	tóu	head; top; chief, first; boss	大	3		
文	wén	literature, culture, writing	文	3		
相	xiāng	mutual, reciprocal, each other	目	3		
被	bèi		衣	3		
或	huò	or, either, else; perhaps, maybe	戈	3		
己	jǐ	self, oneself; personal, private; 6th heavenly stem	己	3		
加	jiā	add to, increase, augment	力	3		
特	tè	special, unique, distinguished	牛	3		
信	xìn	trust, believe; letter	人	3		
化	huà	change, convert, reform; -ize	匕	3		
世	shì	generation; world; era	一	3		
位	wèi	throne; position, post; rank, status; seat	人	3		
声	shēng	sound, voice, noise; tone; music	士	3		
提	tí	hold in hand; lift in hand	手	3		
解	jiě	loosen, unfasten, untie; explain	角	3		
口	kǒu	mouth; open end; entrance, gate	口	3		
平	píng	flat, level, even; peaceful	干	3		
更	gèng	more, still further, much more	曰	3		
变	biàn	change, transform, alter; rebel	又	3		
总	zǒng	collect; overall, altogether	八	3		
数	shù	number; several, count; fate	攴	3		
安	ān	peaceful, tranquil, quiet	宀	3		
才	cái	talent, ability; just, only	手	3		
结	jié	knot, tie; join, connect	糸	3		
目	mù	eye; look, see; division, topic	目	3		
感	gǎn	feel, perceive, emotion	心	3		
接	jiē	receive; continue; catch; connect	手	3		
必	bì	surely, most certainly; must	心	3		
市	shì	market, fair; city, town; trade	巾	3		
直	zhí	straight, erect, vertical	目	3		
山	shān	mountain, hill, peak	山	3		
空	kōng	empty, hollow, bare, deserted	穴	3		
决	jué	decide, determine, judge	冫	3		
马	mǎ	horse; surname; KangXi radical 187	馬	3		
界	jiè	boundary, limit; domain; society; the world	田	3		
放	fàng	put, release, free, liberate	攴	3		
像	xiàng	a picture, image, figure; to resemble	人	3		
且	qiě	moreover, also (post-subject); about to, will soon (pre-verb)	一	3		
难	nán	difficult, arduous, hard; unable	又	3		
记	jì	record; keep in mind, remember	言	3		
南	nán	south; southern part; southward	十	3		
求	qiú	seek; demand, request; beseech	水	3		
据	jù	to occupy, take possession of; a base, position	手	3		
张	zhāng	stretch, extend, expand; sheet	弓	3		
该	gāi	should, ought to, need to	言	3		
万	wàn	ten thousand; innumerable	一	3		
清	qīng	clear, pure, clean; peaceful	水	3		
带	dài	belt, girdle, band, strap, zone	巾	3		
风	fēng	wind; air; manners, atmosphere	風	3		
根	gēn	root, base(d on); foundation	木	3		
干	gàn	oppose, offend; invade; dried	干	3		
极	jí	extreme, utmost, furthest, final	木	3		
办	bàn	manage, do, handle; deal with	力	3		
议	yì	consult, talk over, discuss	言	3		
元	yuán	first; dollar; origin; head	儿	3		
单	dān	single, individual, only; lone	八	3		
调	diào	transfer, move, change; tune	言	3		
算	suàn	count, calculate, figure; plan	竹	3		
需	xū	need, require, must	雨	3		
花	huā	flower; blossoms	艸	3		
城	chéng	castle; city, town; municipality	土	3		
级	jí	level, rank, class; grade	糸	3		
复	fù	return; repeat; repeatedly	夊	3		
满	mǎn	fill; full, satisfied	水	3		
越	yuè	exceed, go beyond; the more ...	走	3		
容	róng	looks, appearance; figure, form	宀	3		
照	zhào	shine, illumine, reflect	火	3		
须	xū	must, have to, necessary	彡	3		
包	bāo	wrap, pack, bundle; package	勹	3		
片	piàn	slice, splinter, strip; rad. 91	片	3		
史	shǐ	history, chronicle, annals	口	3		
